dataset,method,n,failed,mse_mean,mse_p95,fit_pass_rate,reference_mse_mean,reference_pass_rate,final_k_mean,canonical_k_mean,canonical_count_mae,canonical_count_bias,canonical_count_exact_rate,canonical_count_within_one_rate,total_ms_mean,network_ms_mean,feasibility_safeguard_used_rate,native_fit_pass_rate_before_safeguard,native_k_mean_before_safeguard
Synthetic,ours,265,0,0.00031226721137066253,0.0009670049503912716,0.3886792452830189,,,37.59622641509434,30.0,7.913207547169812,7.59622641509434,0.022641509433962263,0.07547169811320754,8.383484762264152,6.750368352830189,,,
Synthetic,park_dominant_point_2007_adaptation,265,0,9.114880173361351e-05,0.00012086406440075105,0.8679245283018868,,,41.48679245283019,30.0,11.486792452830189,11.486792452830189,0.018867924528301886,0.04905660377358491,59.304392792313045,,,,
Synthetic,liang_feature_iki_2017_adaptation,265,0,0.0002546640639478138,0.001009239552754782,0.5471698113207547,,,44.30566037735849,30.0,14.30566037735849,14.30566037735849,0.018867924528301886,0.03773584905660377,53.48199944155739,,,,
Synthetic,dung_direct_knot_2017_adaptation,265,0,0.00014554784309216923,0.0003882412533533892,0.6867924528301886,,,39.0377358490566,30.0,9.037735849056604,9.037735849056604,0.018867924528301886,0.03773584905660377,638.7545852940574,,1.0,0.0,22.879245283018868
Synthetic,kang_sparse_2015_adaptation,265,0,0.00034076854917046174,0.001443477747413427,0.5660377358490566,,,42.85283018867924,30.0,12.852830188679246,12.852830188679246,0.018867924528301886,0.03773584905660377,1144.5471850264476,,0.7547169811320755,0.24528301886792453,28.233962264150943
Synthetic,luo_linf_de_2022_adaptation,265,0,0.000327415398428245,0.001377614598200251,0.5660377358490566,,,42.656603773584905,30.0,12.656603773584905,12.656603773584905,0.018867924528301886,0.03773584905660377,4804.389174592479,,0.8943396226415095,0.10566037735849057,7.426415094339623
UJI,ours,20,0,2.19806725907113e-05,4.340023529732631e-05,1.0,3.225189360361262e-05,0.95,29.85,,,,,,7.65297595,6.2238431,,,
UJI,park_dominant_point_2007_adaptation,20,0,6.87104612779747e-05,9.762186989142648e-05,1.0,0.00013751422379681602,0.35,9.9,,,,,,13.170633151457878,,,,
UJI,liang_feature_iki_2017_adaptation,20,0,5.690309786576526e-05,9.216605353267853e-05,1.0,0.0001159425919402913,0.5,7.75,,,,,,7.859988501149928,,,,
UJI,dung_direct_knot_2017_adaptation,20,0,5.360664193319074e-05,8.448553010898084e-05,1.0,0.00010684196091382297,0.6,6.7,,,,,,94.18745134971687,,0.85,0.15,3.55
UJI,kang_sparse_2015_adaptation,20,0,4.362472818794079e-05,7.647890324751504e-05,1.0,0.00010796540826992572,0.55,21.7,,,,,,2572.3614708986133,,0.05,0.95,21.65
UJI,luo_linf_de_2022_adaptation,20,0,4.941111454489683e-05,9.897339831506767e-05,1.0,9.122520337273645e-05,0.55,7.9,,,,,,7266.518752249249,,0.4,0.6,5.25
NaturalEarth,ours,20,0,0.0002116664877922909,0.001321669332851722,0.75,0.00021241208000537438,0.75,27.05,,,,,,7.641351950000001,6.189122575,,,
NaturalEarth,park_dominant_point_2007_adaptation,20,0,9.39091752856527e-05,0.00010777517973534379,0.95,9.66268232365355e-05,0.8,21.8,,,,,,29.732954550127033,,,,
NaturalEarth,liang_feature_iki_2017_adaptation,20,0,9.935104764786798e-05,0.00010915613742486907,0.95,0.00010241270689108867,0.65,20.05,,,,,,21.811516549496446,,,,
NaturalEarth,dung_direct_knot_2017_adaptation,20,0,8.703146135398957e-05,0.00010298790079085733,0.95,8.94378873687195e-05,0.85,17.8,,,,,,278.9919144997839,,1.0,0.0,10.55
NaturalEarth,kang_sparse_2015_adaptation,20,0,8.516302967279494e-05,0.00013226062921866048,0.9,8.795728295815597e-05,0.9,23.95,,,,,,2335.165928400238,,0.1,0.9,23.95
NaturalEarth,luo_linf_de_2022_adaptation,20,0,0.00010473269764072943,0.0001257609173321049,0.9,0.00010751423377723191,0.75,19.6,,,,,,6865.1849589005,,0.9,0.1,5.15
USGS,ours,20,0,0.00019836437844257377,0.0006479577254539456,0.5,0.00019922532393645514,0.5,34.65,,,,,,7.718037,6.18727035,,,
USGS,park_dominant_point_2007_adaptation,20,0,9.340933002471521e-05,0.0001250932386767808,0.85,9.633058255740766e-05,0.85,31.4,,,,,,43.448439548228635,,,,
USGS,liang_feature_iki_2017_adaptation,20,0,9.017364433951475e-05,0.00012560971120758482,0.85,0.00027526906053143606,0.7,27.9,,,,,,31.8285733977973,,,,
USGS,dung_direct_knot_2017_adaptation,20,0,8.525663508482381e-05,0.00010085893828819668,0.95,8.804715623220474e-05,0.65,25.85,,,,,,416.9555761007359,,0.95,0.05,14.3
USGS,kang_sparse_2015_adaptation,20,0,6.535968094096274e-05,0.00015550963813177007,0.85,6.783520490156658e-05,0.85,40.1,,,,,,1781.9470230999286,,0.15,0.85,40.1
USGS,luo_linf_de_2022_adaptation,20,0,8.997355016618782e-05,0.00014975452810218613,0.85,9.298676832390787e-05,0.8,27.95,,,,,,5696.964329599723,,0.9,0.1,6.1
IndustrialOffset,ours,20,0,2.2108080167558212e-05,5.946098016510852e-05,1.0,2.1535696608181457e-05,1.0,27.4,,,,,,7.604157549999999,6.2045568,,,
IndustrialOffset,park_dominant_point_2007_adaptation,20,0,7.158082945947192e-05,9.929406664723962e-05,1.0,7.2363183903968e-05,0.9,14.3,,,,,,20.854123348544817,,,,
IndustrialOffset,liang_feature_iki_2017_adaptation,20,0,6.857439714100611e-05,9.842490385069923e-05,1.0,6.910964448427616e-05,0.95,9.25,,,,,,9.381401201244444,,,,
IndustrialOffset,dung_direct_knot_2017_adaptation,20,0,5.8318434302554673e-05,9.353750603154304e-05,1.0,5.879663358740394e-05,1.0,9.3,,,,,,125.97002955008065,,1.0,0.0,5.0
IndustrialOffset,kang_sparse_2015_adaptation,20,0,4.003832932624888e-05,7.910546428016809e-05,1.0,4.057086945898904e-05,1.0,18.25,,,,,,2770.9665416979988,,0.05,0.95,18.05
IndustrialOffset,luo_linf_de_2022_adaptation,20,0,4.9978694744638034e-05,9.356498520833007e-05,1.0,5.0371942989484034e-05,1.0,10.3,,,,,,8190.948220149585,,0.7,0.3,6.4
