dataset,method,n,failed,mse_mean,mse_p95,fit_pass_rate,reference_mse_mean,reference_pass_rate,final_k_mean,canonical_k_mean,canonical_count_mae,canonical_count_bias,canonical_count_exact_rate,canonical_count_within_one_rate,total_ms_mean,network_ms_mean,feasibility_safeguard_used_rate,native_fit_pass_rate_before_safeguard,native_k_mean_before_safeguard
Synthetic,ours,53,0,5.640616153401088e-05,0.00019000937344673663,0.8867924528301887,,,55.716981132075475,30.0,25.71698113207547,25.71698113207547,0.018867924528301886,0.03773584905660377,9.096243018867925,7.177124018867924,,,
Synthetic,ours_verified,53,0,5.628610309228664e-05,0.00019000937344673663,0.8867924528301887,,,55.716981132075475,30.0,25.71698113207547,25.71698113207547,0.018867924528301886,0.03773584905660377,10.253932056603773,,,,
Synthetic,park_dominant_point_2007_adaptation,53,0,8.899922127341408e-05,0.00011341340984922809,0.8679245283018868,,,41.471698113207545,30.0,11.471698113207546,11.471698113207546,0.018867924528301886,0.03773584905660377,61.12406405901431,,,,
Synthetic,liang_feature_iki_2017_adaptation,53,0,0.0002482538340649061,0.0008889108485615944,0.5660377358490566,,,44.320754716981135,30.0,14.320754716981131,14.320754716981131,0.018867924528301886,0.03773584905660377,55.51456326381567,,,,
Synthetic,dung_direct_knot_2017_adaptation,53,0,0.00013636716401350268,0.0003581964019680564,0.6981132075471698,,,38.56603773584906,30.0,8.566037735849056,8.566037735849056,0.018867924528301886,0.03773584905660377,668.0733739960727,,1.0,0.0,22.754716981132077
Synthetic,kang_sparse_2015_adaptation,53,0,0.00034484573351569944,0.0013392127644376692,0.6037735849056604,,,43.18867924528302,30.0,13.18867924528302,13.18867924528302,0.018867924528301886,0.03773584905660377,423.09220875327844,,0.7735849056603774,0.22641509433962265,28.77358490566038
Synthetic,luo_linf_de_2022_adaptation,53,0,0.0003195557466700545,0.0011423369566425068,0.6037735849056604,,,42.264150943396224,30.0,12.264150943396226,12.264150943396226,0.018867924528301886,0.03773584905660377,1941.60633742862,,0.9056603773584906,0.09433962264150944,8.245283018867925
UJI,ours,5,0,3.081111221384694e-06,6.196090545030194e-06,1.0,1.0233948934603543e-05,1.0,49.4,,,,,,9.008082400000001,7.1707932,,,
UJI,ours_verified,5,0,3.081111221384694e-06,6.196090545030194e-06,1.0,1.0233948934603543e-05,1.0,49.4,,,,,,9.216859,,,,
UJI,park_dominant_point_2007_adaptation,5,0,7.723846052003524e-05,9.58318143541245e-05,1.0,0.00015141899846965527,0.0,9.6,,,,,,12.586577609181404,,,,
UJI,liang_feature_iki_2017_adaptation,5,0,6.476200205882565e-05,8.795465577654414e-05,1.0,0.00011760973452300753,0.4,7.8,,,,,,8.3852892043069,,,,
UJI,dung_direct_knot_2017_adaptation,5,0,4.666163341774392e-05,7.306194372749055e-05,1.0,9.453856073340586e-05,0.4,6.6,,,,,,105.56787179084495,,0.8,0.2,3.6
UJI,kang_sparse_2015_adaptation,5,0,2.554350510586133e-05,5.7424886338840136e-05,1.0,7.153979945980412e-05,0.8,30.0,,,,,,876.1809100047685,,0.0,1.0,30.0
UJI,luo_linf_de_2022_adaptation,5,0,5.738763762965514e-05,9.142049973766721e-05,1.0,0.00010078876680757391,0.6,7.0,,,,,,2495.4728714190423,,0.6,0.4,4.0
NaturalEarth,ours,5,0,4.064972956676296e-06,6.3459615592522395e-06,1.0,4.022251572412172e-06,1.0,54.4,,,,,,9.0346896,7.164289200000001,,,
NaturalEarth,ours_verified,5,0,4.064972956676296e-06,6.3459615592522395e-06,1.0,4.022251572412172e-06,1.0,54.4,,,,,,9.3856966,,,,
NaturalEarth,park_dominant_point_2007_adaptation,5,0,7.965533840166544e-05,9.682399544014854e-05,1.0,8.172301975011936e-05,1.0,13.4,,,,,,22.03535019652918,,,,
NaturalEarth,liang_feature_iki_2017_adaptation,5,0,7.779641874208896e-05,9.265621379726924e-05,1.0,7.929321621766831e-05,1.0,14.0,,,,,,14.681074977852404,,,,
NaturalEarth,dung_direct_knot_2017_adaptation,5,0,7.135251888139039e-05,8.794719715116488e-05,1.0,7.308919410722941e-05,1.0,10.8,,,,,,187.01698038494214,,1.0,0.0,6.6
