dataset,method,n,failed,mse_mean,mse_p95,fit_pass_rate,reference_mse_mean,reference_pass_rate,final_k_mean,canonical_k_mean,canonical_count_mae,canonical_count_bias,canonical_count_exact_rate,canonical_count_within_one_rate,total_ms_mean,network_ms_mean,feasibility_safeguard_used_rate,native_fit_pass_rate_before_safeguard,native_k_mean_before_safeguard
Synthetic,ours,53,0,0.0018944463548931088,0.002794945588830459,0.0,,,32.64150943396226,30.0,4.566037735849057,2.641509433962264,0.03773584905660377,0.09433962264150944,8.44902237735849,6.817930056603774,,,
Synthetic,ours_verified,53,0,0.00022434424907064678,0.0011910815174380458,0.7735849056603774,,,46.943396226415096,30.0,16.943396226415093,16.943396226415093,0.018867924528301886,0.03773584905660377,19.01846824528302,,,,
Synthetic,park_dominant_point_2007_adaptation,53,0,8.899922127341408e-05,0.00011341340984922809,0.8679245283018868,,,41.471698113207545,30.0,11.471698113207546,11.471698113207546,0.018867924528301886,0.03773584905660377,63.45245086660451,,,,
Synthetic,liang_feature_iki_2017_adaptation,53,0,0.0002482538340649061,0.0008889108485615944,0.5660377358490566,,,44.320754716981135,30.0,14.320754716981131,14.320754716981131,0.018867924528301886,0.03773584905660377,57.98270203775006,,,,
Synthetic,dung_direct_knot_2017_adaptation,53,0,0.00013636716401350268,0.0003581964019680564,0.6981132075471698,,,38.56603773584906,30.0,8.566037735849056,8.566037735849056,0.018867924528301886,0.03773584905660377,708.7868347550954,,1.0,0.0,22.754716981132077
Synthetic,kang_sparse_2015_adaptation,53,0,0.00034484573351569944,0.0013392127644376692,0.6037735849056604,,,43.18867924528302,30.0,13.18867924528302,13.18867924528302,0.018867924528301886,0.03773584905660377,456.8535035496955,,0.7735849056603774,0.22641509433962265,28.77358490566038
Synthetic,luo_linf_de_2022_adaptation,53,0,0.0003195557466700545,0.0011423369566425068,0.6037735849056604,,,42.264150943396224,30.0,12.264150943396226,12.264150943396226,0.018867924528301886,0.03773584905660377,2052.9462683952484,,0.9056603773584906,0.09433962264150944,8.245283018867925
UJI,ours,5,0,4.9792775110828854e-05,8.715907051405061e-05,1.0,7.029892535890286e-05,1.0,19.6,,,,,,8.2544886,6.8070434,,,
UJI,ours_verified,5,0,4.9792775110828854e-05,8.715907051405061e-05,1.0,7.029892535890286e-05,1.0,19.6,,,,,,8.4729448,,,,
UJI,park_dominant_point_2007_adaptation,5,0,7.723846052003524e-05,9.58318143541245e-05,1.0,0.00015141899846965527,0.0,9.6,,,,,,13.138808403164148,,,,
UJI,liang_feature_iki_2017_adaptation,5,0,6.476200205882565e-05,8.795465577654414e-05,1.0,0.00011760973452300753,0.4,7.8,,,,,,8.8264252000954,,,,
UJI,dung_direct_knot_2017_adaptation,5,0,4.666163341774392e-05,7.306194372749055e-05,1.0,9.453856073340586e-05,0.4,6.6,,,,,,111.7257286037784,,0.8,0.2,3.6
UJI,kang_sparse_2015_adaptation,5,0,2.554350510586133e-05,5.7424886338840136e-05,1.0,7.153979945980412e-05,0.8,30.0,,,,,,949.5024169969838,,0.0,1.0,30.0
UJI,luo_linf_de_2022_adaptation,5,0,5.738763762965514e-05,9.142049973766721e-05,1.0,0.00010078876680757391,0.6,7.0,,,,,,2647.2085213987157,,0.6,0.4,4.0
NaturalEarth,ours,5,0,0.000284361051275768,0.0005592517009970993,0.0,0.00028548715708151485,0.0,21.2,,,,,,8.285598,6.8348339,,,
NaturalEarth,ours_verified,5,0,8.704493296360995e-05,9.783374231428258e-05,1.0,8.654136383670326e-05,1.0,31.0,,,,,,18.3048376,,,,
NaturalEarth,park_dominant_point_2007_adaptation,5,0,7.965533840166544e-05,9.682399544014854e-05,1.0,8.172301975011936e-05,1.0,13.4,,,,,,22.806964797200635,,,,
NaturalEarth,liang_feature_iki_2017_adaptation,5,0,7.779641874208896e-05,9.265621379726924e-05,1.0,7.929321621766831e-05,1.0,14.0,,,,,,15.442651399644092,,,,
NaturalEarth,dung_direct_knot_2017_adaptation,5,0,7.135251888139039e-05,8.794719715116488e-05,1.0,7.308919410722941e-05,1.0,10.8,,,,,,198.91063459217548,,1.0,0.0,6.6
NaturalEarth,kang_sparse_2015_adaptation,5,0,4.9833252375899884e-05,8.792688261166329e-05,1.0,5.129299679931907e-05,1.0,20.0,,,,,,935.3198461991269,,0.0,1.0,20.0
NaturalEarth,luo_linf_de_2022_adaptation,5,0,7.795151952416873e-05,9.326948827368145e-05,1.0,7.913552886033453e-05,1.0,12.0,,,,,,2691.2019656039774,,0.8,0.2,5.8
USGS,ours,5,0,0.00020321740933177068,0.00039567539202590724,0.2,0.00020343325702168604,0.2,26.0,,,,,,8.417884599999999,6.8149281,,,
USGS,ours_verified,5,0,8.246648001742311e-05,9.84689827243751e-05,1.0,8.178591639809137e-05,1.0,33.6,,,,,,16.3018496,,,,
USGS,park_dominant_point_2007_adaptation,5,0,7.99143049776933e-05,8.891680441761862e-05,1.0,8.100996503196787e-05,1.0,25.2,,,,,,35.476497787749395,,,,
USGS,liang_feature_iki_2017_adaptation,5,0,9.160453835256892e-05,9.748349976724304e-05,1.0,9.321648991909594e-05,0.8,19.8,,,,,,23.138782411115244,,,,
