dataset,method,n,failed,mse_mean,mse_p95,fit_pass_rate,reference_mse_mean,reference_pass_rate,final_k_mean,canonical_k_mean,canonical_count_mae,canonical_count_bias,canonical_count_exact_rate,canonical_count_within_one_rate,total_ms_mean,network_ms_mean,feasibility_safeguard_used_rate,native_fit_pass_rate_before_safeguard,native_k_mean_before_safeguard
Synthetic,ours,53,0,0.0005319912253005918,0.002043831013626675,0.3584905660377358,,,46.0,30.0,16.30188679245283,16.0,0.0,0.05660377358490566,8.498677886792454,6.6781791132075465,,,
Synthetic,ours_verified,53,0,5.252809651483778e-05,9.598059168772159e-05,0.9811320754716981,,,54.18867924528302,30.0,24.18867924528302,24.18867924528302,0.0,0.0,15.733939490566037,,,,
Synthetic,park_dominant_point_2007_adaptation,53,0,8.899922127341408e-05,0.00011341340984922809,0.8679245283018868,,,41.471698113207545,30.0,11.471698113207546,11.471698113207546,0.018867924528301886,0.03773584905660377,63.28283245115154,,,,
Synthetic,liang_feature_iki_2017_adaptation,53,0,0.0002482538340649061,0.0008889108485615944,0.5660377358490566,,,44.320754716981135,30.0,14.320754716981131,14.320754716981131,0.018867924528301886,0.03773584905660377,57.535325699235436,,,,
Synthetic,dung_direct_knot_2017_adaptation,53,0,0.00013636716401350268,0.0003581964019680564,0.6981132075471698,,,38.56603773584906,30.0,8.566037735849056,8.566037735849056,0.018867924528301886,0.03773584905660377,699.2613990008084,,1.0,0.0,22.754716981132077
Synthetic,kang_sparse_2015_adaptation,53,0,0.00034484573351569944,0.0013392127644376692,0.6037735849056604,,,43.18867924528302,30.0,13.18867924528302,13.18867924528302,0.018867924528301886,0.03773584905660377,456.53554324427495,,0.7735849056603774,0.22641509433962265,28.77358490566038
Synthetic,luo_linf_de_2022_adaptation,53,0,0.0003195557466700545,0.0011423369566425068,0.6037735849056604,,,42.264150943396224,30.0,12.264150943396226,12.264150943396226,0.018867924528301886,0.03773584905660377,2035.6664420001182,,0.9056603773584906,0.09433962264150944,8.245283018867925
UJI,ours,5,0,0.00038683491017127235,0.0014817209060691632,0.8,0.0005030418028421535,0.6,30.6,,,,,,8.235694200000001,6.631745499999999,,,
UJI,ours_verified,5,0,4.044024535814031e-05,9.614224681663553e-05,1.0,6.260230424726277e-05,0.6,35.2,,,,,,10.535325,,,,
UJI,park_dominant_point_2007_adaptation,5,0,7.723846052003524e-05,9.58318143541245e-05,1.0,0.00015141899846965527,0.0,9.6,,,,,,13.002411398338154,,,,
UJI,liang_feature_iki_2017_adaptation,5,0,6.476200205882565e-05,8.795465577654414e-05,1.0,0.00011760973452300753,0.4,7.8,,,,,,8.669085009023547,,,,
UJI,dung_direct_knot_2017_adaptation,5,0,4.666163341774392e-05,7.306194372749055e-05,1.0,9.453856073340586e-05,0.4,6.6,,,,,,110.2360446122475,,0.8,0.2,3.6
UJI,kang_sparse_2015_adaptation,5,0,2.554350510586133e-05,5.7424886338840136e-05,1.0,7.153979945980412e-05,0.8,30.0,,,,,,948.6638599948492,,0.0,1.0,30.0
UJI,luo_linf_de_2022_adaptation,5,0,5.738763762965514e-05,9.142049973766721e-05,1.0,0.00010078876680757391,0.6,7.0,,,,,,2602.23776580533,,0.6,0.4,4.0
NaturalEarth,ours,5,0,0.00024392887367921673,0.0008238795852624714,0.6,0.00024393536660619148,0.6,39.2,,,,,,8.265085,6.635616199999999,,,
NaturalEarth,ours_verified,5,0,3.7599815739132564e-05,6.575842217265484e-05,1.0,3.672666806991338e-05,1.0,44.4,,,,,,13.0584114,,,,
NaturalEarth,park_dominant_point_2007_adaptation,5,0,7.965533840166544e-05,9.682399544014854e-05,1.0,8.172301975011936e-05,1.0,13.4,,,,,,22.497269796440378,,,,
NaturalEarth,liang_feature_iki_2017_adaptation,5,0,7.779641874208896e-05,9.265621379726924e-05,1.0,7.929321621766831e-05,1.0,14.0,,,,,,15.286960994126275,,,,
NaturalEarth,dung_direct_knot_2017_adaptation,5,0,7.135251888139039e-05,8.794719715116488e-05,1.0,7.308919410722941e-05,1.0,10.8,,,,,,195.49268019618466,,1.0,0.0,6.6
