dataset,method,n,failed,mse_mean,mse_p95,fit_pass_rate,reference_mse_mean,reference_pass_rate,final_k_mean,canonical_k_mean,canonical_count_mae,canonical_count_bias,canonical_count_exact_rate,canonical_count_within_one_rate,total_ms_mean,network_ms_mean
Synthetic,ours,42,0,3.0471859691444287e-05,6.783098117388021e-05,0.8333333333333334,,,24.19047619047619,14.0,10.19047619047619,10.19047619047619,0.0,0.0,15.322297619047621,12.14512619047619
Synthetic,park_dominant_point_2007_adaptation,42,0,4.417651751041892e-05,4.948189200803506e-05,1.0,,,39.19047619047619,14.0,25.19047619047619,25.19047619047619,0.0,0.0,108.91878571419511,
Synthetic,liang_feature_iki_2017_adaptation,42,0,4.640564774238485e-05,4.973238647012969e-05,1.0,,,35.88095238095238,14.0,21.88095238095238,21.88095238095238,0.0,0.0,73.85059999987355,
Synthetic,dung_direct_knot_2017_adaptation,42,0,0.0010474367895233802,0.0022418602339118222,0.0,,,14.80952380952381,14.0,0.8095238095238095,0.8095238095238095,0.21428571428571427,0.9761904761904762,722.0271666666945,
Synthetic,kang_sparse_2015_adaptation,42,0,0.0032370974438193315,0.006396995248104216,0.23809523809523808,,,5.285714285714286,14.0,10.761904761904763,-8.714285714285714,0.0,0.0,1574.178947619484,
Synthetic,luo_linf_de_2022_adaptation,42,0,0.002462979738871255,0.005113138958660415,0.16666666666666666,,,10.333333333333334,14.0,7.0,-3.6666666666666665,0.09523809523809523,0.21428571428571427,5119.663647619052,
Synthetic,yeh_feature_cdf_2020,42,0,4.5992629758856e-05,4.973917691361596e-05,1.0,,,32.404761904761905,14.0,18.404761904761905,18.404761904761905,0.0,0.0,71.15357380964616,
Synthetic,uniform_gradient_pruning,42,0,4.5843684629810724e-05,4.9918186564875316e-05,1.0,,,22.095238095238095,14.0,8.095238095238095,8.095238095238095,0.0,0.0,123005.30532142788,
UJI,ours,8,0,2.4646070098215848e-05,6.683301658717898e-05,0.875,3.334800128278388e-05,0.875,22.625,,,,,,16.0043125,12.58415625
UJI,park_dominant_point_2007_adaptation,8,0,3.8338113947894914e-05,4.772340860411987e-05,1.0,8.01914974048831e-05,0.125,9.125,,,,,,23.69187500244152,
UJI,liang_feature_iki_2017_adaptation,8,0,3.103326390800739e-05,4.84594187149574e-05,1.0,6.025647718006e-05,0.5,7.5,,,,,,16.593574999205885,
