dataset,method,n,failed,mse_mean,mse_p95,fit_pass_rate,reference_mse_mean,reference_pass_rate,final_k_mean,canonical_k_mean,canonical_label_n,canonical_count_valid_n,canonical_count_mae,canonical_count_bias,canonical_count_exact_rate,canonical_count_within_one_rate,total_ms_mean,network_ms_mean,feasibility_safeguard_used_rate,native_fit_pass_rate_before_safeguard,native_k_mean_before_safeguard
Synthetic,ours,17,0,0.001273404635559966,0.0018529750712131918,0.0,,,15.352941176470589,12.0,17,17,3.3529411764705883,3.3529411764705883,0.0,0.11764705882352941,8.308185411764706,7.010585823529412,,,
Synthetic,ours_verified,17,0,3.1918096716156095e-05,6.123470001031504e-05,0.8823529411764706,,,21.705882352941178,12.0,17,17,9.705882352941176,9.705882352941176,0.0,0.0,14.829213,,,,
Synthetic,park_dominant_point_2007_adaptation,17,0,0.00036809505435310517,0.0007821105526234585,0.11764705882352941,,,23.58823529411765,12.0,17,17,11.588235294117647,11.588235294117647,0.0,0.0,29.617898353107567,,,,
Synthetic,liang_feature_iki_2017_adaptation,17,0,0.00016909300269904288,0.0005145954140075195,0.4117647058823529,,,21.41176470588235,12.0,17,17,9.411764705882353,9.411764705882353,0.0,0.0,22.45094323509821,,,,
Synthetic,dung_direct_knot_2017_adaptation,17,0,6.35505571773288e-05,0.00012241202793574846,0.5882352941176471,,,19.58823529411765,12.0,17,17,7.588235294117647,7.588235294117647,0.0,0.0,337.65607394118837,,1.0,0.0,12.588235294117647
Synthetic,kang_sparse_2015_adaptation,17,0,0.0002736013070187575,0.0010000013231682072,0.35294117647058826,,,22.41176470588235,12.0,17,17,10.411764705882353,10.411764705882353,0.0,0.0,181.05222864676975,,0.7647058823529411,0.23529411764705882,21.235294117647058
Synthetic,luo_linf_de_2022_adaptation,17,0,0.00021235665706323756,0.0006706695795917514,0.4117647058823529,,,20.88235294117647,12.0,17,17,8.882352941176471,8.882352941176471,0.0,0.0,1282.3595161769524,,0.9411764705882353,0.058823529411764705,3.588235294117647
UJI,ours,5,0,4.539463169651853e-05,8.788660653627225e-05,0.6,5.415666453534621e-05,0.6,17.4,,0,0,,,,,8.2314814,6.9841484000000005,,,
UJI,ours_verified,5,0,3.671118282653542e-05,7.648749998635163e-05,0.8,3.734718638147439e-05,0.6,18.8,,0,0,,,,,11.0178202,,,,
UJI,park_dominant_point_2007_adaptation,5,0,4.046663504598681e-05,4.804130523306795e-05,1.0,9.6812459084419e-05,0.0,11.6,,0,0,,,,,14.688854399719276,,,,
