dataset,method,n,failed,mse_mean,mse_p95,fit_pass_rate,reference_mse_mean,reference_pass_rate,final_k_mean,canonical_k_mean,canonical_count_mae,canonical_count_bias,canonical_count_exact_rate,canonical_count_within_one_rate,total_ms_mean,network_ms_mean
Synthetic,ours,10,0,3.963265273182378e-05,8.228758344740651e-05,1.0,,,14.7,8.5,6.2,6.2,0.0,0.0,7.530430300000001,6.291573850000001
Synthetic,park_dominant_point_2007_adaptation,10,0,7.460192886754599e-05,9.827526949417886e-05,1.0,,,24.8,8.5,16.3,16.3,0.0,0.0,30.56514789641369,
Synthetic,liang_feature_iki_2017_adaptation,10,0,8.141137171405625e-05,9.734165414760514e-05,1.0,,,19.2,8.5,10.7,10.7,0.0,0.0,19.807273900369182,
Synthetic,dung_direct_knot_2017_adaptation,10,0,0.0026819924097240813,0.00305283893700506,0.0,,,7.3,8.5,1.2,-1.2,0.3,0.5,155.04729139938718,
Synthetic,kang_sparse_2015_adaptation,10,0,9.300262959699882e-05,0.0001535687602228769,0.6,,,10.5,8.5,2.0,2.0,0.0,0.0,2730.184436799027,
Synthetic,luo_linf_de_2022_adaptation,10,0,0.000905827783221233,0.0025400698232198858,0.6,,,10.3,8.5,3.6,1.8,0.0,0.1,7990.911823797796,
UJI,ours,10,0,1.799436779115613e-05,3.352610013314992e-05,1.0,2.8217401561645858e-05,1.0,7.3,,,,,,7.4625314000000005,6.2838352
UJI,park_dominant_point_2007_adaptation,10,0,5.620033273535564e-05,9.250010144414774e-05,1.0,0.00010422914394542202,0.6,6.6,,,,,,9.385184400889557,
UJI,liang_feature_iki_2017_adaptation,10,0,3.3449059154271506e-05,8.054775073440947e-05,1.0,6.70277822265385e-05,0.7,5.8,,,,,,5.987676903896499,
UJI,dung_direct_knot_2017_adaptation,10,0,0.0004469495286330688,0.0014350089325077797,0.6,0.0005525308198373175,0.5,2.2,,,,,,51.017610503186006,
UJI,kang_sparse_2015_adaptation,10,0,7.449210144093831e-05,0.00013490902486138642,0.8,0.0001327009868704749,0.5,3.3,,,,,,1675.6704055980663,
UJI,luo_linf_de_2022_adaptation,10,0,0.0003796271452879307,0.0014909290590802695,0.6,0.00045242978275330484,0.5,3.6,,,,,,7328.555060000508,
NaturalEarth,ours,10,0,7.028650322944574e-05,0.0002069417518315544,0.9,7.428753842276155e-05,0.9,22.1,,,,,,7.705914699999999,6.366352
NaturalEarth,park_dominant_point_2007_adaptation,10,0,0.00010064354570613377,0.00023766420005205498,0.9,0.00010658560326658555,0.9,19.6,,,,,,27.876067896431778,
NaturalEarth,liang_feature_iki_2017_adaptation,10,0,0.00010582751413407455,0.00021137491619680485,0.9,0.00011150067508799211,0.7,18.4,,,,,,20.431484399887268,
NaturalEarth,dung_direct_knot_2017_adaptation,10,0,0.0009611141939156861,0.0025150275867148793,0.0,0.0009727365245218945,0.0,10.0,,,,,,240.1809333008714,
NaturalEarth,kang_sparse_2015_adaptation,10,0,0.005888447051597694,0.030059029942538996,0.7,0.006025414862733041,0.7,8.8,,,,,,2452.535645698663,
NaturalEarth,luo_linf_de_2022_adaptation,10,0,0.003123614710783581,0.011728311432171385,0.1,0.0031479303240277367,0.1,5.3,,,,,,6674.464056098077,
USGS,ours,10,0,4.1952076047317526e-05,6.667960266084753e-05,1.0,4.2819353460781604e-05,1.0,28.3,,,,,,7.9368077999999995,6.456015949999999
USGS,park_dominant_point_2007_adaptation,10,0,7.58059191725664e-05,9.67289062255267e-05,1.0,7.718645666633348e-05,1.0,26.5,,,,,,36.09851200017147,
USGS,liang_feature_iki_2017_adaptation,10,0,8.806313218139104e-05,9.749235429404184e-05,1.0,8.975887957646219e-05,0.9,20.0,,,,,,22.56903529923875,
USGS,dung_direct_knot_2017_adaptation,10,0,0.0005062670580626065,0.000723189208159732,0.0,0.0005116933647831591,0.0,10.8,,,,,,283.5098565003136,
USGS,kang_sparse_2015_adaptation,10,0,0.0052753256116251646,0.02300345297265743,0.6,0.005305099808398922,0.6,7.4,,,,,,2259.8945532008656,
USGS,luo_linf_de_2022_adaptation,10,0,0.0009622026704161341,0.003400107457971152,0.1,0.0009707549821197286,0.1,7.3,,,,,,6821.089525301068,
