source_k,n,canonical_k_mean,canonical_k_median,parameter_rmse_mean,ours_k_mean,ours_count_bias_canonical,ours_count_mae_canonical,ours_count_exact_canonical_rate,ours_mse_mean,ours_mse_median,ours_mse_p95,ours_pass_rate,ours_match_precision_0p010,ours_match_recall_0p010,ours_match_f1_0p010,ours_time_median_ms,ours_time_p95_ms,hard_k_mean,hard_count_bias_canonical,hard_count_mae_canonical,hard_count_exact_canonical_rate,hard_mse_mean,hard_mse_median,hard_mse_p95,hard_pass_rate,hard_match_precision_0p010,hard_match_recall_0p010,hard_match_f1_0p010,hard_time_median_ms,hard_time_p95_ms,ours_minus_hard_k_mean,hard_stage_over_ours_full_time_ratio_median
4,20,3.25,3.0,0.026553236064501107,5.75,2.5,2.5,0.05,3.3133451233879895e-05,2.9696376259380486e-05,5.6257474352605664e-05,0.4,0.09565217391304348,0.16923076923076924,0.12222222222222223,17.86025,21.39868,5.2,1.95,2.05,0.1,2.043521399173187e-05,2.13611665458302e-05,2.3959900499903596e-05,1.0,0.08653846153846154,0.13846153846153847,0.10650887573964497,212.19405,247.91736500000002,0.55,11.532363692890197
5,20,3.65,3.5,0.023011963302269577,7.4,3.75,3.85,0.0,3.1436754579772244e-05,2.810875594150275e-05,4.9561244486540105e-05,0.35,0.0945945945945946,0.1917808219178082,0.12669683257918551,17.1936,19.012999999999998,5.75,2.1,2.1,0.05,2.235426854895195e-05,2.2039675059204455e-05,2.4586920608271613e-05,1.0,0.10434782608695652,0.1643835616438356,0.1276595744680851,199.2822,218.697875,1.65,11.554161199561294
6,20,4.2,4.0,0.02515500718727708,6.65,2.45,2.45,0.15,6.605822045457899e-05,3.1871736609900836e-05,0.0002583527486422099,0.35,0.13533834586466165,0.21428571428571427,0.1658986175115207,17.6873,20.932660000000002,5.35,1.15,1.15,0.2,2.0021900809297222e-05,2.0839217540924437e-05,2.3041887197905455e-05,1.0,0.14018691588785046,0.17857142857142858,0.15706806282722513,209.81575,231.83033000000003,1.3,12.108104763898556
7,20,4.8,5.0,0.02496500890702009,7.9,3.1,3.2,0.1,5.5441552603952005e-05,3.456171907600947e-05,0.00012572401501529393,0.2,0.08860759493670886,0.14583333333333334,0.11023622047244094,17.64955,20.87424,6.9,2.1,2.2,0.05,2.1550150768234745e-05,2.202301038778387e-05,2.4575707811891334e-05,1.0,0.12318840579710146,0.17708333333333334,0.1452991452991453,198.56835,218.295325,1.0,11.240220427425168
8,20,5.7,6.0,0.02271970468573272,7.85,2.15,2.45,0.05,5.490398889378412e-05,4.587533294397872e-05,0.00010085715439345229,0.2,0.12101910828025478,0.16666666666666666,0.14022140221402213,17.86605,18.881905000000003,7.2,1.5,1.6,0.25,2.103124052155181e-05,2.2056237867218442e-05,2.4716953794268194e-05,1.0,0.2638888888888889,0.3333333333333333,0.29457364341085274,195.00845,219.308105,0.65,10.959548202859198
9,20,6.25,6.0,0.021004862524569033,9.3,3.05,3.25,0.05,5.455315858853283e-05,3.874673166137654e-05,0.00010477192809048586,0.15,0.12903225806451613,0.192,0.15434083601286172,17.8717,21.349015,8.05,1.8,1.8,0.25,2.2919833099876996e-05,2.322455566172721e-05,2.4946109260781667e-05,1.0,0.22981366459627328,0.296,0.25874125874125875,194.157,234.954645,1.25,10.9805818596982
10,20,6.4,6.5,0.021602145116776227,7.95,1.55,1.85,0.25,9.776895394679741e-05,6.807651880080812e-05,0.000253775337478146,0.05,0.09433962264150944,0.1171875,0.10452961672473868,18.1135,19.956100000000003,7.7,1.3,1.3,0.2,2.1260633593556123e-05,2.189178667322267e-05,2.4502685573679627e-05,1.0,0.22077922077922077,0.265625,0.24113475177304966,189.9278,238.04974500000003,0.25,11.218959452085592
11,20,6.9,7.0,0.018659235443919897,8.95,2.05,2.75,0.05,8.404716199947871e-05,4.755583358928561e-05,0.0002446263119054493,0.15,0.20670391061452514,0.26811594202898553,0.2334384858044164,17.6291,20.374160000000003,8.9,2.0,2.0,0.1,2.132419494955684e-05,2.1964075131108984e-05,2.460709556544316e-05,1.0,0.21348314606741572,0.2753623188405797,0.24050632911392406,187.4842,216.45140500000002,0.05,10.581582046014052
12,20,7.5,7.5,0.01754031591117382,9.35,1.85,2.35,0.1,8.755732205827371e-05,7.40718278393615e-05,0.0001793822426407133,0.05,0.16042780748663102,0.2,0.17804154302670622,17.926000000000002,22.019935,10.45,2.95,3.05,0.1,2.1199254842940717e-05,2.082770151901059e-05,2.471070429237443e-05,1.0,0.22009569377990432,0.30666666666666664,0.25626740947075205,171.41055,206.90327000000005,-1.1,9.695281249430533
13,20,8.05,8.0,0.014715344971045851,10.5,2.45,3.25,0.2,6.727314512318116e-05,4.680220263253432e-05,0.0001739603394526057,0.1,0.20952380952380953,0.2732919254658385,0.2371967654986523,17.3536,18.72906,9.7,1.65,1.65,0.3,2.130693219442037e-05,2.1359916900109965e-05,2.4620472140668424e-05,1.0,0.29381443298969073,0.35403726708074534,0.32112676056338035,184.53629999999998,201.657225,0.8,10.542265634844568
14,20,9.0,9.0,0.01684956522658467,10.65,1.65,2.25,0.1,9.361061338495347e-05,7.644817378604785e-05,0.00015093399197212438,0.0,0.1784037558685446,0.2111111111111111,0.19338422391857507,18.15275,19.095955,11.8,2.8,2.8,0.1,2.2361311039276188e-05,2.2762214939575642e-05,2.458576127537526e-05,1.0,0.2754237288135593,0.3611111111111111,0.3125,169.72035,189.618585,-1.15,9.66195638236367
15,20,8.8,9.0,0.019037387100979686,10.45,1.65,2.25,0.15,7.476561640942236e-05,6.722611942677759e-05,0.0001425832429958973,0.0,0.15311004784688995,0.18181818181818182,0.16623376623376623,18.1625,21.22895,10.8,2.0,2.2,0.15,2.2208160316949943e-05,2.270019376737764e-05,2.49021313720732e-05,1.0,0.24537037037037038,0.30113636363636365,0.27040816326530615,171.0475,188.85899999999998,-0.35,9.376649266459939
16,20,9.45,10.0,0.015105973836034537,11.75,2.3,2.4,0.35,7.45542987715453e-05,7.014634684310295e-05,0.00014183825478539805,0.05,0.20851063829787234,0.25925925925925924,0.2311320754716981,17.68685,20.30316,12.75,3.3,3.3,0.0,2.2527432702190708e-05,2.278412830492016e-05,2.456289039400872e-05,1.0,0.26666666666666666,0.35978835978835977,0.3063063063063063,156.586,184.32878,-1.0,9.090258770123135
17,20,9.7,10.0,0.014041711483150721,12.25,2.55,2.85,0.15,6.893778740959532e-05,6.31900729786139e-05,0.00012899411885882727,0.1,0.18775510204081633,0.23711340206185566,0.20956719817767655,18.096899999999998,21.037085,11.85,2.15,2.15,0.2,2.2292113453659112e-05,2.265640978293959e-05,2.45554641878698e-05,1.0,0.29957805907172996,0.36597938144329895,0.3294663573085847,163.54579999999999,211.028075,0.4,9.574186737790438
18,20,10.8,11.0,0.014452362922020257,12.75,1.95,2.55,0.1,8.118561017909088e-05,6.73875620122999e-05,0.00016686308299540542,0.0,0.2627450980392157,0.3101851851851852,0.28450106157112526,17.974,21.049345,14.75,3.95,4.05,0.1,2.4613357527414337e-05,2.3054106350173242e-05,3.7857757342862895e-05,0.85,0.3288135593220339,0.44907407407407407,0.3796477495107632,152.3743,182.53049,-2.0,8.946231331763467
19,20,10.6,11.0,0.0153733572922647,12.85,2.25,3.55,0.1,8.536367722626892e-05,8.7774151324993e-05,0.0001733051751216408,0.1,0.22957198443579765,0.2783018867924528,0.2515991471215352,17.522100000000002,19.950445000000002,13.25,2.65,2.65,0.2,2.3335735295404448e-05,2.2877079572936054e-05,2.5427187847526517e-05,0.95,0.3169811320754717,0.39622641509433965,0.35220125786163514,162.2076,176.18328499999998,-0.4,9.212141844664991
20,20,11.25,11.0,0.01647168635390699,13.55,2.3,3.1,0.05,7.372684394795215e-05,6.510931052616797e-05,0.00011934432332054715,0.0,0.25830258302583026,0.3111111111111111,0.282258064516129,18.01315,19.63534,15.5,4.25,4.25,0.05,2.3138980668591103e-05,2.3489517843700014e-05,2.6773720310302452e-05,0.9,0.29354838709677417,0.40444444444444444,0.34018691588785044,149.5169,171.210455,-1.95,8.246954753703703
