source_k,n,canonical_k_mean,canonical_k_median,parameter_rmse_mean,ours_deployment_mode,ours_time_scope,ours_k_mean,ours_count_bias_canonical,ours_count_mae_canonical,ours_count_exact_canonical_rate,ours_mse_mean,ours_mse_median,ours_mse_p95,ours_pass_rate,ours_match_precision_0p010,ours_match_recall_0p010,ours_match_f1_0p010,ours_time_median_ms,ours_time_p95_ms,ours_time_min_ms,ours_time_max_ms,hard_k_mean,hard_count_bias_canonical,hard_count_mae_canonical,hard_count_exact_canonical_rate,hard_mse_mean,hard_mse_median,hard_mse_p95,hard_pass_rate,hard_match_precision_0p010,hard_match_recall_0p010,hard_match_f1_0p010,hard_time_median_ms,hard_time_p95_ms,hard_time_min_ms,hard_time_max_ms,ours_verified_repair_rate,ours_verified_hard_fallback_rate,ours_verified_cleanup_rate,ours_verified_residual_insertion_rate,ours_verified_inserted_k_mean,ours_verified_inserted_k_max,ours_verified_residual_refits_mean,ours_verified_exact_fit_evaluations_mean,ours_verified_final_source_histogram,ours_minus_hard_k_mean,hard_stage_over_ours_full_time_ratio_median
4,20,3.25,3.0,0.026553236064501107,verified,complete network forward + exact verification and conditional adaptive repair,3.55,0.3,0.6,0.5,1.7705433219816768e-05,1.996854098251788e-05,2.451422351441579e-05,1.0,0.09859154929577464,0.1076923076923077,0.10294117647058823,41.8253,56.663310000000024,23.7581,89.7539,3.55,0.3,0.5,0.6,1.5086811436049174e-05,1.5245063423208194e-05,2.1280142482282828e-05,1.0,0.19718309859154928,0.2153846153846154,0.20588235294117646,213.81015,246.66784,187.3188,269.2159,0.35,0.0,1.0,0.0,0.0,0.0,0.0,29.65,"{""chord_parameterization_confidence_add_back_compact"": 6, ""chord_parameterization_learned_verified_compact"": 13, ""chord_parameterization_proposal_same_mask_compact"": 1}",0.0,5.173970752812282
5,20,3.65,3.5,0.023011963302269577,verified,complete network forward + exact verification and conditional adaptive repair,4.45,0.8,1.0,0.3,1.4622197431890526e-05,1.4072176782065071e-05,2.1847216794412818e-05,1.0,0.10112359550561797,0.1232876712328767,0.1111111111111111,46.5869,89.49653500000001,29.907,97.1808,4.15,0.5,0.9,0.35,1.4454689062404213e-05,1.343127223663032e-05,2.385726729698945e-05,1.0,0.1927710843373494,0.2191780821917808,0.20512820512820512,213.35285,258.025275,183.0925,272.0924,0.35,0.0,1.0,0.0,0.0,0.0,0.0,43.4,"{""chord_parameterization_confidence_add_back_compact"": 7, ""chord_parameterization_learned_verified_compact"": 13}",0.3,4.4547572618665425
6,20,4.2,4.0,0.02515500718727708,verified,complete network forward + exact verification and conditional adaptive repair,4.9,0.7,1.0,0.4,1.7820745370045188e-05,1.895818149932893e-05,2.408644759270828e-05,1.0,0.10204081632653061,0.11904761904761904,0.10989010989010989,41.5338,72.91300000000001,26.2997,78.2615,4.4,0.2,0.9,0.25,1.455224783057929e-05,1.4922466561984038e-05,2.2989948047325014e-05,1.0,0.18181818181818182,0.19047619047619047,0.18604651162790697,199.67085,258.60550500000005,182.0791,317.517,0.35,0.0,1.0,0.0,0.0,0.0,0.0,34.5,"{""chord_parameterization_confidence_add_back_compact"": 7, ""chord_parameterization_learned_verified_compact"": 13}",0.5,4.978611685417092
7,20,4.8,5.0,0.02496500890702009,verified,complete network forward + exact verification and conditional adaptive repair,5.55,0.75,1.15,0.4,1.8757729696972093e-05,2.0227829736541025e-05,2.4238634887296938e-05,1.0,0.17117117117117117,0.19791666666666666,0.18357487922705312,45.054950000000005,78.73225,28.1264,83.1564,5.05,0.25,0.65,0.5,1.7592286076251186e-05,1.8426152564643417e-05,2.407915562798735e-05,1.0,0.2376237623762376,0.25,0.24365482233502536,191.97084999999998,238.994235,172.3435,252.7756,0.45,0.0,1.0,0.0,0.0,0.0,0.0,46.6,"{""chord_parameterization_confidence_add_back_compact"": 8, ""chord_parameterization_learned_verified_compact"": 11, ""chord_parameterization_proposal_same_mask_compact"": 1}",0.5,4.197378679407008
8,20,5.7,6.0,0.02271970468573272,verified,complete network forward + exact verification and conditional adaptive repair,6.3,0.6,1.2,0.15,1.898031850942061e-05,1.9523495211615227e-05,2.421759054413997e-05,1.0,0.15873015873015872,0.17543859649122806,0.16666666666666666,45.185500000000005,85.74663,30.7061,86.568,5.7,0.0,0.8,0.35,1.725103543321893e-05,1.80007718881825e-05,2.4363075044675498e-05,1.0,0.2543859649122807,0.2543859649122807,0.2543859649122807,193.51485,257.83613500000007,166.3524,341.8833,0.4,0.0,1.0,0.0,0.0,0.0,0.0,46.4,"{""chord_parameterization_confidence_add_back_compact"": 8, ""chord_parameterization_learned_verified_compact"": 12}",0.6,4.2341449616240325
9,20,6.25,6.0,0.021004862524569033,verified,complete network forward + exact verification and conditional adaptive repair,7.2,0.95,1.35,0.3,2.133397952093219e-05,2.210862294305116e-05,2.4819733243930387e-05,1.0,0.1388888888888889,0.16,0.14869888475836432,46.426199999999994,79.00822000000001,28.438,86.164,6.65,0.4,0.8,0.45,1.7202561753038027e-05,1.8869720406655688e-05,2.4463675617880654e-05,1.0,0.24812030075187969,0.264,0.2558139534883721,189.66235,225.51868500000003,173.0129,240.6063,0.4,0.0,1.0,0.0,0.0,0.0,0.0,46.1,"{""chord_parameterization_confidence_add_back_compact"": 8, ""chord_parameterization_learned_verified_compact"": 12}",0.55,4.118231350412042
10,20,6.4,6.5,0.021602145116776227,verified,complete network forward + exact verification and conditional adaptive repair,6.95,0.55,1.15,0.3,2.1796087366965367e-05,2.3389304260490462e-05,2.4726728042878676e-05,1.0,0.11510791366906475,0.125,0.1198501872659176,53.60485,77.99855000000002,23.5496,95.4871,6.45,0.05,0.65,0.45,1.5977738053152278e-05,1.701463679637527e-05,2.1234320593066516e-05,1.0,0.2558139534883721,0.2578125,0.2568093385214008,187.7549,224.172055,171.2464,248.1891,0.65,0.0,1.0,0.0,0.0,0.0,0.0,51.25,"{""chord_parameterization_confidence_add_back_compact"": 12, ""chord_parameterization_learned_verified_compact"": 7, ""chord_parameterization_proposal_same_mask_compact"": 1}",0.5,3.39341286703635
11,20,6.9,7.0,0.018659235443919897,verified,complete network forward + exact verification and conditional adaptive repair,7.8,0.9,1.5,0.15,2.102807075061719e-05,2.222759121650597e-05,2.4897203547880054e-05,1.0,0.1858974358974359,0.21014492753623187,0.19727891156462585,45.6242,75.853735,27.0571,80.4543,6.9,0.0,0.8,0.35,1.781842420314206e-05,1.858100040408317e-05,2.352523470108281e-05,1.0,0.2971014492753623,0.2971014492753623,0.2971014492753623,181.92079999999999,191.41685500000003,162.5949,204.2144,0.6,0.0,1.0,0.0,0.0,0.0,0.0,47.35,"{""chord_parameterization_confidence_add_back_compact"": 9, ""chord_parameterization_learned_verified_compact"": 8, ""chord_parameterization_proposal_same_mask_compact"": 3}",0.9,3.998852600734864
12,20,7.5,7.5,0.01754031591117382,verified,complete network forward + exact verification and conditional adaptive repair,8.75,1.25,2.35,0.0,2.0949586996721337e-05,2.1761525204055943e-05,2.4655899505887646e-05,1.0,0.13714285714285715,0.16,0.1476923076923077,53.1505,95.82679500000003,23.0466,130.8494,7.55,0.05,1.25,0.3,1.5250382966769394e-05,1.4971756172599271e-05,2.3859580778662348e-05,1.0,0.2781456953642384,0.28,0.27906976744186046,182.3077,218.23976000000002,157.8823,227.7067,0.7,0.0,1.0,0.0,0.0,0.0,0.0,59.95,"{""chord_parameterization_confidence_add_back_compact"": 13, ""chord_parameterization_learned_verified_compact"": 6, ""chord_parameterization_proposal_same_mask_compact"": 1}",1.2,3.849259747458327
13,20,8.05,8.0,0.014715344971045851,verified,complete network forward + exact verification and conditional adaptive repair,8.9,0.85,1.45,0.2,2.2035965139366452e-05,2.22250928345602e-05,2.4573408427386312e-05,1.0,0.2303370786516854,0.2546583850931677,0.24188790560471976,55.01349999999999,79.33858500000002,43.4822,106.3183,7.6,-0.45,0.85,0.4,1.748658678479842e-05,1.7584236957191024e-05,2.4532674069632775e-05,1.0,0.3881578947368421,0.36645962732919257,0.37699680511182104,183.37005,282.46718000000004,164.8865,327.8293,0.6,0.0,1.0,0.0,0.0,0.0,0.0,66.35,"{""chord_parameterization_confidence_add_back_compact"": 12, ""chord_parameterization_learned_verified_compact"": 8}",1.3,3.3299333682903924
14,20,9.0,9.0,0.01684956522658467,verified,complete network forward + exact verification and conditional adaptive repair,9.45,0.45,1.45,0.2,2.1612438786178245e-05,2.2723689653503243e-05,2.4738085630815477e-05,1.0,0.2222222222222222,0.23333333333333334,0.22764227642276422,58.6238,90.23480500000002,27.8655,106.8599,8.6,-0.4,1.1,0.25,1.829144007388095e-05,1.9231919395679142e-05,2.438368874209118e-05,1.0,0.36627906976744184,0.35,0.3579545454545454,177.1232,225.29036,150.6418,230.0776,0.75,0.0,1.0,0.0,0.0,0.0,0.0,72.7,"{""chord_parameterization_confidence_add_back_compact"": 13, ""chord_parameterization_learned_verified_compact"": 5, ""chord_parameterization_proposal_same_mask_compact"": 2}",0.85,3.0116498315570936
