source_k,n,canonical_k_mean,canonical_k_median,parameter_rmse_mean,ours_deployment_mode,ours_time_scope,ours_k_mean,ours_count_bias_canonical,ours_count_mae_canonical,ours_count_exact_canonical_rate,ours_mse_mean,ours_mse_median,ours_mse_p95,ours_pass_rate,ours_match_precision_0p010,ours_match_recall_0p010,ours_match_f1_0p010,ours_time_median_ms,ours_time_p95_ms,ours_time_min_ms,ours_time_max_ms,hard_k_mean,hard_count_bias_canonical,hard_count_mae_canonical,hard_count_exact_canonical_rate,hard_mse_mean,hard_mse_median,hard_mse_p95,hard_pass_rate,hard_match_precision_0p010,hard_match_recall_0p010,hard_match_f1_0p010,hard_time_median_ms,hard_time_p95_ms,hard_time_min_ms,hard_time_max_ms,ours_verified_repair_rate,ours_verified_hard_fallback_rate,ours_verified_cleanup_rate,ours_verified_residual_insertion_rate,ours_verified_inserted_k_mean,ours_verified_inserted_k_max,ours_verified_residual_refits_mean,ours_verified_exact_fit_evaluations_mean,ours_verified_final_source_histogram,ours_minus_hard_k_mean,hard_stage_over_ours_full_time_ratio_median
4,20,3.25,3.0,0.026553236064501107,verified,complete network forward + exact verification and conditional adaptive repair,3.55,0.3,0.6,0.5,1.7705434265735677e-05,1.996854552999139e-05,2.451422351441579e-05,1.0,0.09859154929577464,0.1076923076923077,0.10294117647058823,43.807649999999995,72.37199500000001,33.0514,92.7475,3.55,0.3,0.5,0.6,1.5086811822584423e-05,1.5245063423208194e-05,2.1280142482282828e-05,1.0,0.19718309859154928,0.2153846153846154,0.20588235294117646,223.24009999999998,303.95169000000004,201.9198,351.3147,0.35,0.0,1.0,0.0,0.0,0.0,0.0,29.65,"{""chord_parameterization_confidence_add_back_compact"": 6, ""chord_parameterization_learned_verified_compact"": 13, ""chord_parameterization_proposal_same_mask_compact"": 1}",0.0,5.417820860160964
5,20,3.65,3.5,0.023011963302269577,verified,complete network forward + exact verification and conditional adaptive repair,4.45,0.8,1.0,0.3,1.4622197204516851e-05,1.4072177691559773e-05,2.1847216794412818e-05,1.0,0.10112359550561797,0.1232876712328767,0.1111111111111111,55.4369,97.86860000000001,29.5334,120.8909,4.15,0.5,0.9,0.35,1.4454688471232658e-05,1.343126677966211e-05,2.385726729698945e-05,1.0,0.1927710843373494,0.2191780821917808,0.20512820512820512,221.63045,301.84821000000005,187.9525,317.2821,0.35,0.0,1.0,0.0,0.0,0.0,0.0,43.4,"{""chord_parameterization_confidence_add_back_compact"": 7, ""chord_parameterization_learned_verified_compact"": 13}",0.3,4.175804496917069
6,20,4.2,4.0,0.02515500718727708,verified,complete network forward + exact verification and conditional adaptive repair,4.9,0.7,1.0,0.4,1.782074627953989e-05,1.895818149932893e-05,2.408643022135948e-05,1.0,0.10204081632653061,0.11904761904761904,0.10989010989010989,46.6635,78.131865,30.3653,79.1971,4.4,0.2,0.9,0.25,1.4552247762367188e-05,1.4922464288247284e-05,2.298995495948475e-05,1.0,0.18181818181818182,0.19047619047619047,0.18604651162790697,222.53235,259.42233500000015,191.7032,426.8605,0.35,0.0,1.0,0.0,0.0,0.0,0.0,34.5,"{""chord_parameterization_confidence_add_back_compact"": 7, ""chord_parameterization_learned_verified_compact"": 13}",0.5,4.4591921125068925
7,20,4.8,5.0,0.02496500890702009,verified,complete network forward + exact verification and conditional adaptive repair,5.55,0.75,1.15,0.4,1.8757733380425633e-05,2.0227829736541025e-05,2.423863479634747e-05,1.0,0.17117117117117117,0.19791666666666666,0.18357487922705312,62.574299999999994,89.50468000000001,33.9687,95.9396,5.05,0.25,0.65,0.5,1.7592285257705952e-05,1.8426147107675206e-05,2.4079154991341055e-05,1.0,0.2376237623762376,0.25,0.24365482233502536,216.37470000000002,263.48074,186.2725,284.4499,0.45,0.0,1.0,0.0,0.0,0.0,0.0,46.6,"{""chord_parameterization_confidence_add_back_compact"": 8, ""chord_parameterization_learned_verified_compact"": 11, ""chord_parameterization_proposal_same_mask_compact"": 1}",0.5,3.5799981475560863
8,20,5.7,6.0,0.02271970468573272,verified,complete network forward + exact verification and conditional adaptive repair,6.3,0.6,1.2,0.15,1.8980318964167962e-05,1.9523494302120525e-05,2.4217589907493674e-05,1.0,0.15873015873015872,0.17543859649122806,0.16666666666666666,50.0205,92.82902,32.0035,103.9786,5.7,0.0,0.8,0.35,1.7251036706511513e-05,1.80007718881825e-05,2.4363055126741527e-05,1.0,0.2543859649122807,0.2543859649122807,0.2543859649122807,206.75414999999998,463.5035,180.5598,471.1149,0.4,0.0,1.0,0.0,0.0,0.0,0.0,46.4,"{""chord_parameterization_confidence_add_back_compact"": 8, ""chord_parameterization_learned_verified_compact"": 12}",0.6,4.717991607776483
9,20,6.25,6.0,0.021004862524569033,verified,complete network forward + exact verification and conditional adaptive repair,7.2,0.95,1.35,0.3,2.1333977429094375e-05,2.2108622033556458e-05,2.4819726331770652e-05,1.0,0.1388888888888889,0.16,0.14869888475836432,55.0257,93.48024500000004,32.5296,157.6802,6.65,0.4,0.8,0.45,1.7202564254148456e-05,1.8869723135139793e-05,2.4463696354359855e-05,1.0,0.24812030075187969,0.264,0.2558139534883721,207.3259,298.04639000000003,185.5709,332.8732,0.4,0.0,1.0,0.0,0.0,0.0,0.0,46.1,"{""chord_parameterization_confidence_add_back_compact"": 8, ""chord_parameterization_learned_verified_compact"": 12}",0.55,4.005711236232846
10,20,6.4,6.5,0.021602145116776227,verified,complete network forward + exact verification and conditional adaptive repair,6.95,0.55,1.15,0.3,2.1796087366965367e-05,2.338930789846927e-05,2.472673068041331e-05,1.0,0.11510791366906475,0.125,0.1198501872659176,62.5686,79.93137500000002,21.856,93.0143,6.45,0.05,0.65,0.45,1.597773702997074e-05,1.701462679193355e-05,2.1234320593066516e-05,1.0,0.2558139534883721,0.2578125,0.2568093385214008,214.02965,247.762265,183.8438,262.5987,0.65,0.0,1.0,0.0,0.0,0.0,0.0,51.25,"{""chord_parameterization_confidence_add_back_compact"": 12, ""chord_parameterization_learned_verified_compact"": 7, ""chord_parameterization_proposal_same_mask_compact"": 1}",0.5,3.5515666673243587
11,20,6.9,7.0,0.018659235443919897,verified,complete network forward + exact verification and conditional adaptive repair,7.8,0.9,1.5,0.15,2.102807111441507e-05,2.2227588488021865e-05,2.4897203547880054e-05,1.0,0.1858974358974359,0.21014492753623187,0.19727891156462585,59.33125,95.676515,26.8043,106.1344,6.9,0.0,0.8,0.35,1.7818426749727222e-05,1.8581003132567275e-05,2.352523461013334e-05,1.0,0.2971014492753623,0.2971014492753623,0.2971014492753623,209.42444999999998,300.92126000000013,181.9904,416.6191,0.6,0.0,1.0,0.0,0.0,0.0,0.0,47.35,"{""chord_parameterization_confidence_add_back_compact"": 9, ""chord_parameterization_learned_verified_compact"": 8, ""chord_parameterization_proposal_same_mask_compact"": 3}",0.9,3.6578853112338408
12,20,7.5,7.5,0.01754031591117382,verified,complete network forward + exact verification and conditional adaptive repair,8.75,1.25,2.35,0.0,2.094958963425597e-05,2.176153338950826e-05,2.4655899505887646e-05,1.0,0.13714285714285715,0.16,0.1476923076923077,56.774,112.05556000000001,28.4665,125.8697,7.55,0.05,1.25,0.3,1.525038437648618e-05,1.4971756172599271e-05,2.3859580778662348e-05,1.0,0.2781456953642384,0.28,0.27906976744186046,203.10725000000002,289.35061500000006,170.069,394.0713,0.7,0.0,1.0,0.0,0.0,0.0,0.0,59.95,"{""chord_parameterization_confidence_add_back_compact"": 13, ""chord_parameterization_learned_verified_compact"": 6, ""chord_parameterization_proposal_same_mask_compact"": 1}",1.2,3.6609824671562317
13,20,8.05,8.0,0.014715344971045851,verified,complete network forward + exact verification and conditional adaptive repair,8.9,0.85,1.45,0.2,2.2035967867850557e-05,2.2225100110517815e-05,2.457341161061777e-05,1.0,0.2303370786516854,0.2546583850931677,0.24188790560471976,66.72825,112.25072000000002,39.7418,129.3207,7.6,-0.45,0.85,0.4,1.748658733049524e-05,1.758424514264334e-05,2.4532693987566746e-05,1.0,0.3881578947368421,0.36645962732919257,0.37699680511182104,210.51205,284.20682999999997,179.1299,290.8365,0.6,0.0,1.0,0.0,0.0,0.0,0.0,66.35,"{""chord_parameterization_confidence_add_back_compact"": 12, ""chord_parameterization_learned_verified_compact"": 8}",1.3,3.2248896974936594
