sample_index,source_internal_knot_count,canonical_internal_knot_count,mse_tolerance,method,mse,final_internal_knot_count,canonical_count_error,source_count_error,threshold_satisfied,elapsed_ms,timing_scope,parameterization,internal_knots
1130,4,4,2.5e-05,ours,9.692309752457414e-06,8,4,4,True,21.37725,synchronized batch-1 network forward only; input preloaded on device; final refit and verified repair excluded,network_predicted,"[0.23702508211135864, 0.38985440135002136, 0.41805168986320496, 0.44861042499542236, 0.5654873847961426, 0.5954970717430115, 0.6241688132286072, 0.6603028178215027]"
1130,4,4,2.5e-05,kang_sparse_2015_adaptation,6.517433159698165e-06,4,0,0,True,3761.6052000012132,complete sparse ADMM selection + relocation + one common endpoint-constrained final refit; no feasibility add-back/fallback,chord_length,"[0.29439786585365857, 0.37900152439024387, 0.5855564024390243, 0.7801067073170732]"
1130,4,4,2.5e-05,yeh_feature_cdf_2020,1.7838105092374897e-05,4,0,0,True,15.378999996755738,complete derivative-feature construction + ascending cardinality scan + endpoint-constrained standard B-spline refits,chord_length,"[0.28081897629192143, 0.4510023098771898, 0.6048069561294069, 0.7484011196409864]"
1130,4,4,2.5e-05,uniform_gradient_pruning,7.203185394937749e-06,3,-1,-1,True,12906.454700001632,complete uniform-Kmax initialization + all deletion scoring + gradient relocation + exact refit validation,chord_length,"[0.4448960218514262, 0.5733926580655965, 0.8350539040304601]"
1209,5,3,2.5e-05,ours,8.900322855140118e-06,7,4,2,True,25.0564,synchronized batch-1 network forward only; input preloaded on device; final refit and verified repair excluded,network_predicted,"[0.3103615641593933, 0.5551097989082336, 0.581569492816925, 0.609657347202301, 0.7289605736732483, 0.7597567439079285, 0.7905418872833252]"
1209,5,3,2.5e-05,kang_sparse_2015_adaptation,7.475813624278626e-06,4,1,-1,True,3642.0570999980555,complete sparse ADMM selection + relocation + one common endpoint-constrained final refit; no feasibility add-back/fallback,chord_length,"[0.2679115853658537, 0.453125, 0.5933689024390244, 0.7320884146341463]"
1209,5,3,2.5e-05,yeh_feature_cdf_2020,8.225266823999781e-06,5,2,0,True,17.8992000001017,complete derivative-feature construction + ascending cardinality scan + endpoint-constrained standard B-spline refits,chord_length,"[0.37216926247513615, 0.48867080924273, 0.5847297119456731, 0.6863071578744263, 0.8019391222336355]"
1209,5,3,2.5e-05,uniform_gradient_pruning,2.1741589399227013e-05,3,0,-2,True,12098.948300001211,complete uniform-Kmax initialization + all deletion scoring + gradient relocation + exact refit validation,chord_length,"[0.4911997958026877, 0.603279907383891, 0.7726336632841471]"
841,6,5,2.5e-05,ours,1.0103552713332101e-05,10,5,4,True,25.1916,synchronized batch-1 network forward only; input preloaded on device; final refit and verified repair excluded,network_predicted,"[0.12420778721570969, 0.15910521149635315, 0.25517570972442627, 0.2853372395038605, 0.31401509046554565, 0.48581618070602417, 0.5134441256523132, 0.543818473815918, 0.8151288032531738, 0.8674463629722595]"
841,6,5,2.5e-05,kang_sparse_2015_adaptation,1.0740481567067094e-05,5,0,-1,True,3014.4887000060407,complete sparse ADMM selection + relocation + one common endpoint-constrained final refit; no feasibility add-back/fallback,chord_length,"[0.28487042682926833, 0.4312118902439025, 0.5125762195121951, 0.6370045731707317, 0.7572408536585366]"
