sample_index,source_internal_knot_count,canonical_internal_knot_count,mse_tolerance,method,mse,final_internal_knot_count,canonical_count_error,source_count_error,threshold_satisfied,elapsed_ms,timing_scope,parameterization,internal_knots
1130,4,4,2.5e-05,ours,2.2519865957253037e-05,4,0,0,True,17.33645,synchronized batch-1 network forward only; input preloaded on device; final refit and verified repair excluded,network_predicted,"[0.1460372805595398, 0.4287301301956177, 0.5557268261909485, 0.6235032081604004]"
1130,4,4,2.5e-05,kang_sparse_2015_adaptation,6.517433159698145e-06,4,0,0,True,3145.8868000045186,complete sparse ADMM selection + relocation + endpoint-constrained verification/fallback + final refit,chord_length,"[0.29439786585365857, 0.37900152439024387, 0.5855564024390243, 0.7801067073170732]"
1130,4,4,2.5e-05,uniform_gradient_pruning,6.0349572414923e-06,3,-1,-1,True,13729.36449998815,complete uniform-Kmax initialization + all deletion scoring + gradient relocation + exact refit validation,chord_length,"[0.45329684512173707, 0.5547604816292835, 0.8306276273500139]"
1474,4,4,2.5e-05,ours,1.7313724242487747e-05,6,2,2,True,17.82405,synchronized batch-1 network forward only; input preloaded on device; final refit and verified repair excluded,network_predicted,"[0.16200795769691467, 0.2514575719833374, 0.36443236470222473, 0.5513802766799927, 0.7716213464736938, 0.8517836928367615]"
1474,4,4,2.5e-05,kang_sparse_2015_adaptation,2.2870836001868602e-05,4,0,0,True,2432.707099986146,complete sparse ADMM selection + relocation + endpoint-constrained verification/fallback + final refit,chord_length,"[0.29744664634146345, 0.4148246951219512, 0.6095655487804879, 0.7808689024390244]"
1474,4,4,2.5e-05,uniform_gradient_pruning,2.1714767845062966e-05,4,0,0,True,12594.897899994976,complete uniform-Kmax initialization + all deletion scoring + gradient relocation + exact refit validation,chord_length,"[0.3122399772042803, 0.42248966686823175, 0.6307956332094082, 0.7247480299115926]"
735,4,3,2.5e-05,ours,1.3673553497272237e-05,4,1,0,True,17.167949999999998,synchronized batch-1 network forward only; input preloaded on device; final refit and verified repair excluded,network_predicted,"[0.19888153672218323, 0.26821619272232056, 0.4374532997608185, 0.7873398661613464]"
735,4,3,2.5e-05,kang_sparse_2015_adaptation,1.8127370231778626e-05,3,0,-1,True,3336.7479000153253,complete sparse ADMM selection + relocation + endpoint-constrained verification/fallback + final refit,chord_length,"[0.28696646341463417, 0.44569359756097565, 0.7023628048780487]"
735,4,3,2.5e-05,uniform_gradient_pruning,1.3948495823206973e-05,3,0,-1,True,13442.539199997555,complete uniform-Kmax initialization + all deletion scoring + gradient relocation + exact refit validation,chord_length,"[0.3340635853027018, 0.42338066046886813, 0.6890780366392173]"
2660,4,3,2.5e-05,ours,2.380668427443283e-05,4,1,0,True,17.053800000000003,synchronized batch-1 network forward only; input preloaded on device; final refit and verified repair excluded,network_predicted,"[0.4277356266975403, 0.6164233684539795, 0.6788380742073059, 0.8231845498085022]"
