dataset,method,n,failed,mse_mean,mse_p95,fit_pass_rate,reference_mse_mean,reference_pass_rate,final_k_mean,canonical_k_mean,canonical_count_mae,canonical_count_bias,canonical_count_exact_rate,canonical_count_within_one_rate,total_ms_mean,network_ms_mean
Synthetic,ours,42,0,2.5096382356364816e-05,4.4555796796253295e-05,0.9523809523809523,,,24.88095238095238,14.0,10.880952380952381,10.880952380952381,0.0,0.0,8.395014523809525,6.946474083333333
Synthetic,park_dominant_point_2007_adaptation,42,0,4.4176518629028936e-05,4.948188912819503e-05,1.0,,,39.19047619047619,14.0,25.19047619047619,25.19047619047619,0.0,0.0,58.992682381185226,
Synthetic,liang_feature_iki_2017_adaptation,42,0,4.640524477763123e-05,4.973469631407036e-05,1.0,,,35.88095238095238,14.0,21.88095238095238,21.88095238095238,0.0,0.0,43.38537457122237,
Synthetic,dung_direct_knot_2017_adaptation,42,0,0.0010474367760316102,0.002241860150268252,0.0,,,14.80952380952381,14.0,0.8095238095238095,0.8095238095238095,0.21428571428571427,0.9761904761904762,395.2534568805796,
Synthetic,kang_sparse_2015_adaptation,42,0,0.003237097513684052,0.006396996904580057,0.23809523809523808,,,5.285714285714286,14.0,10.761904761904763,-8.714285714285714,0.0,0.0,811.324402119031,
Synthetic,luo_linf_de_2022_adaptation,42,0,0.0024636212223106252,0.005113138895701769,0.16666666666666666,,,10.333333333333334,14.0,7.0,-3.6666666666666665,0.09523809523809523,0.21428571428571427,2892.692322595394,
UJI,ours,8,0,2.694001371753913e-05,7.432300820303237e-05,0.875,3.5613738535006364e-05,0.75,21.875,,,,,,8.348149375,6.9292956875
UJI,park_dominant_point_2007_adaptation,8,0,3.833813306831864e-05,4.772349036421428e-05,1.0,8.019152826137787e-05,0.125,9.125,,,,,,12.145806625085243,
UJI,liang_feature_iki_2017_adaptation,8,0,3.103343644231225e-05,4.8460155232937514e-05,1.0,6.025683175864372e-05,0.5,7.5,,,,,,8.008693876035977,
UJI,dung_direct_knot_2017_adaptation,8,0,0.0006258374242572449,0.0021709294345751274,0.25,0.0008677346888506765,0.25,3.625,,,,,,92.75739024997165,
UJI,kang_sparse_2015_adaptation,8,0,4.673483718012218e-05,9.261020413881941e-05,0.75,9.349195721842649e-05,0.0,6.125,,,,,,1212.196853000023,
UJI,luo_linf_de_2022_adaptation,8,0,0.0006225882543508771,0.002260909686791896,0.375,0.0007384553380051982,0.375,3.75,,,,,,3085.1041845007785,
NaturalEarth,ours,8,0,0.00010679806118121452,0.0002551061404242366,0.25,0.00010632061064282898,0.25,23.125,,,,,,8.349049125,6.944748875
NaturalEarth,park_dominant_point_2007_adaptation,8,0,4.3668257828001796e-05,4.894404689221084e-05,1.0,4.531419338158904e-05,0.75,24.875,,,,,,39.44271150066925,
NaturalEarth,liang_feature_iki_2017_adaptation,8,0,4.714020040444458e-05,4.988676819955845e-05,1.0,0.07651634501239911,0.375,24.5,,,,,,28.755247874869383,
NaturalEarth,dung_direct_knot_2017_adaptation,8,0,0.0006609023505780493,0.0014453794574061242,0.0,0.000670993064430314,0.0,11.0,,,,,,295.4070276255152,
NaturalEarth,kang_sparse_2015_adaptation,8,0,0.006741362909807636,0.025102157141411535,0.125,0.006807932175316385,0.125,9.0,,,,,,914.2061087509319,
NaturalEarth,luo_linf_de_2022_adaptation,8,0,0.0022602470492344893,0.005410296938897075,0.0,0.0022801207666362584,0.0,6.0,,,,,,2815.752511250139,
USGS,ours,8,0,7.22318370532124e-05,0.0001708471521189904,0.375,7.042706383816958e-05,0.375,34.5,,,,,,8.552019625,6.940845375
USGS,park_dominant_point_2007_adaptation,8,0,4.656455405859593e-05,4.987742798951514e-05,1.0,4.7639266339778705e-05,0.625,33.25,,,,,,49.7524885004168,
USGS,liang_feature_iki_2017_adaptation,8,0,4.0568714212668325e-05,4.91391380589692e-05,1.0,4.16001363508882e-05,0.875,29.5,,,,,,36.16049675110844,
USGS,dung_direct_knot_2017_adaptation,8,0,0.00026176690719386823,0.0003905880943684663,0.125,0.0002649139560400381,0.125,15.125,,,,,,411.09188549989994,
USGS,kang_sparse_2015_adaptation,8,0,0.004361688673240859,0.010129202805182678,0.25,0.004387506663486421,0.25,3.5,,,,,,783.1701946242902,
USGS,luo_linf_de_2022_adaptation,8,0,0.0007746382615359333,0.001512661693976704,0.25,0.000780984512937011,0.25,8.5,,,,,,2609.1651551250834,
