dataset,sample_id,method,status,safeguard_enabled,safeguard_used,native_k,native_mse,final_k,final_mse,extra_refit_count,final_source,repair_status,capacity,complete_ms
Synthetic,seed20000_sample2679,dung_direct_knot_2017_adaptation,ok,True,True,5,0.002194033184454713,9,4.095534412096115e-05,12,residual_guided_augmentation,repaired_feasible,64,361.2136000301689
Synthetic,seed20000_sample2679,kang_sparse_2015_adaptation,ok,True,True,6,7.99491891224512e-05,8,2.9680286000714485e-05,6,residual_guided_augmentation,repaired_feasible,64,1200.606400030665
Synthetic,seed20000_sample2679,luo_linf_de_2022_adaptation,ok,True,True,4,0.001963683892286746,17,3.4687552030484524e-05,39,residual_guided_augmentation,repaired_feasible,64,2288.910200004466
Synthetic,seed20000_sample2344,dung_direct_knot_2017_adaptation,ok,True,True,6,0.0020223581398780555,11,4.932516479107081e-05,15,residual_guided_augmentation,repaired_feasible,64,356.87070002313703
Synthetic,seed20000_sample2344,kang_sparse_2015_adaptation,ok,True,True,8,6.000451239877343e-05,9,4.491391450614171e-05,3,residual_guided_augmentation,repaired_feasible,64,1413.9582000207156
Synthetic,seed20000_sample2344,luo_linf_de_2022_adaptation,ok,True,True,8,0.00013551747678807529,13,4.111009402121146e-05,15,residual_guided_augmentation,repaired_feasible,64,2529.090099968016
Synthetic,seed20000_sample3602,dung_direct_knot_2017_adaptation,ok,True,True,7,0.0022443774470411438,12,4.1916218438485416e-05,15,residual_guided_augmentation,repaired_feasible,64,383.3654000191018
Synthetic,seed20000_sample3602,kang_sparse_2015_adaptation,ok,True,True,8,5.379615844904956e-05,9,4.8944007434135e-05,3,residual_guided_augmentation,repaired_feasible,64,1434.583600028418
Synthetic,seed20000_sample3602,luo_linf_de_2022_adaptation,ok,True,True,12,7.708415283668886e-05,15,4.8411085306704864e-05,9,residual_guided_augmentation,repaired_feasible,64,3044.048700015992
Synthetic,seed20000_sample3494,dung_direct_knot_2017_adaptation,ok,True,True,7,0.002271749151480942,15,4.742731068886672e-05,24,residual_guided_augmentation,repaired_feasible,64,611.2339999526739
Synthetic,seed20000_sample3494,kang_sparse_2015_adaptation,ok,True,True,11,0.00010020761388613072,14,4.9897220637990334e-05,9,residual_guided_augmentation,repaired_feasible,64,1573.0755000258796
Synthetic,seed20000_sample3494,luo_linf_de_2022_adaptation,ok,True,True,20,5.3137337089120936e-05,21,4.225474549781054e-05,3,residual_guided_augmentation,repaired_feasible,64,2624.386500043329
Synthetic,seed20000_sample1236,dung_direct_knot_2017_adaptation,ok,True,True,9,0.0019182000092344304,17,4.952112952761158e-05,24,residual_guided_augmentation,repaired_feasible,64,535.8548000222072
Synthetic,seed20000_sample1236,kang_sparse_2015_adaptation,ok,True,True,11,0.00011130846856602323,15,4.76322380445879e-05,12,residual_guided_augmentation,repaired_feasible,64,1229.4954000390135
Synthetic,seed20000_sample1236,luo_linf_de_2022_adaptation,ok,True,True,19,5.149541158729154e-05,20,4.5499254680058055e-05,3,residual_guided_augmentation,repaired_feasible,64,2471.3585000135936
Synthetic,seed20000_sample365,dung_direct_knot_2017_adaptation,ok,True,True,10,0.0018452605168658486,21,4.4199988157102214e-05,33,residual_guided_augmentation,repaired_feasible,64,599.8824000125751
Synthetic,seed20000_sample365,kang_sparse_2015_adaptation,ok,True,True,12,8.886862410448328e-05,15,4.482372092138413e-05,9,residual_guided_augmentation,repaired_feasible,64,1259.885800012853
Synthetic,seed20000_sample365,luo_linf_de_2022_adaptation,ok,True,True,18,7.569801375233313e-05,21,4.5783312821448173e-05,9,residual_guided_augmentation,repaired_feasible,64,2550.33800000092
Synthetic,seed20000_sample2797,dung_direct_knot_2017_adaptation,ok,True,True,11,0.000843299299940072,20,4.851633779570622e-05,27,residual_guided_augmentation,repaired_feasible,64,728.722799976822
Synthetic,seed20000_sample2797,kang_sparse_2015_adaptation,ok,True,True,13,0.00010705578382775288,18,4.4943033266034783e-05,15,residual_guided_augmentation,repaired_feasible,64,1341.7804999626242
Synthetic,seed20000_sample2797,luo_linf_de_2022_adaptation,ok,True,False,20,4.688324418880233e-05,20,4.688324418880233e-05,0,native,native_feasible,64,2501.8306000274606
Synthetic,seed20000_sample2097,dung_direct_knot_2017_adaptation,ok,True,True,11,0.00108755220057459,24,4.789160463877702e-05,39,residual_guided_augmentation,repaired_feasible,64,807.3798000114039
Synthetic,seed20000_sample2097,kang_sparse_2015_adaptation,ok,True,False,63,2.8089757143734373e-06,63,2.8089757143734373e-06,0,native,native_feasible,64,440.875300031621
Synthetic,seed20000_sample2097,luo_linf_de_2022_adaptation,ok,True,True,11,0.0017194643342357378,27,4.998837491950282e-05,48,residual_guided_augmentation,repaired_feasible,64,2499.638999986928
Synthetic,seed20000_sample1601,dung_direct_knot_2017_adaptation,ok,True,True,13,0.0005924476946733523,21,4.8708871669271636e-05,24,residual_guided_augmentation,repaired_feasible,64,771.6234999825247
Synthetic,seed20000_sample1601,kang_sparse_2015_adaptation,ok,True,True,13,0.004109643125174168,35,4.266158582931019e-05,66,residual_guided_augmentation,repaired_feasible,64,588.4046999854036
Synthetic,seed20000_sample1601,luo_linf_de_2022_adaptation,ok,True,True,10,0.0021495205909676583,27,4.939681862502866e-05,51,residual_guided_augmentation,repaired_feasible,64,2735.049100010656
Synthetic,seed20000_sample3366,dung_direct_knot_2017_adaptation,ok,True,True,13,0.0014300725850564064,19,4.848023518486629e-05,18,residual_guided_augmentation,repaired_feasible,64,871.645399951376
Synthetic,seed20000_sample3366,kang_sparse_2015_adaptation,ok,True,True,1,0.00665244630542611,29,4.926167373015929e-05,84,residual_guided_augmentation,repaired_feasible,64,712.0096000144258
Synthetic,seed20000_sample3366,luo_linf_de_2022_adaptation,ok,True,True,3,0.003846635147511655,28,4.550493443787175e-05,75,residual_guided_augmentation,repaired_feasible,64,2688.6226999922656
Synthetic,seed20000_sample2204,dung_direct_knot_2017_adaptation,ok,True,True,14,0.0011801830698633508,23,4.710643587666469e-05,27,residual_guided_augmentation,repaired_feasible,64,880.2362999995239
Synthetic,seed20000_sample2204,kang_sparse_2015_adaptation,ok,True,True,2,0.003959680139456621,30,4.7880540968290924e-05,84,residual_guided_augmentation,repaired_feasible,64,736.8815000518225
Synthetic,seed20000_sample2204,luo_linf_de_2022_adaptation,ok,True,True,7,0.002958327581897635,30,4.818816088120342e-05,69,residual_guided_augmentation,repaired_feasible,64,2526.3834000215866
Synthetic,seed20000_sample961,dung_direct_knot_2017_adaptation,ok,True,True,16,0.0007897771603849671,28,4.9924503989695286e-05,36,residual_guided_augmentation,repaired_feasible,64,1149.7607000055723
Synthetic,seed20000_sample961,kang_sparse_2015_adaptation,ok,True,True,9,0.004229608522388906,37,4.708353293848261e-05,84,residual_guided_augmentation,repaired_feasible,64,615.6398000312038
Synthetic,seed20000_sample961,luo_linf_de_2022_adaptation,ok,True,True,14,0.002779698881670283,35,4.999928110114285e-05,63,residual_guided_augmentation,repaired_feasible,64,2538.102099962998
Synthetic,seed20000_sample3248,dung_direct_knot_2017_adaptation,ok,True,True,17,0.0003497444030376943,32,4.869271886928623e-05,45,residual_guided_augmentation,repaired_feasible,64,1304.526599997189
Synthetic,seed20000_sample3248,kang_sparse_2015_adaptation,ok,True,True,1,0.0063589353714893805,36,4.675093150959713e-05,105,residual_guided_augmentation,repaired_feasible,64,671.9349999912083
Synthetic,seed20000_sample3248,luo_linf_de_2022_adaptation,ok,True,True,3,0.005171905845236957,36,4.92063613187082e-05,99,residual_guided_augmentation,repaired_feasible,64,2313.973899988923
Synthetic,seed20000_sample2753,dung_direct_knot_2017_adaptation,ok,True,True,18,0.0007313015440889399,30,4.837314999062886e-05,36,residual_guided_augmentation,repaired_feasible,64,1322.0405000029132
