dataset,method,n,failed,mse_mean,mse_p95,fit_pass_rate,reference_mse_mean,reference_pass_rate,final_k_mean,canonical_k_mean,canonical_count_mae,canonical_count_bias,canonical_count_exact_rate,canonical_count_within_one_rate,total_ms_mean,network_ms_mean
Synthetic,ours,21,0,3.332059840624989e-05,6.764743302878791e-05,0.8571428571428571,,,27.952380952380953,14.0,13.952380952380953,13.952380952380953,0.0,0.0,18.480780952380954,15.508561904761905
Synthetic,park_dominant_point_2007_adaptation,21,0,4.40179120428102e-05,4.920329111612818e-05,1.0,,,38.857142857142854,14.0,24.857142857142858,24.857142857142858,0.0,0.0,165.52791904125894,
Synthetic,liang_feature_iki_2017_adaptation,21,0,4.669667495091561e-05,4.97391723508276e-05,1.0,,,35.23809523809524,14.0,21.238095238095237,21.238095238095237,0.0,0.0,109.89125713517535,
Synthetic,dung_direct_knot_2017_adaptation,21,0,4.763448675333889e-05,4.954672093912807e-05,1.0,,,26.571428571428573,14.0,12.571428571428571,12.571428571428571,0.0,0.0,1072.888585708348,
Synthetic,kang_sparse_2015_adaptation,21,0,4.393415282667778e-05,4.926167373015929e-05,1.0,,,34.333333333333336,14.0,20.333333333333332,20.333333333333332,0.0,0.0,906.8971904870566,
Synthetic,luo_linf_de_2022_adaptation,21,0,4.686972562291254e-05,4.998837491950282e-05,1.0,,,32.57142857142857,14.0,18.571428571428573,18.571428571428573,0.0,0.0,2593.939342863104,
UJI,ours,1,0,6.444295551238364e-06,6.444295551238364e-06,1.0,1.8650984849642592e-05,1.0,19.0,,,,,,19.802,18.8816
UJI,park_dominant_point_2007_adaptation,1,0,2.6974677916307257e-05,2.6974677916307257e-05,1.0,5.455640898577016e-05,0.0,5.0,,,,,,31.907600001432,
UJI,liang_feature_iki_2017_adaptation,1,0,4.13237503376755e-05,4.13237503376755e-05,1.0,8.669015469984449e-05,0.0,4.0,,,,,,11.869699985254556,
UJI,dung_direct_knot_2017_adaptation,1,0,2.8642073674056752e-05,2.8642073674056752e-05,1.0,4.3827287903854036e-05,1.0,5.0,,,,,,244.27369999466464,
UJI,kang_sparse_2015_adaptation,1,0,3.67765658839345e-06,3.67765658839345e-06,1.0,1.5536642170277933e-05,1.0,53.0,,,,,,963.170800008811,
UJI,luo_linf_de_2022_adaptation,1,0,4.204360870219401e-05,4.204360870219401e-05,1.0,6.042243165980799e-05,0.0,5.0,,,,,,2318.522200046573,
NaturalEarth,ours,1,0,9.130278269905988e-05,9.130278269905988e-05,0.0,9.121129215187468e-05,0.0,21.0,,,,,,14.0868,12.0794
NaturalEarth,park_dominant_point_2007_adaptation,1,0,3.522310160465074e-05,3.522310160465074e-05,1.0,3.655733730003317e-05,1.0,25.0,,,,,,128.20659996941686,
NaturalEarth,liang_feature_iki_2017_adaptation,1,0,4.81075951809369e-05,4.81075951809369e-05,1.0,4.990229916545145e-05,1.0,24.0,,,,,,71.05309999315068,
NaturalEarth,dung_direct_knot_2017_adaptation,1,0,4.7749138554959315e-05,4.7749138554959315e-05,1.0,4.992708378044461e-05,1.0,19.0,,,,,,857.4511999613605,
NaturalEarth,kang_sparse_2015_adaptation,1,0,4.4204995873725706e-06,4.4204995873725706e-06,1.0,5.326639924379336e-06,1.0,64.0,,,,,,331.1936999671161,
NaturalEarth,luo_linf_de_2022_adaptation,1,0,4.332324015276308e-05,4.332324015276308e-05,1.0,4.5147780147902104e-05,1.0,21.0,,,,,,2253.016199974809,
USGS,ours,1,0,2.9828478615115127e-05,2.9828478615115127e-05,1.0,2.8062635265102566e-05,1.0,25.0,,,,,,18.742,16.1626
USGS,park_dominant_point_2007_adaptation,1,0,4.0762246163773244e-05,4.0762246163773244e-05,1.0,4.092962385238111e-05,1.0,9.0,,,,,,31.265800003893673,
USGS,liang_feature_iki_2017_adaptation,1,0,4.660108317310237e-05,4.660108317310237e-05,1.0,4.6755665709191e-05,1.0,11.0,,,,,,30.166600015945733,
USGS,dung_direct_knot_2017_adaptation,1,0,2.7834054219123103e-05,2.7834054219123103e-05,1.0,2.8028981008014033e-05,1.0,9.0,,,,,,328.5642999690026,
USGS,kang_sparse_2015_adaptation,1,0,5.3241583422995435e-06,5.3241583422995435e-06,1.0,5.364489081004664e-06,1.0,24.0,,,,,,888.8029999798164,
USGS,luo_linf_de_2022_adaptation,1,0,4.252622208161141e-05,4.252622208161141e-05,1.0,4.272844188158599e-05,1.0,8.0,,,,,,2252.134300011676,
IndustrialOffset,ours,1,0,8.055157790393241e-06,8.055157790393241e-06,1.0,8.223381220840618e-06,1.0,20.0,,,,,,12.3784,13.8751
IndustrialOffset,park_dominant_point_2007_adaptation,1,0,2.381573674028621e-05,2.381573674028621e-05,1.0,2.4177675601122053e-05,1.0,10.0,,,,,,49.74039999069646,
IndustrialOffset,liang_feature_iki_2017_adaptation,1,0,2.35161557874335e-05,2.35161557874335e-05,1.0,2.3651393549525943e-05,1.0,7.0,,,,,,21.236400003544986,
IndustrialOffset,dung_direct_knot_2017_adaptation,1,0,1.3833026362229033e-05,1.3833026362229033e-05,1.0,1.4116036903017094e-05,1.0,6.0,,,,,,224.0624999976717,
IndustrialOffset,kang_sparse_2015_adaptation,1,0,3.829787151704658e-05,3.829787151704658e-05,1.0,3.895423637665775e-05,1.0,10.0,,,,,,1146.0702000185847,
IndustrialOffset,luo_linf_de_2022_adaptation,1,0,3.9215082594342176e-05,3.9215082594342176e-05,1.0,3.957574777552898e-05,1.0,7.0,,,,,,2239.724799990654,
