dataset,sample_id,method,status,safeguard_enabled,safeguard_used,native_k,native_mse,final_k,final_mse,extra_refit_count,final_source,repair_status,capacity,complete_ms
Synthetic,seed20000_sample2679,dung_direct_knot_2017_adaptation,ok,True,True,5,0.0021940331625299177,9,3.5270270842520916e-05,12,residual_guided_augmentation,repaired_feasible,32,118.76579298404977
Synthetic,seed20000_sample2679,kang_sparse_2015_adaptation,ok,True,False,6,3.0987761492818604e-05,6,3.0987761492818604e-05,0,native,native_feasible,32,923.2359540183097
Synthetic,seed20000_sample2679,luo_linf_de_2022_adaptation,ok,True,False,6,3.621451018255715e-05,6,3.621451018255715e-05,0,native,native_feasible,32,2921.257295005489
Synthetic,seed20000_sample2057,dung_direct_knot_2017_adaptation,ok,True,True,5,0.0015518769018079404,9,3.8173667693712326e-05,12,residual_guided_augmentation,repaired_feasible,32,99.4498550426215
Synthetic,seed20000_sample2057,kang_sparse_2015_adaptation,ok,True,True,6,6.544790502326084e-05,7,3.931061828329051e-05,3,residual_guided_augmentation,repaired_feasible,32,1059.0745609952137
Synthetic,seed20000_sample2057,luo_linf_de_2022_adaptation,ok,True,False,7,3.8821682196835534e-05,7,3.8821682196835534e-05,0,native,native_feasible,32,2948.6338369897567
Synthetic,seed20000_sample2344,dung_direct_knot_2017_adaptation,ok,True,True,6,0.0020223583625721916,11,4.0378867069001076e-05,15,residual_guided_augmentation,repaired_feasible,32,134.16478602448478
Synthetic,seed20000_sample2344,kang_sparse_2015_adaptation,ok,True,True,8,7.847532271713669e-05,9,4.047620892472147e-05,3,residual_guided_augmentation,repaired_feasible,32,994.7112110094167
Synthetic,seed20000_sample2344,luo_linf_de_2022_adaptation,ok,True,True,7,5.615712068126349e-05,9,4.405477290707609e-05,6,residual_guided_augmentation,repaired_feasible,32,2856.1881509958766
Synthetic,seed20000_sample3595,dung_direct_knot_2017_adaptation,ok,True,True,6,0.0026969546938576364,14,4.863545138461968e-05,24,residual_guided_augmentation,repaired_feasible,32,145.7257560105063
Synthetic,seed20000_sample3595,kang_sparse_2015_adaptation,ok,True,True,7,9.768955237207532e-05,9,4.2357895331599856e-05,6,residual_guided_augmentation,repaired_feasible,32,986.4680810132995
Synthetic,seed20000_sample3595,luo_linf_de_2022_adaptation,ok,True,True,7,6.786850528551907e-05,10,4.722294966391341e-05,9,residual_guided_augmentation,repaired_feasible,32,2830.662994994782
Synthetic,seed20000_sample3602,dung_direct_knot_2017_adaptation,ok,True,True,7,0.002244377360149217,12,4.213491722396226e-05,15,residual_guided_augmentation,repaired_feasible,32,140.29636897612363
Synthetic,seed20000_sample3602,kang_sparse_2015_adaptation,ok,True,True,8,7.758816662764528e-05,10,4.0549533204184596e-05,6,residual_guided_augmentation,repaired_feasible,32,1004.0825529722497
Synthetic,seed20000_sample3602,luo_linf_de_2022_adaptation,ok,True,False,8,4.204178585613175e-05,8,4.204178585613175e-05,0,native,native_feasible,32,2548.191254027188
Synthetic,seed20000_sample617,dung_direct_knot_2017_adaptation,ok,True,True,6,0.0016148004532140839,13,3.420892705519101e-05,21,residual_guided_augmentation,repaired_feasible,32,173.28709200955927
Synthetic,seed20000_sample617,kang_sparse_2015_adaptation,ok,True,False,20,9.384046847070282e-06,20,9.384046847070282e-06,0,native,native_feasible,32,852.5820220238529
Synthetic,seed20000_sample617,luo_linf_de_2022_adaptation,ok,True,True,4,0.0020177296065980077,13,3.9257420407976695e-05,27,residual_guided_augmentation,repaired_feasible,32,2889.855236047879
Synthetic,seed20000_sample3494,dung_direct_knot_2017_adaptation,ok,True,True,7,0.0022717491457686745,15,4.732076394174376e-05,24,residual_guided_augmentation,repaired_feasible,32,204.86568403430283
Synthetic,seed20000_sample3494,kang_sparse_2015_adaptation,ok,True,False,32,6.523752536827733e-06,32,6.523752536827733e-06,0,native,native_feasible,32,403.5743349813856
Synthetic,seed20000_sample3494,luo_linf_de_2022_adaptation,ok,True,True,4,0.002220145046199494,18,4.502657722911857e-05,42,residual_guided_augmentation,repaired_feasible,32,2660.6299849809147
Synthetic,seed20000_sample1758,dung_direct_knot_2017_adaptation,ok,True,True,8,0.001982398591386855,14,4.971666225565128e-05,18,residual_guided_augmentation,repaired_feasible,32,187.07220401847735
Synthetic,seed20000_sample1758,kang_sparse_2015_adaptation,ok,True,False,30,5.524119893282154e-06,30,5.524119893282154e-06,0,native,native_feasible,32,714.5580239593983
Synthetic,seed20000_sample1758,luo_linf_de_2022_adaptation,ok,True,True,7,0.0012793523115216482,18,4.8140180132427085e-05,33,residual_guided_augmentation,repaired_feasible,32,2861.613660992589
Synthetic,seed20000_sample1236,dung_direct_knot_2017_adaptation,ok,True,True,9,0.0019181997590043541,17,3.9558642629668226e-05,24,residual_guided_augmentation,repaired_feasible,32,206.9813209818676
Synthetic,seed20000_sample1236,kang_sparse_2015_adaptation,ok,True,False,32,1.2621598885442385e-05,32,1.2621598885442385e-05,0,native,native_feasible,32,405.7502970099449
Synthetic,seed20000_sample1236,luo_linf_de_2022_adaptation,ok,True,True,9,0.0007237019860635584,19,4.63529803779972e-05,30,residual_guided_augmentation,repaired_feasible,32,2628.2973809866235
Synthetic,seed20000_sample194,dung_direct_knot_2017_adaptation,ok,True,True,8,0.0015810301698759167,15,4.925772121381148e-05,21,residual_guided_augmentation,repaired_feasible,32,157.28111896896735
Synthetic,seed20000_sample194,kang_sparse_2015_adaptation,ok,True,False,32,1.2769152355891274e-05,32,1.2769152355891274e-05,0,native,native_feasible,32,404.69706000294536
Synthetic,seed20000_sample194,luo_linf_de_2022_adaptation,ok,True,True,9,0.00037642513099238995,18,4.978694770500027e-05,27,residual_guided_augmentation,repaired_feasible,32,2808.2907990319654
Synthetic,seed20000_sample365,dung_direct_knot_2017_adaptation,ok,True,True,10,0.0018452598416373856,19,4.5509406622499595e-05,27,residual_guided_augmentation,repaired_feasible,32,229.98515702784061
Synthetic,seed20000_sample365,kang_sparse_2015_adaptation,ok,True,False,32,1.6548187179504062e-05,32,1.6548187179504062e-05,0,native,native_feasible,32,402.68009301507846
Synthetic,seed20000_sample365,luo_linf_de_2022_adaptation,ok,True,True,9,0.0012772376525321644,20,3.397398095861098e-05,33,residual_guided_augmentation,repaired_feasible,32,2566.415745008271
Synthetic,seed20000_sample3465,dung_direct_knot_2017_adaptation,ok,True,True,10,0.000886974177287563,18,4.8874732122049264e-05,24,residual_guided_augmentation,repaired_feasible,32,229.06082100234926
Synthetic,seed20000_sample3465,kang_sparse_2015_adaptation,ok,True,False,32,2.722073537926599e-05,32,2.722073537926599e-05,0,native,native_feasible,32,407.0566790178418
Synthetic,seed20000_sample3465,luo_linf_de_2022_adaptation,ok,True,True,5,0.0030874098606967037,20,4.888995996790797e-05,45,residual_guided_augmentation,repaired_feasible,32,2170.35627894802
Synthetic,seed20000_sample2797,dung_direct_knot_2017_adaptation,ok,True,True,11,0.000843299261702294,18,4.683589054134708e-05,21,residual_guided_augmentation,repaired_feasible,32,252.94410396600142
Synthetic,seed20000_sample2797,kang_sparse_2015_adaptation,ok,True,False,32,2.2802430136042808e-05,32,2.2802430136042808e-05,0,native,native_feasible,32,407.24582999246195
Synthetic,seed20000_sample2797,luo_linf_de_2022_adaptation,ok,True,True,11,0.0008950365726093701,24,4.81764996906838e-05,39,residual_guided_augmentation,repaired_feasible,32,2617.1867920202203
Synthetic,seed20000_sample1930,dung_direct_knot_2017_adaptation,ok,True,True,11,0.0010924700980898914,17,4.849203824286606e-05,18,residual_guided_augmentation,repaired_feasible,32,246.02824996691197
Synthetic,seed20000_sample1930,kang_sparse_2015_adaptation,ok,True,False,29,2.378034620811393e-05,29,2.378034620811393e-05,0,native,native_feasible,32,405.3315439959988
Synthetic,seed20000_sample1930,luo_linf_de_2022_adaptation,ok,True,True,7,0.002418534247497053,22,4.4274437451254816e-05,45,residual_guided_augmentation,repaired_feasible,32,2469.271245005075
Synthetic,seed20000_sample2097,dung_direct_knot_2017_adaptation,ok,True,True,11,0.0010875519071405933,20,4.448619914142982e-05,27,residual_guided_augmentation,repaired_feasible,32,283.25123502872884
Synthetic,seed20000_sample2097,kang_sparse_2015_adaptation,ok,True,False,32,3.387497032312654e-05,32,3.387497032312654e-05,0,native,native_feasible,32,407.0051579619758
Synthetic,seed20000_sample2097,luo_linf_de_2022_adaptation,ok,True,True,6,0.0034503989623842577,27,4.524401334218368e-05,63,residual_guided_augmentation,repaired_feasible,32,1975.899933022447
Synthetic,seed20000_sample4016,dung_direct_knot_2017_adaptation,ok,True,True,12,0.0007378550340054208,21,4.525617943481287e-05,27,residual_guided_augmentation,repaired_feasible,32,325.5436859908514
Synthetic,seed20000_sample4016,kang_sparse_2015_adaptation,ok,True,False,32,3.336885978690914e-05,32,3.336885978690914e-05,0,native,native_feasible,32,402.1917110076174
Synthetic,seed20000_sample4016,luo_linf_de_2022_adaptation,ok,True,True,7,0.0027519564949303674,25,4.751989022466694e-05,54,residual_guided_augmentation,repaired_feasible,32,2114.482140983455
Synthetic,seed20000_sample1601,dung_direct_knot_2017_adaptation,ok,True,True,13,0.0005924474733836398,21,4.795272748088047e-05,24,residual_guided_augmentation,repaired_feasible,32,338.9278299873695
Synthetic,seed20000_sample1601,kang_sparse_2015_adaptation,ok,True,False,32,4.333978661555249e-05,32,4.333978661555249e-05,0,native,native_feasible,32,405.9688200359233
Synthetic,seed20000_sample1601,luo_linf_de_2022_adaptation,ok,True,True,9,0.0024646720396810217,26,4.9583125406763854e-05,51,residual_guided_augmentation,repaired_feasible,32,1982.1614049724303
Synthetic,seed20000_sample764,dung_direct_knot_2017_adaptation,ok,True,True,13,0.001616031290124025,23,4.866766038476552e-05,30,residual_guided_augmentation,repaired_feasible,32,334.38188600121066
Synthetic,seed20000_sample764,kang_sparse_2015_adaptation,ok,True,False,32,4.2287250134840104e-05,32,4.2287250134840104e-05,0,native,native_feasible,32,406.99804603355005
Synthetic,seed20000_sample764,luo_linf_de_2022_adaptation,ok,True,True,6,0.003635519699368213,28,4.820089860265055e-05,66,residual_guided_augmentation,repaired_feasible,32,1793.9838950405829
Synthetic,seed20000_sample3366,dung_direct_knot_2017_adaptation,ok,True,True,13,0.0014300725132382521,19,4.754477141205831e-05,18,residual_guided_augmentation,repaired_feasible,32,346.86546999728307
Synthetic,seed20000_sample3366,kang_sparse_2015_adaptation,ok,True,True,18,0.0021870331672108416,30,4.9754966612845076e-05,36,residual_guided_augmentation,repaired_feasible,32,451.59859902923927
Synthetic,seed20000_sample3366,luo_linf_de_2022_adaptation,ok,True,True,7,0.003226411729378807,30,4.9769610704188836e-05,69,residual_guided_augmentation,repaired_feasible,32,1436.6583509836346
Synthetic,seed20000_sample2996,dung_direct_knot_2017_adaptation,ok,True,True,14,0.0006341945768166261,24,4.889737613336588e-05,30,residual_guided_augmentation,repaired_feasible,32,395.2139739994891
Synthetic,seed20000_sample2996,kang_sparse_2015_adaptation,ok,True,True,32,5.295155416365127e-05,32,5.295155416365127e-05,1,native_after_failed_safeguard,budget_exhausted_without_feasible_fit,32,11.355380003806204
Synthetic,seed20000_sample2996,luo_linf_de_2022_adaptation,ok,True,True,2,0.00506860782136907,30,4.770296010327869e-05,84,residual_guided_augmentation,repaired_feasible,32,633.4821109776385
Synthetic,seed20000_sample2204,dung_direct_knot_2017_adaptation,ok,True,True,14,0.0011801832111046635,23,4.8557591407009664e-05,27,residual_guided_augmentation,repaired_feasible,32,359.7394229727797
Synthetic,seed20000_sample2204,kang_sparse_2015_adaptation,ok,True,False,32,4.325847821622046e-05,32,4.325847821622046e-05,0,native,native_feasible,32,402.98502397490665
Synthetic,seed20000_sample2204,luo_linf_de_2022_adaptation,ok,True,True,6,0.003040186414949384,31,4.349398277545031e-05,75,residual_guided_augmentation,repaired_feasible,32,1279.71475495724
Synthetic,seed20000_sample3084,dung_direct_knot_2017_adaptation,ok,True,True,16,0.00011384950866415123,23,4.645957192555601e-05,21,residual_guided_augmentation,repaired_feasible,32,389.38914198661223
Synthetic,seed20000_sample3084,kang_sparse_2015_adaptation,ok,True,True,32,5.2435685949922625e-05,32,5.2435685949922625e-05,1,native_after_failed_safeguard,budget_exhausted_without_feasible_fit,32,11.282937950454652
Synthetic,seed20000_sample3084,luo_linf_de_2022_adaptation,ok,True,True,7,0.003021657134031389,31,4.934961042946396e-05,72,residual_guided_augmentation,repaired_feasible,32,737.3070900212042
