dataset,method,n,failed,mse_mean,mse_p95,mse_max,max_squared_error_mean,max_squared_error_p95,max_squared_error_max,max_squared_error_valid_count,max_squared_error_missing_count,fit_pass_rate,reference_mse_mean,reference_mse_max,reference_max_squared_error_mean,reference_max_squared_error_p95,reference_max_squared_error_max,reference_max_squared_error_valid_count,reference_max_squared_error_missing_count,reference_pass_rate,final_k_mean,canonical_k_mean,canonical_count_mae,canonical_count_bias,canonical_count_exact_rate,canonical_count_within_one_rate,total_ms_mean,network_ms_mean
Synthetic,ours,42,0,3.890051318312678e-05,0.00011459064490230358,0.00016718659331378528,0.00038964961235796956,0.0008512275046231549,0.0014524783009608807,42,0,0.7142857142857143,,,,,,0,0,,27.38095238095238,14.0,13.380952380952381,13.380952380952381,0.0,0.0,9.122982452380953,7.70085030952381
Synthetic,park_dominant_point_2007_adaptation,42,0,0.00013614306914939219,0.00029946409679505574,0.0005497785874964679,0.002225562928604064,0.007417914302329989,0.009556880800977057,42,0,0.2619047619047619,,,,,,0,0,,30.404761904761905,14.0,16.404761904761905,16.404761904761905,0.0,0.0,39.53661085549919,
Synthetic,liang_feature_iki_2017_adaptation,42,0,0.0001316248291021807,0.00047597611756956625,0.0006817992252473104,0.0007789090083353921,0.0030403726542035667,0.003483215424636158,42,0,0.4523809523809524,,,,,,0,0,,27.428571428571427,14.0,13.428571428571429,13.428571428571429,0.0,0.0,29.240102127438323,
Synthetic,dung_direct_knot_2017_adaptation,42,0,5.385852714875993e-05,8.484266703622962e-05,9.989586597411752e-05,0.00023887656654928576,0.0004808080255695017,0.0007083903148149142,42,0,0.6666666666666666,,,,,,0,0,,23.761904761904763,14.0,9.761904761904763,9.761904761904763,0.0,0.0,410.5403359765963,
Synthetic,kang_sparse_2015_adaptation,42,0,9.950959051479734e-05,0.00035439362230389114,0.0004137390946085224,0.000666387830078737,0.0031018912844328075,0.0034924543905934923,42,0,0.47619047619047616,,,,,,0,0,,28.714285714285715,14.0,14.714285714285714,14.714285714285714,0.0,0.0,297.36719374306546,
Synthetic,luo_linf_de_2022_adaptation,42,0,0.00010360776967146577,0.00035361097650350883,0.0004137390946085224,0.0006964959429101013,0.00309037876670714,0.0034924543905934923,42,0,0.5238095238095238,,,,,,0,0,,25.714285714285715,14.0,11.714285714285714,11.714285714285714,0.0,0.0,1473.2314058831737,
UJI,ours,20,0,1.9580677613338547e-05,6.062331077441862e-05,6.392015633196653e-05,0.0003151719810222845,0.0008659387140534056,0.0009929753111437645,20,0,0.9,3.7444305548371024e-05,0.00011111643169624974,0.0003970155321407848,0.0009922634007286891,0.001427206003170482,20,0,0.75,22.9,,,,,,10.30220325,8.729118625
UJI,park_dominant_point_2007_adaptation,20,0,3.3879922235094104e-05,4.8516618750316955e-05,4.949626556708831e-05,0.0006084073440807867,0.0016633939047643027,0.0018629828459835825,20,0,1.0,7.969930305776376e-05,0.00022919448266935867,0.000794581145337268,0.0024533179379602464,0.00253662718315394,20,0,0.35,11.8,,,,,,15.918134694220498,
UJI,liang_feature_iki_2017_adaptation,20,0,3.38037783182262e-05,4.781148581462495e-05,4.904749466845939e-05,0.00039317296460126264,0.0008126063685597047,0.000813903376830702,20,0,1.0,7.641005451344825e-05,0.00024206332145379302,0.0004943425395889324,0.0010601335312767617,0.0012783842252668631,20,0,0.35,8.85,,,,,,8.47411029972136,
UJI,dung_direct_knot_2017_adaptation,20,0,3.139772293093387e-05,4.506239506457998e-05,4.810546518239868e-05,0.00025935275679622505,0.0004282940135072805,0.0006959739680076881,20,0,1.0,6.371252967299186e-05,0.0002444685572828131,0.00034265843106012783,0.0006209666181670657,0.0009891121869140583,20,0,0.45,7.35,,,,,,107.08362059958745,
