dataset,method,n,failed,mse_mean,mse_p95,fit_pass_rate,reference_mse_mean,reference_pass_rate,final_k_mean,canonical_k_mean,canonical_count_mae,canonical_count_bias,canonical_count_exact_rate,canonical_count_within_one_rate,total_ms_mean,network_ms_mean
Synthetic,ours,42,0,3.5020680284108125e-05,8.36864048435887e-05,0.8333333333333334,,,28.071428571428573,14.0,14.071428571428571,14.071428571428571,0.0,0.0,9.01678519047619,7.523031904761904
Synthetic,park_dominant_point_2007_adaptation,42,0,4.4176518629028936e-05,4.948188912819503e-05,1.0,,,39.19047619047619,14.0,25.19047619047619,25.19047619047619,0.0,0.0,59.12213269385531,
Synthetic,liang_feature_iki_2017_adaptation,42,0,4.640524477763123e-05,4.973469631407036e-05,1.0,,,35.88095238095238,14.0,21.88095238095238,21.88095238095238,0.0,0.0,43.60985692792816,
Synthetic,dung_direct_knot_2017_adaptation,42,0,4.648452333084756e-05,4.972449167056208e-05,1.0,,,26.88095238095238,14.0,12.880952380952381,12.880952380952381,0.0,0.0,451.1784072618909,
Synthetic,kang_sparse_2015_adaptation,42,0,3.967078478682687e-05,4.9465267416147347e-05,0.9523809523809523,,,36.214285714285715,14.0,22.214285714285715,22.214285714285715,0.0,0.0,875.7209009276094,
Synthetic,luo_linf_de_2022_adaptation,42,0,4.542221227335391e-05,4.976175192790423e-05,0.9761904761904762,,,32.142857142857146,14.0,18.142857142857142,18.142857142857142,0.0,0.0,2985.2510049538632,
UJI,ours,8,0,1.244721831505936e-05,2.4168622475636367e-05,1.0,2.1904941606840756e-05,0.875,21.625,,,,,,8.907882875,7.5202215625
UJI,park_dominant_point_2007_adaptation,8,0,3.833813306831864e-05,4.772349036421428e-05,1.0,8.019152826137787e-05,0.125,9.125,,,,,,12.1450107471901,
UJI,liang_feature_iki_2017_adaptation,8,0,3.103343644231225e-05,4.8460155232937514e-05,1.0,6.025683175864372e-05,0.5,7.5,,,,,,8.048000869166572,
UJI,dung_direct_knot_2017_adaptation,8,0,3.2584553988366416e-05,4.7969058999466514e-05,1.0,5.7645680034618916e-05,0.625,6.0,,,,,,105.0274748740776,
UJI,kang_sparse_2015_adaptation,8,0,1.7386114297973036e-05,4.4409966130025456e-05,1.0,4.410829239483084e-05,0.625,34.5,,,,,,1174.8266590038838,
UJI,luo_linf_de_2022_adaptation,8,0,2.867961143480274e-05,4.795854372236446e-05,1.0,4.959370264459384e-05,0.625,6.875,,,,,,3097.472416498931,
NaturalEarth,ours,8,0,7.697606993350845e-05,0.0001744328224704397,0.5,7.863170776002427e-05,0.375,25.125,,,,,,8.9966,7.515544875
NaturalEarth,park_dominant_point_2007_adaptation,8,0,4.3668257828001796e-05,4.894404689221084e-05,1.0,4.531419338158904e-05,0.75,24.875,,,,,,39.46590724444832,
NaturalEarth,liang_feature_iki_2017_adaptation,8,0,4.714020040444458e-05,4.988676819955845e-05,1.0,0.07651634501239911,0.375,24.5,,,,,,28.898323005705606,
NaturalEarth,dung_direct_knot_2017_adaptation,8,0,4.4535355802580534e-05,4.958349790644472e-05,1.0,4.652806916102884e-05,0.5,20.875,,,,,,339.99231887355563,
NaturalEarth,kang_sparse_2015_adaptation,8,0,1.992707532113418e-05,4.547401258249449e-05,0.875,2.1426639909293124e-05,0.875,40.875,,,,,,832.8118773788447,
NaturalEarth,luo_linf_de_2022_adaptation,8,0,4.342101945632172e-05,5.0384744961340436e-05,0.875,4.519587302327325e-05,0.75,22.5,,,,,,2874.846402373805,
USGS,ours,8,0,5.528630130570635e-05,0.00010884260838643323,0.5,5.540016787801664e-05,0.5,34.5,,,,,,9.091033625,7.488271875
USGS,park_dominant_point_2007_adaptation,8,0,4.656455405859593e-05,4.987742798951514e-05,1.0,4.7639266339778705e-05,0.625,33.25,,,,,,49.86186613314203,
USGS,liang_feature_iki_2017_adaptation,8,0,4.0568714212668325e-05,4.91391380589692e-05,1.0,4.16001363508882e-05,0.875,29.5,,,,,,36.27391824920778,
USGS,dung_direct_knot_2017_adaptation,8,0,4.065745933787639e-05,4.961795221491397e-05,1.0,4.20952735550726e-05,0.75,27.375,,,,,,470.2583907528606,
USGS,kang_sparse_2015_adaptation,8,0,2.603630551268556e-05,4.4408772411843124e-05,1.0,2.6924095957409656e-05,1.0,50.5,,,,,,770.139995503996,
USGS,luo_linf_de_2022_adaptation,8,0,4.0007589189703155e-05,4.916276345675261e-05,1.0,4.1059850822374896e-05,0.75,30.75,,,,,,2687.8800351187238,
