dataset,method,n,failed,mse_mean,mse_p95,fit_pass_rate,reference_mse_mean,reference_pass_rate,final_k_mean,canonical_k_mean,canonical_count_mae,canonical_count_bias,canonical_count_exact_rate,canonical_count_within_one_rate,total_ms_mean,network_ms_mean
Synthetic,ours,42,0,2.8698306869790943e-05,5.363404375974095e-05,0.9047619047619048,,,23.11904761904762,14.0,9.119047619047619,9.119047619047619,0.0,0.0,8.04979780952381,6.685946297619048
Synthetic,park_dominant_point_2007_adaptation,42,0,4.4176518629028936e-05,4.948188912819503e-05,1.0,,,39.19047619047619,14.0,25.19047619047619,25.19047619047619,0.0,0.0,56.66663526409095,
Synthetic,liang_feature_iki_2017_adaptation,42,0,4.640524477763123e-05,4.973469631407036e-05,1.0,,,35.88095238095238,14.0,21.88095238095238,21.88095238095238,0.0,0.0,41.25449764355186,
Synthetic,dung_direct_knot_2017_adaptation,42,0,0.0010474367760316102,0.002241860150268252,0.0,,,14.80952380952381,14.0,0.8095238095238095,0.8095238095238095,0.21428571428571427,0.9761904761904762,373.6606816178426,
Synthetic,kang_sparse_2015_adaptation,42,0,0.003237097513684052,0.006396996904580057,0.23809523809523808,,,5.285714285714286,14.0,10.761904761904763,-8.714285714285714,0.0,0.0,748.9632670954701,
Synthetic,luo_linf_de_2022_adaptation,42,0,0.0024636212223106252,0.005113138895701769,0.16666666666666666,,,10.333333333333334,14.0,7.0,-3.6666666666666665,0.09523809523809523,0.21428571428571427,2733.4821252377533,
UJI,ours,8,0,2.255197206506216e-05,5.603905317918606e-05,0.875,2.7525951459664092e-05,0.875,21.0,,,,,,7.99129175,6.643712062500001
UJI,park_dominant_point_2007_adaptation,8,0,3.833813306831864e-05,4.772349036421428e-05,1.0,8.019152826137787e-05,0.125,9.125,,,,,,11.594963751122123,
UJI,liang_feature_iki_2017_adaptation,8,0,3.103343644231225e-05,4.8460155232937514e-05,1.0,6.025683175864372e-05,0.5,7.5,,,,,,7.6124362531118095,
UJI,dung_direct_knot_2017_adaptation,8,0,0.0006258374242572449,0.0021709294345751274,0.25,0.0008677346888506765,0.25,3.625,,,,,,87.63865812761651,
UJI,kang_sparse_2015_adaptation,8,0,4.673483718012218e-05,9.261020413881941e-05,0.75,9.349195721842649e-05,0.0,6.125,,,,,,1115.4682540036447,
UJI,luo_linf_de_2022_adaptation,8,0,0.0006225882543508771,0.002260909686791896,0.375,0.0007384553380051982,0.375,3.75,,,,,,2892.1227069968154,
NaturalEarth,ours,8,0,0.00010020915525925101,0.00026633836341257604,0.5,0.00010012359279135435,0.5,23.0,,,,,,8.045224,6.655431125
NaturalEarth,park_dominant_point_2007_adaptation,8,0,4.3668257828001796e-05,4.894404689221084e-05,1.0,4.531419338158904e-05,0.75,24.875,,,,,,37.94272162667767,
NaturalEarth,liang_feature_iki_2017_adaptation,8,0,4.714020040444458e-05,4.988676819955845e-05,1.0,0.07651634501239911,0.375,24.5,,,,,,27.197640627491637,
NaturalEarth,dung_direct_knot_2017_adaptation,8,0,0.0006609023505780493,0.0014453794574061242,0.0,0.000670993064430314,0.0,11.0,,,,,,278.8266056249995,
NaturalEarth,kang_sparse_2015_adaptation,8,0,0.006741362909807636,0.025102157141411535,0.125,0.006807932175316385,0.125,9.0,,,,,,840.4220805023215,
NaturalEarth,luo_linf_de_2022_adaptation,8,0,0.0022602470492344893,0.005410296938897075,0.0,0.0022801207666362584,0.0,6.0,,,,,,2636.373260373148,
USGS,ours,8,0,9.207607414693393e-05,0.000239167558027248,0.25,8.990045368017762e-05,0.375,31.375,,,,,,8.117504625,6.6622738125000005
USGS,park_dominant_point_2007_adaptation,8,0,4.656455405859593e-05,4.987742798951514e-05,1.0,4.7639266339778705e-05,0.625,33.25,,,,,,47.58115112417727,
USGS,liang_feature_iki_2017_adaptation,8,0,4.0568714212668325e-05,4.91391380589692e-05,1.0,4.16001363508882e-05,0.875,29.5,,,,,,34.34515825028939,
USGS,dung_direct_knot_2017_adaptation,8,0,0.00026176690719386823,0.0003905880943684663,0.125,0.0002649139560400381,0.125,15.125,,,,,,388.66838149806426,
USGS,kang_sparse_2015_adaptation,8,0,0.004361688673240859,0.010129202805182678,0.25,0.004387506663486421,0.25,3.5,,,,,,724.5663096236967,
USGS,luo_linf_de_2022_adaptation,8,0,0.0007746382615359333,0.001512661693976704,0.25,0.000780984512937011,0.25,8.5,,,,,,2453.879550746933,
