dataset,method,n,failed,mse_mean,mse_p95,fit_pass_rate,reference_mse_mean,reference_pass_rate,final_k_mean,canonical_k_mean,canonical_count_mae,canonical_count_bias,canonical_count_exact_rate,canonical_count_within_one_rate,total_ms_mean,network_ms_mean
Synthetic,ours,42,0,1.8928528758085594e-05,3.680376852069747e-05,1.0,,,31.166666666666668,14.0,17.166666666666668,17.166666666666668,0.0,0.0,8.84352969047619,7.340108773809523
Synthetic,park_dominant_point_2007_adaptation,42,0,4.4176518629028936e-05,4.948188912819503e-05,1.0,,,39.19047619047619,14.0,25.19047619047619,25.19047619047619,0.0,0.0,57.14018554655403,
Synthetic,liang_feature_iki_2017_adaptation,42,0,4.640524477763123e-05,4.973469631407036e-05,1.0,,,35.88095238095238,14.0,21.88095238095238,21.88095238095238,0.0,0.0,41.70768766856608,
Synthetic,dung_direct_knot_2017_adaptation,42,0,4.648452333084756e-05,4.972449167056208e-05,1.0,,,26.88095238095238,14.0,12.880952380952381,12.880952380952381,0.0,0.0,425.07888726166647,
Synthetic,kang_sparse_2015_adaptation,42,0,3.967078478682687e-05,4.9465267416147347e-05,0.9523809523809523,,,36.214285714285715,14.0,22.214285714285715,22.214285714285715,0.0,0.0,825.5256762394787,
Synthetic,luo_linf_de_2022_adaptation,42,0,4.542221227335391e-05,4.976175192790423e-05,0.9761904761904762,,,32.142857142857146,14.0,18.142857142857142,18.142857142857142,0.0,0.0,2829.4135229045337,
UJI,ours,8,0,7.046389682136023e-06,1.2759278560988325e-05,1.0,1.228123308411265e-05,1.0,27.5,,,,,,8.83393575,7.3689591875
UJI,park_dominant_point_2007_adaptation,8,0,3.833813306831864e-05,4.772349036421428e-05,1.0,8.019152826137787e-05,0.125,9.125,,,,,,11.651546872599283,
UJI,liang_feature_iki_2017_adaptation,8,0,3.103343644231225e-05,4.8460155232937514e-05,1.0,6.025683175864372e-05,0.5,7.5,,,,,,7.69298037084809,
UJI,dung_direct_knot_2017_adaptation,8,0,3.2584553988366416e-05,4.7969058999466514e-05,1.0,5.7645680034618916e-05,0.625,6.0,,,,,,99.24902725106222,
UJI,kang_sparse_2015_adaptation,8,0,1.7386114297973036e-05,4.4409966130025456e-05,1.0,4.410829239483084e-05,0.625,34.5,,,,,,1107.4433930025407,
UJI,luo_linf_de_2022_adaptation,8,0,2.867961143480274e-05,4.795854372236446e-05,1.0,4.959370264459384e-05,0.625,6.875,,,,,,2938.3311121255247,
NaturalEarth,ours,8,0,4.875636848507495e-05,0.00013453318747941325,0.75,5.0099761314587404e-05,0.625,29.125,,,,,,8.780412625,7.3062256875000005
NaturalEarth,park_dominant_point_2007_adaptation,8,0,4.3668257828001796e-05,4.894404689221084e-05,1.0,4.531419338158904e-05,0.75,24.875,,,,,,37.90966999986267,
NaturalEarth,liang_feature_iki_2017_adaptation,8,0,4.714020040444458e-05,4.988676819955845e-05,1.0,0.07651634501239911,0.375,24.5,,,,,,27.41991024777235,
NaturalEarth,dung_direct_knot_2017_adaptation,8,0,4.4535355802580534e-05,4.958349790644472e-05,1.0,4.652806916102884e-05,0.5,20.875,,,,,,319.08124287292594,
NaturalEarth,kang_sparse_2015_adaptation,8,0,1.992707532113418e-05,4.547401258249449e-05,0.875,2.1426639909293124e-05,0.875,40.875,,,,,,781.6606036249141,
NaturalEarth,luo_linf_de_2022_adaptation,8,0,4.342101945632172e-05,5.0384744961340436e-05,0.875,4.519587302327325e-05,0.75,22.5,,,,,,2711.5930901236425,
USGS,ours,8,0,4.159420247400885e-05,6.608649255312214e-05,0.5,4.2003335254406726e-05,0.5,38.25,,,,,,8.877591125,7.2338658125
USGS,park_dominant_point_2007_adaptation,8,0,4.656455405859593e-05,4.987742798951514e-05,1.0,4.7639266339778705e-05,0.625,33.25,,,,,,47.586533375579165,
USGS,liang_feature_iki_2017_adaptation,8,0,4.0568714212668325e-05,4.91391380589692e-05,1.0,4.16001363508882e-05,0.875,29.5,,,,,,34.43467800207145,
USGS,dung_direct_knot_2017_adaptation,8,0,4.065745933787639e-05,4.961795221491397e-05,1.0,4.20952735550726e-05,0.75,27.375,,,,,,439.3553798799985,
USGS,kang_sparse_2015_adaptation,8,0,2.603630551268556e-05,4.4408772411843124e-05,1.0,2.6924095957409656e-05,1.0,50.5,,,,,,720.9994562490465,
USGS,luo_linf_de_2022_adaptation,8,0,4.0007589189703155e-05,4.916276345675261e-05,1.0,4.1059850822374896e-05,0.75,30.75,,,,,,2528.8319885021338,
