dataset,sample_id,method,status,safeguard_enabled,safeguard_used,native_k,native_mse,final_k,final_mse,extra_refit_count,final_source,repair_status,capacity,complete_ms
Synthetic,seed20000_sample2679,dung_direct_knot_2017_adaptation,ok,True,True,5,0.0021940331625299177,9,4.095531342934435e-05,12,residual_guided_augmentation,repaired_feasible,64,121.6689909924753
Synthetic,seed20000_sample2679,kang_sparse_2015_adaptation,ok,True,True,6,7.994926794438027e-05,8,2.9680338748247488e-05,6,residual_guided_augmentation,repaired_feasible,64,1344.0649910189677
Synthetic,seed20000_sample2679,luo_linf_de_2022_adaptation,ok,True,False,6,4.483896376537026e-05,6,4.483896376537026e-05,0,native,native_feasible,64,3091.7708609777037
Synthetic,seed20000_sample2057,dung_direct_knot_2017_adaptation,ok,True,True,5,0.0015518769018079404,10,3.906888815213274e-05,15,residual_guided_augmentation,repaired_feasible,64,105.62286098138429
Synthetic,seed20000_sample2057,kang_sparse_2015_adaptation,ok,True,False,6,2.7895407716650927e-05,6,2.7895407716650927e-05,0,native,native_feasible,64,1185.513427015394
Synthetic,seed20000_sample2057,luo_linf_de_2022_adaptation,ok,True,False,6,3.910998324115744e-05,6,3.910998324115744e-05,0,native,native_feasible,64,3045.1818440051284
Synthetic,seed20000_sample2344,dung_direct_knot_2017_adaptation,ok,True,True,6,0.0020223583625721916,11,4.932517563741601e-05,15,residual_guided_augmentation,repaired_feasible,64,137.95577400014736
Synthetic,seed20000_sample2344,kang_sparse_2015_adaptation,ok,True,True,8,5.2894806650038166e-05,9,4.764698470980777e-05,3,residual_guided_augmentation,repaired_feasible,64,1270.2202169748489
Synthetic,seed20000_sample2344,luo_linf_de_2022_adaptation,ok,True,False,11,3.279642329841045e-05,11,3.279642329841045e-05,0,native,native_feasible,64,3241.238941991469
Synthetic,seed20000_sample3595,dung_direct_knot_2017_adaptation,ok,True,True,6,0.0026969546938576364,17,2.618676327411146e-05,33,residual_guided_augmentation,repaired_feasible,64,158.13006000826135
Synthetic,seed20000_sample3595,kang_sparse_2015_adaptation,ok,True,True,7,5.923684955343493e-05,8,3.358295403046186e-05,3,residual_guided_augmentation,repaired_feasible,64,1264.2334859992843
Synthetic,seed20000_sample3595,luo_linf_de_2022_adaptation,ok,True,True,7,8.465364829312557e-05,11,4.950607357326537e-05,12,residual_guided_augmentation,repaired_feasible,64,2920.7840279850643
