dataset,method,n,failed,mse_mean,mse_p95,fit_pass_rate,reference_mse_mean,reference_pass_rate,final_k_mean,canonical_k_mean,canonical_count_mae,canonical_count_bias,canonical_count_exact_rate,canonical_count_within_one_rate,total_ms_mean,network_ms_mean
Synthetic,ours,42,0,3.3701984647980326e-05,6.998633138663211e-05,0.8571428571428571,,,27.404761904761905,14.0,13.404761904761905,13.404761904761905,0.0,0.0,8.537515428571428,7.1309694285714285
Synthetic,park_dominant_point_2007_adaptation,42,0,4.4176518629028936e-05,4.948188912819503e-05,1.0,,,39.19047619047619,14.0,25.19047619047619,25.19047619047619,0.0,0.0,56.05887597387967,
Synthetic,liang_feature_iki_2017_adaptation,42,0,4.640524477763123e-05,4.973469631407036e-05,1.0,,,35.88095238095238,14.0,21.88095238095238,21.88095238095238,0.0,0.0,40.84432066745302,
Synthetic,dung_direct_knot_2017_adaptation,42,0,4.648452333084756e-05,4.972449167056208e-05,1.0,,,26.88095238095238,14.0,12.880952380952381,12.880952380952381,0.0,0.0,417.18587425947635,
Synthetic,kang_sparse_2015_adaptation,42,0,3.967078478682687e-05,4.9465267416147347e-05,0.9523809523809523,,,36.214285714285715,14.0,22.214285714285715,22.214285714285715,0.0,0.0,811.3299501218578,
Synthetic,luo_linf_de_2022_adaptation,42,0,4.542221227335391e-05,4.976175192790423e-05,0.9761904761904762,,,32.142857142857146,14.0,18.142857142857142,18.142857142857142,0.0,0.0,2786.1937092370463,
UJI,ours,20,0,2.4241141348840734e-05,8.80571985024098e-05,0.85,3.91122688558029e-05,0.85,19.55,,,,,,8.405500499999999,7.091319325000001
UJI,park_dominant_point_2007_adaptation,20,0,3.3879922235094104e-05,4.8516618750316955e-05,1.0,7.969930305776376e-05,0.35,11.8,,,,,,15.57492539723171,
UJI,liang_feature_iki_2017_adaptation,20,0,3.378927196585198e-05,4.8791142707052305e-05,1.0,7.328817873335275e-05,0.35,8.95,,,,,,9.006266047072131,
UJI,dung_direct_knot_2017_adaptation,20,0,3.104626910622703e-05,4.76272906024649e-05,1.0,5.9104694562974445e-05,0.55,7.5,,,,,,108.11506074824138,
UJI,kang_sparse_2015_adaptation,20,0,2.1434048501354285e-05,4.566586158278501e-05,1.0,6.425937662240055e-05,0.55,29.5,,,,,,1049.6883809973951,
UJI,luo_linf_de_2022_adaptation,20,0,2.721838830170183e-05,4.9492829348418466e-05,1.0,6.0285199849800896e-05,0.55,8.6,,,,,,2928.3396353013813,
NaturalEarth,ours,20,0,0.00011460400312580848,0.00036258703702443646,0.5,0.00011685767118709625,0.45,26.15,,,,,,8.51220605,7.098503225
NaturalEarth,park_dominant_point_2007_adaptation,20,0,5.026991656198872e-05,5.5649543442263326e-05,0.95,5.2437496871303866e-05,0.75,26.9,,,,,,38.612556652515195,
NaturalEarth,liang_feature_iki_2017_adaptation,20,0,5.182378337367222e-05,5.630250392988967e-05,0.95,0.030641169212097898,0.6,25.55,,,,,,28.528941002150532,
NaturalEarth,dung_direct_knot_2017_adaptation,20,0,4.9349953194386e-05,5.450788127661617e-05,0.95,5.1740446935945775e-05,0.7,22.4,,,,,,350.30181924666977,
NaturalEarth,kang_sparse_2015_adaptation,20,0,4.2460008298433504e-05,9.00554876143237e-05,0.85,4.465831268618375e-05,0.85,36.8,,,,,,803.3230448971153,
NaturalEarth,luo_linf_de_2022_adaptation,20,0,5.7829217660997067e-05,8.809390236637239e-05,0.85,6.032993137403069e-05,0.7,23.9,,,,,,2619.0872962470166,
USGS,ours,20,0,0.00011938692351553238,0.00045093893219404804,0.35,0.00012137019013025632,0.35,30.8,,,,,,8.5666173,7.101345050000001
USGS,park_dominant_point_2007_adaptation,20,0,4.976431329814511e-05,7.97951152879173e-05,0.85,5.227788723069777e-05,0.6,37.8,,,,,,55.133070501324255,
USGS,liang_feature_iki_2017_adaptation,20,0,4.887177178765895e-05,8.399347549356181e-05,0.85,5.1608747797985756e-05,0.6,34.85,,,,,,41.66647745296359,
USGS,dung_direct_knot_2017_adaptation,20,0,4.71507313261639e-05,7.630754320151717e-05,0.85,5.0022545549473086e-05,0.65,32.4,,,,,,508.59251955116633,
USGS,kang_sparse_2015_adaptation,20,0,4.1523243111361875e-05,0.00010485246874405712,0.85,4.3669384523135356e-05,0.8,47.7,,,,,,651.1768336000387,
USGS,luo_linf_de_2022_adaptation,20,0,5.238963684584797e-05,0.00010381338505265319,0.85,5.459388183637082e-05,0.6,35.45,,,,,,2241.915268453886,
IndustrialOffset,ours,20,0,3.79698083881712e-05,0.00018989587561290234,0.85,3.78983726426374e-05,0.85,17.55,,,,,,8.352873800000001,7.084425375
IndustrialOffset,park_dominant_point_2007_adaptation,20,0,3.6867859995396136e-05,4.9527448976360046e-05,1.0,3.73968253896444e-05,0.95,16.95,,,,,,25.19228834862588,
IndustrialOffset,liang_feature_iki_2017_adaptation,20,0,3.153036308569805e-05,4.740484747105441e-05,1.0,3.185428390110331e-05,0.95,11.1,,,,,,11.14608505013166,
IndustrialOffset,dung_direct_knot_2017_adaptation,20,0,3.075523189526346e-05,4.8159611957873045e-05,1.0,3.103621382735647e-05,1.0,10.65,,,,,,135.54911644750973,
IndustrialOffset,kang_sparse_2015_adaptation,20,0,1.696749840308067e-05,3.851535002831969e-05,1.0,1.7270025932947876e-05,1.0,28.25,,,,,,1114.6834933475475,
IndustrialOffset,luo_linf_de_2022_adaptation,20,0,3.255546756023928e-05,4.5060471122625265e-05,1.0,3.2884433364804036e-05,1.0,11.45,,,,,,3124.6483482056647,
