dataset,sample_id,method,status,safeguard_enabled,safeguard_used,native_k,native_mse,final_k,final_mse,extra_refit_count,final_source,repair_status,capacity,complete_ms
Synthetic,seed20000_sample2679,dung_direct_knot_2017_adaptation,ok,True,True,5,0.002194033184454713,9,3.527028937673089e-05,12,residual_guided_augmentation,repaired_feasible,32,346.7359999776818
Synthetic,seed20000_sample2679,kang_sparse_2015_adaptation,ok,True,True,6,0.00034254251211333556,9,4.9782511272095866e-05,9,residual_guided_augmentation,repaired_feasible,32,963.1000999943353
Synthetic,seed20000_sample2679,luo_linf_de_2022_adaptation,ok,True,False,8,3.3453774340857046e-05,8,3.3453774340857046e-05,0,native,native_feasible,32,2178.97130001802
Synthetic,seed20000_sample2344,dung_direct_knot_2017_adaptation,ok,True,True,6,0.0020223581398780555,11,4.037886306523018e-05,15,residual_guided_augmentation,repaired_feasible,32,337.17029995750636
Synthetic,seed20000_sample2344,kang_sparse_2015_adaptation,ok,True,False,25,2.0170272986358825e-06,25,2.0170272986358825e-06,0,native,native_feasible,32,730.9025999857113
Synthetic,seed20000_sample2344,luo_linf_de_2022_adaptation,ok,True,True,8,5.479140641158434e-05,9,4.9698976334118876e-05,3,residual_guided_augmentation,repaired_feasible,32,1971.6832999838516
Synthetic,seed20000_sample3602,dung_direct_knot_2017_adaptation,ok,True,True,7,0.0022443774470411438,12,4.2134903252856496e-05,15,residual_guided_augmentation,repaired_feasible,32,419.3107000319287
Synthetic,seed20000_sample3602,kang_sparse_2015_adaptation,ok,True,False,26,3.7220401445379875e-06,26,3.7220401445379875e-06,0,native,native_feasible,32,748.0525999562815
Synthetic,seed20000_sample3602,luo_linf_de_2022_adaptation,ok,True,True,7,0.0011413843272906489,15,4.547665317540192e-05,24,residual_guided_augmentation,repaired_feasible,32,2091.0284999990836
Synthetic,seed20000_sample3494,dung_direct_knot_2017_adaptation,ok,True,True,7,0.002271749151480942,15,4.732078263809756e-05,24,residual_guided_augmentation,repaired_feasible,32,543.6539999791421
