dataset,method,n,failed,mse_mean,mse_p95,mse_max,max_squared_error_mean,max_squared_error_p95,max_squared_error_max,max_squared_error_valid_count,max_squared_error_missing_count,fit_pass_rate,reference_mse_mean,reference_mse_max,reference_max_squared_error_mean,reference_max_squared_error_p95,reference_max_squared_error_max,reference_max_squared_error_valid_count,reference_max_squared_error_missing_count,reference_pass_rate,final_k_mean,canonical_k_mean,canonical_count_mae,canonical_count_bias,canonical_count_exact_rate,canonical_count_within_one_rate,total_ms_mean,network_ms_mean
Synthetic,ours,21,0,0.0013733015607636716,0.0022061443928109562,0.0022940027050277058,0.007874114315618564,0.011394599243802681,0.012936619639242992,21,0,0.0,,,,,,0,0,,16.0,14.0,2.1904761904761907,2.0,0.14285714285714285,0.38095238095238093,17.920409523809525,16.478219047619046
Synthetic,park_dominant_point_2007_adaptation,21,0,0.00013614570730504383,0.0002997833041419445,0.0005497785157870331,0.0021340881414297136,0.0064247937241693216,0.009556878702705648,21,0,0.2857142857142857,,,,,,0,0,,30.285714285714285,14.0,16.285714285714285,16.285714285714285,0.0,0.0,124.00861428995128,
Synthetic,liang_feature_iki_2017_adaptation,21,0,0.00012541848391468631,0.00047984577145295356,0.0005550107601518499,0.0008322103602489252,0.003234626334248258,0.0034832250904250637,21,0,0.42857142857142855,,,,,,0,0,,27.285714285714285,14.0,13.285714285714286,13.285714285714286,0.0,0.0,85.68679047415831,
Synthetic,dung_direct_knot_2017_adaptation,21,0,5.47415045898695e-05,8.48824922907018e-05,9.989591017813106e-05,0.0002512724533873287,0.000481804155800427,0.0007083899063139433,21,0,0.6666666666666666,,,,,,0,0,,23.666666666666668,14.0,9.666666666666666,9.666666666666666,0.0,0.0,1052.6877380907536,
Synthetic,kang_sparse_2015_adaptation,21,0,9.278019032207268e-05,0.0002789909380123449,0.00039870937502238453,0.0006641855344904325,0.0031348020037386326,0.0033879018720676065,21,0,0.5238095238095238,,,,,,0,0,,30.19047619047619,14.0,16.19047619047619,16.19047619047619,0.0,0.0,312.0414285720991,
Synthetic,luo_linf_de_2022_adaptation,21,0,9.768270613699827e-05,0.0002633295991789541,0.00036006052651036904,0.0007066106126366927,0.003129215088549735,0.003351729017578202,21,0,0.5238095238095238,,,,,,0,0,,25.857142857142858,14.0,11.857142857142858,11.857142857142858,0.0,0.0,1395.0754571484313,
UJI,ours,1,0,5.466918204607849e-05,5.466918204607849e-05,5.466918204607849e-05,0.0009560098136993795,0.0009560098136993795,0.0009560098136993795,1,0,0.0,0.00010212590194835586,0.00010212590194835586,0.0011617574061787927,0.0011617574061787927,0.0011617574061787927,1,0,0.0,12.0,,,,,,18.0034,11.3413
UJI,park_dominant_point_2007_adaptation,1,0,2.6974677916307257e-05,2.6974677916307257e-05,2.6974677916307257e-05,0.00030998474643660005,0.00030998474643660005,0.00030998474643660005,1,0,1.0,5.455640898577016e-05,5.455640898577016e-05,0.0003258576420613157,0.0003258576420613157,0.0003258576420613157,1,0,0.0,5.0,,,,,,19.649699970614165,
UJI,liang_feature_iki_2017_adaptation,1,0,3.931413665854603e-05,3.931413665854603e-05,3.931413665854603e-05,0.0008125378900212554,0.0008125378900212554,0.0008125378900212554,1,0,1.0,8.360829992816861e-05,8.360829992816861e-05,0.0010486464128136952,0.0010486464128136952,0.0010486464128136952,1,0,0.0,4.0,,,,,,10.87329996516928,
UJI,dung_direct_knot_2017_adaptation,1,0,4.4902215862452816e-05,4.4902215862452816e-05,4.4902215862452816e-05,0.0003700283805656464,0.0003700283805656464,0.0003700283805656464,1,0,1.0,7.393749914003565e-05,7.393749914003565e-05,0.0003235109791881597,0.0003235109791881597,0.0003235109791881597,1,0,0.0,4.0,,,,,,230.42620002524927,
UJI,kang_sparse_2015_adaptation,1,0,2.921867377904972e-05,2.921867377904972e-05,2.921867377904972e-05,0.0006198234159095276,0.0006198234159095276,0.0006198234159095276,1,0,1.0,7.106954745004113e-05,7.106954745004113e-05,0.0008363607250921804,0.0008363607250921804,0.0008363607250921804,1,0,0.0,6.0,,,,,,1096.4841999812052,
UJI,luo_linf_de_2022_adaptation,1,0,3.1240121016769304e-05,3.1240121016769304e-05,3.1240121016769304e-05,0.0002921983035307779,0.0002921983035307779,0.0002921983035307779,1,0,1.0,5.4069446788452765e-05,5.4069446788452765e-05,0.00042049311636056363,0.00042049311636056363,0.00042049311636056363,1,0,0.0,5.0,,,,,,1863.7350000208244,
NaturalEarth,ours,1,0,0.0004246452759285673,0.0004246452759285673,0.0004246452759285673,0.0022206439207746115,0.0022206439207746115,0.0022206439207746115,1,0,0.0,0.0004262368608994819,0.0004262368608994819,0.002701914581413762,0.002701914581413762,0.002701914581413762,1,0,0.0,13.0,,,,,,13.5887,9.8626
NaturalEarth,park_dominant_point_2007_adaptation,1,0,3.522310160465074e-05,3.522310160465074e-05,3.522310160465074e-05,0.0008083802847000217,0.0008083802847000217,0.0008083802847000217,1,0,1.0,3.655733730003317e-05,3.655733730003317e-05,0.0009227114678084655,0.0009227114678084655,0.0009227114678084655,1,0,1.0,25.0,,,,,,129.73089999286458,
NaturalEarth,liang_feature_iki_2017_adaptation,1,0,4.281806490504018e-05,4.281806490504018e-05,4.281806490504018e-05,0.0004357785705223857,0.0004357785705223857,0.0004357785705223857,1,0,1.0,4.42309780926738e-05,4.42309780926738e-05,0.0005595047774456776,0.0005595047774456776,0.0005595047774456776,1,0,1.0,24.0,,,,,,57.97039996832609,
NaturalEarth,dung_direct_knot_2017_adaptation,1,0,4.358175389168596e-05,4.358175389168596e-05,4.358175389168596e-05,0.00043822963904593086,0.00043822963904593086,0.00043822963904593086,1,0,1.0,4.56737568110748e-05,4.56737568110748e-05,0.0007675682276093704,0.0007675682276093704,0.0007675682276093704,1,0,1.0,20.0,,,,,,683.9102000230923,
NaturalEarth,kang_sparse_2015_adaptation,1,0,4.9686855170457165e-05,4.9686855170457165e-05,4.9686855170457165e-05,0.0005701570885983185,0.0005701570885983185,0.0005701570885983185,1,0,1.0,5.222346919249192e-05,5.222346919249192e-05,0.0009139672123806158,0.0009139672123806158,0.0009139672123806158,1,0,0.0,32.0,,,,,,343.9450999721885,
NaturalEarth,luo_linf_de_2022_adaptation,1,0,4.702140582498474e-05,4.702140582498474e-05,4.702140582498474e-05,0.0004476750359751138,0.0004476750359751138,0.0004476750359751138,1,0,1.0,4.925577398212311e-05,4.925577398212311e-05,0.0008464138632402803,0.0008464138632402803,0.0008464138632402803,1,0,1.0,23.0,,,,,,1740.9241999848746,
USGS,ours,1,0,7.221234286512867e-05,7.221234286512867e-05,7.221234286512867e-05,0.0005268261755982707,0.0005268261755982707,0.0005268261755982707,1,0,0.0,7.060838565529822e-05,7.060838565529822e-05,0.000524939306538375,0.000524939306538375,0.000524939306538375,1,0,0.0,14.0,,,,,,15.4397,9.7329
USGS,park_dominant_point_2007_adaptation,1,0,4.0762246163773244e-05,4.0762246163773244e-05,4.0762246163773244e-05,0.000336001889678438,0.000336001889678438,0.000336001889678438,1,0,1.0,4.092962385238111e-05,4.092962385238111e-05,0.00035756831107142806,0.00035756831107142806,0.00035756831107142806,1,0,1.0,9.0,,,,,,25.45559999998659,
USGS,liang_feature_iki_2017_adaptation,1,0,3.389739958048723e-05,3.389739958048723e-05,3.389739958048723e-05,0.00023986757773936885,0.00023986757773936885,0.00023986757773936885,1,0,1.0,3.40502801838002e-05,3.40502801838002e-05,0.0002764579168653394,0.0002764579168653394,0.0002764579168653394,1,0,1.0,11.0,,,,,,27.16990001499653,
USGS,dung_direct_knot_2017_adaptation,1,0,2.5155779679932876e-05,2.5155779679932876e-05,2.5155779679932876e-05,0.00014689794373560084,0.00014689794373560084,0.00014689794373560084,1,0,1.0,2.5324160890731012e-05,2.5324160890731012e-05,0.00017400024374376278,0.00017400024374376278,0.00017400024374376278,1,0,1.0,9.0,,,,,,370.88000000221655,
USGS,kang_sparse_2015_adaptation,1,0,3.832879488277952e-06,3.832879488277952e-06,3.832879488277952e-06,3.303503647453868e-05,3.303503647453868e-05,3.303503647453868e-05,1,0,1.0,3.864054744487318e-06,3.864054744487318e-06,4.710088953865247e-05,4.710088953865247e-05,4.710088953865247e-05,1,0,1.0,23.0,,,,,,685.8936999924481,
USGS,luo_linf_de_2022_adaptation,1,0,2.605188110459838e-05,2.605188110459838e-05,2.605188110459838e-05,0.00020020906079797345,0.00020020906079797345,0.00020020906079797345,1,0,1.0,2.61386671238573e-05,2.61386671238573e-05,0.00022896559322216405,0.00022896559322216405,0.00022896559322216405,1,0,1.0,10.0,,,,,,2122.4934000056237,
IndustrialOffset,ours,1,0,2.158230507314887e-05,2.158230507314887e-05,2.158230507314887e-05,0.00021071226705488938,0.00021071226705488938,0.00021071226705488938,1,0,1.0,2.1809321214665754e-05,2.1809321214665754e-05,0.0002339790238114605,0.0002339790238114605,0.0002339790238114605,1,0,1.0,10.0,,,,,,16.0043,8.8316
IndustrialOffset,park_dominant_point_2007_adaptation,1,0,2.381573674028621e-05,2.381573674028621e-05,2.381573674028621e-05,0.000591138974103891,0.000591138974103891,0.000591138974103891,1,0,1.0,2.4177675601122053e-05,2.4177675601122053e-05,0.0006052041666982077,0.0006052041666982077,0.0006052041666982077,1,0,1.0,10.0,,,,,,55.150299973320216,
IndustrialOffset,liang_feature_iki_2017_adaptation,1,0,2.1982768611996353e-05,2.1982768611996353e-05,2.1982768611996353e-05,0.00041436969210038757,0.00041436969210038757,0.00041436969210038757,1,0,1.0,2.2204369929049032e-05,2.2204369929049032e-05,0.0004161128592298084,0.0004161128592298084,0.0004161128592298084,1,0,1.0,7.0,,,,,,18.650799989700317,
IndustrialOffset,dung_direct_knot_2017_adaptation,1,0,1.5289003566665232e-05,1.5289003566665232e-05,1.5289003566665232e-05,0.0002707087788373663,0.0002707087788373663,0.0002707087788373663,1,0,1.0,1.566014978186736e-05,1.566014978186736e-05,0.00041099373437739295,0.00041099373437739295,0.00041099373437739295,1,0,1.0,6.0,,,,,,212.58389996364713,
IndustrialOffset,kang_sparse_2015_adaptation,1,0,5.8478728797685875e-06,5.8478728797685875e-06,5.8478728797685875e-06,0.00017754789212136873,0.00017754789212136873,0.00017754789212136873,1,0,1.0,6.121564893974623e-06,6.121564893974623e-06,0.00032497380020891095,0.00032497380020891095,0.00032497380020891095,1,0,1.0,32.0,,,,,,306.0663999640383,
IndustrialOffset,luo_linf_de_2022_adaptation,1,0,2.137301424742457e-05,2.137301424742457e-05,2.137301424742457e-05,0.0005752614148867045,0.0005752614148867045,0.0005752614148867045,1,0,1.0,2.1798554633637107e-05,2.1798554633637107e-05,0.0007147003921307341,0.0007147003921307341,0.0007147003921307341,1,0,1.0,6.0,,,,,,2079.306799976621,
