dataset,sample_id,method,status,baseline_protocol,reproduction_status,safeguard_enabled,safeguard_used,native_k,native_mse,final_k,final_mse,extra_refit_count,final_source,repair_status,capacity,complete_ms
UJI,uji2_07539_stroke_00,dung_direct_knot_2017_adaptation,ok,adaptation,reproduction_unverified,False,False,3,0.00015705737790576804,3,0.00015705737790576804,0,native,disabled,32,132.84679997013882
UJI,uji2_07539_stroke_00,kang_sparse_2015_adaptation,ok,adaptation,reproduction_unverified,False,False,1,0.00023884312646682646,1,0.00023884312646682646,0,native,disabled,32,2662.7499000169337
UJI,uji2_07539_stroke_00,luo_linf_de_2022_adaptation,ok,adaptation,reproduction_unverified,False,False,2,0.00011123623958147956,2,0.00011123623958147956,0,native,disabled,32,6655.31150001334
NaturalEarth,natural_earth_10m_coastline_625e1d04cc46_w000_625e1d04,dung_direct_knot_2017_adaptation,ok,adaptation,reproduction_unverified,False,False,9,0.0005963145178945506,9,0.0005963145178945506,0,native,disabled,32,556.9692999706604
NaturalEarth,natural_earth_10m_coastline_625e1d04cc46_w000_625e1d04,kang_sparse_2015_adaptation,ok,adaptation,reproduction_unverified,False,False,1,0.02384325458125687,1,0.02384325458125687,0,native,disabled,32,1278.6005000234582
NaturalEarth,natural_earth_10m_coastline_625e1d04cc46_w000_625e1d04,luo_linf_de_2022_adaptation,ok,adaptation,reproduction_unverified,False,False,7,0.0019669958279953945,7,0.0019669958279953945,0,native,disabled,32,3055.3985000005923
USGS,usgs_tnm_contours_large_scale_9f99fb041980_w000_9f99fb04,dung_direct_knot_2017_adaptation,ok,adaptation,reproduction_unverified,False,False,5,0.0008048775907811425,5,0.0008048775907811425,0,native,disabled,32,263.8326000305824
USGS,usgs_tnm_contours_large_scale_9f99fb041980_w000_9f99fb04,kang_sparse_2015_adaptation,ok,adaptation,reproduction_unverified,False,False,2,0.003233865522751728,2,0.003233865522751728,0,native,disabled,32,2663.4310000226833
USGS,usgs_tnm_contours_large_scale_9f99fb041980_w000_9f99fb04,luo_linf_de_2022_adaptation,ok,adaptation,reproduction_unverified,False,False,5,0.00034947966740502315,5,0.00034947966740502315,0,native,disabled,32,6254.437999974471
IndustrialOffset,industrial_offset_naca_airfoil_v011_o04_p0p0400,dung_direct_knot_2017_adaptation,ok,adaptation,reproduction_unverified,False,False,4,0.0029095393363680836,4,0.0029095393363680836,0,native,disabled,32,177.62680002488196
IndustrialOffset,industrial_offset_naca_airfoil_v011_o04_p0p0400,kang_sparse_2015_adaptation,ok,adaptation,reproduction_unverified,False,False,1,0.0059958723177629784,1,0.0059958723177629784,0,native,disabled,32,2144.2036000080407
IndustrialOffset,industrial_offset_naca_airfoil_v011_o04_p0p0400,luo_linf_de_2022_adaptation,ok,adaptation,reproduction_unverified,False,False,3,0.0005913550986427644,3,0.0005913550986427644,0,native,disabled,32,6965.202400053386
