dataset,sample_id,method,status,baseline_protocol,reproduction_status,safeguard_enabled,safeguard_used,native_k,native_mse,final_k,final_mse,extra_refit_count,final_source,repair_status,capacity,complete_ms
UJI,uji2_07539_stroke_00,dung_direct_knot_2017_adaptation,ok,adaptation,reproduction_unverified,False,False,3,0.00015705737790576804,3,0.00015705737790576804,0,native,disabled,32,144.7446999954991
UJI,uji2_07539_stroke_00,kang_sparse_2015_adaptation,failed,adaptation,reproduction_unverified,,,,,,,,,,,4710.059500008356
UJI,uji2_07539_stroke_00,luo_linf_de_2022_adaptation,ok,adaptation,reproduction_unverified,False,False,2,0.00011123623958147956,2,0.00011123623958147956,0,native,disabled,32,5930.435399990529
NaturalEarth,natural_earth_10m_coastline_625e1d04cc46_w000_625e1d04,dung_direct_knot_2017_adaptation,ok,adaptation,reproduction_unverified,False,False,9,0.0005963145178945506,9,0.0005963145178945506,0,native,disabled,32,620.9418999496847
NaturalEarth,natural_earth_10m_coastline_625e1d04cc46_w000_625e1d04,kang_sparse_2015_adaptation,failed,adaptation,reproduction_unverified,,,,,,,,,,,7153.13230000902
NaturalEarth,natural_earth_10m_coastline_625e1d04cc46_w000_625e1d04,luo_linf_de_2022_adaptation,ok,adaptation,reproduction_unverified,False,False,7,0.0019669958279953945,7,0.0019669958279953945,0,native,disabled,32,2614.020299981348
USGS,usgs_tnm_contours_large_scale_9f99fb041980_w000_9f99fb04,dung_direct_knot_2017_adaptation,ok,adaptation,reproduction_unverified,False,False,5,0.0008048775907811425,5,0.0008048775907811425,0,native,disabled,32,273.46190001117066
USGS,usgs_tnm_contours_large_scale_9f99fb041980_w000_9f99fb04,kang_sparse_2015_adaptation,failed,adaptation,reproduction_unverified,,,,,,,,,,,4488.611100008711
USGS,usgs_tnm_contours_large_scale_9f99fb041980_w000_9f99fb04,luo_linf_de_2022_adaptation,ok,adaptation,reproduction_unverified,False,False,5,0.00034947966740502315,5,0.00034947966740502315,0,native,disabled,32,6114.321900007781
IndustrialOffset,industrial_offset_naca_airfoil_v011_o04_p0p0400,dung_direct_knot_2017_adaptation,ok,adaptation,reproduction_unverified,False,False,4,0.0029095393363680836,4,0.0029095393363680836,0,native,disabled,32,181.65240000234917
IndustrialOffset,industrial_offset_naca_airfoil_v011_o04_p0p0400,kang_sparse_2015_adaptation,failed,adaptation,reproduction_unverified,,,,,,,,,,,3708.6627000244334
IndustrialOffset,industrial_offset_naca_airfoil_v011_o04_p0p0400,luo_linf_de_2022_adaptation,ok,adaptation,reproduction_unverified,False,False,3,0.0005913550986427644,3,0.0005913550986427644,0,native,disabled,32,7007.585800020024
