dataset,sample_id,method,status,baseline_protocol,reproduction_status,safeguard_enabled,safeguard_used,native_k,native_mse,final_k,final_mse,extra_refit_count,final_source,repair_status,capacity,complete_ms
UJI,uji2_07539_stroke_00,park_dominant_point_2007_adaptation,unavailable,native,reproduction_unverified,,,,,,,,,,,
UJI,uji2_07539_stroke_00,liang_feature_iki_2017_adaptation,unavailable,native,reproduction_unverified,,,,,,,,,,,
UJI,uji2_07539_stroke_00,dung_direct_knot_2017_adaptation,unavailable,native,reproduction_unverified,,,,,,,,,,,
UJI,uji2_07539_stroke_00,kang_sparse_2015_adaptation,unavailable,native,reproduction_unverified,,,,,,,,,,,
UJI,uji2_07539_stroke_00,luo_linf_de_2022_adaptation,unavailable,native,reproduction_unverified,,,,,,,,,,,
NaturalEarth,natural_earth_10m_coastline_625e1d04cc46_w000_625e1d04,park_dominant_point_2007_adaptation,unavailable,native,reproduction_unverified,,,,,,,,,,,
NaturalEarth,natural_earth_10m_coastline_625e1d04cc46_w000_625e1d04,liang_feature_iki_2017_adaptation,unavailable,native,reproduction_unverified,,,,,,,,,,,
NaturalEarth,natural_earth_10m_coastline_625e1d04cc46_w000_625e1d04,dung_direct_knot_2017_adaptation,unavailable,native,reproduction_unverified,,,,,,,,,,,
NaturalEarth,natural_earth_10m_coastline_625e1d04cc46_w000_625e1d04,kang_sparse_2015_adaptation,unavailable,native,reproduction_unverified,,,,,,,,,,,
NaturalEarth,natural_earth_10m_coastline_625e1d04cc46_w000_625e1d04,luo_linf_de_2022_adaptation,unavailable,native,reproduction_unverified,,,,,,,,,,,
USGS,usgs_tnm_contours_large_scale_9f99fb041980_w000_9f99fb04,park_dominant_point_2007_adaptation,unavailable,native,reproduction_unverified,,,,,,,,,,,
USGS,usgs_tnm_contours_large_scale_9f99fb041980_w000_9f99fb04,liang_feature_iki_2017_adaptation,unavailable,native,reproduction_unverified,,,,,,,,,,,
USGS,usgs_tnm_contours_large_scale_9f99fb041980_w000_9f99fb04,dung_direct_knot_2017_adaptation,unavailable,native,reproduction_unverified,,,,,,,,,,,
USGS,usgs_tnm_contours_large_scale_9f99fb041980_w000_9f99fb04,kang_sparse_2015_adaptation,unavailable,native,reproduction_unverified,,,,,,,,,,,
USGS,usgs_tnm_contours_large_scale_9f99fb041980_w000_9f99fb04,luo_linf_de_2022_adaptation,unavailable,native,reproduction_unverified,,,,,,,,,,,
IndustrialOffset,industrial_offset_naca_airfoil_v011_o04_p0p0400,park_dominant_point_2007_adaptation,unavailable,native,reproduction_unverified,,,,,,,,,,,
IndustrialOffset,industrial_offset_naca_airfoil_v011_o04_p0p0400,liang_feature_iki_2017_adaptation,unavailable,native,reproduction_unverified,,,,,,,,,,,
IndustrialOffset,industrial_offset_naca_airfoil_v011_o04_p0p0400,dung_direct_knot_2017_adaptation,unavailable,native,reproduction_unverified,,,,,,,,,,,
IndustrialOffset,industrial_offset_naca_airfoil_v011_o04_p0p0400,kang_sparse_2015_adaptation,unavailable,native,reproduction_unverified,,,,,,,,,,,
IndustrialOffset,industrial_offset_naca_airfoil_v011_o04_p0p0400,luo_linf_de_2022_adaptation,unavailable,native,reproduction_unverified,,,,,,,,,,,
