dataset,method,n,evaluated_count,failed,unavailable,mse_mean,mse_p95,mse_max,max_squared_error_mean,max_squared_error_p95,max_squared_error_max,max_squared_error_valid_count,max_squared_error_missing_count,fit_pass_rate,reference_mse_mean,reference_mse_max,reference_max_squared_error_mean,reference_max_squared_error_p95,reference_max_squared_error_max,reference_max_squared_error_valid_count,reference_max_squared_error_missing_count,reference_pass_rate,final_k_mean,canonical_k_mean,canonical_count_mae,canonical_count_bias,canonical_count_exact_rate,canonical_count_within_one_rate,total_ms_mean,network_ms_mean
UJI,ours,1,1,0,0,7.555074274527679e-06,7.555074274527679e-06,7.555074274527679e-06,0.00015116778538034112,0.00015116778538034112,0.00015116778538034112,1,0,1.0,2.3240887518584024e-05,2.3240887518584024e-05,0.00027293754439426557,0.00027293754439426557,0.00027293754439426557,1,0,1.0,22.0,,,,,,20.0583,425.2249
UJI,park_dominant_point_2007_adaptation,1,0,0,1,,,,,,,0,0,,,,,,,0,0,,,,,,,,,
UJI,liang_feature_iki_2017_adaptation,1,0,0,1,,,,,,,0,0,,,,,,,0,0,,,,,,,,,
UJI,dung_direct_knot_2017_adaptation,1,0,0,1,,,,,,,0,0,,,,,,,0,0,,,,,,,,,
UJI,kang_sparse_2015_adaptation,1,0,0,1,,,,,,,0,0,,,,,,,0,0,,,,,,,,,
UJI,luo_linf_de_2022_adaptation,1,0,0,1,,,,,,,0,0,,,,,,,0,0,,,,,,,,,
NaturalEarth,ours,1,1,0,0,5.300399572141691e-05,5.300399572141691e-05,5.300399572141691e-05,0.0007219667798960151,0.0007219667798960151,0.0007219667798960151,1,0,0.0,5.152721719510489e-05,5.152721719510489e-05,0.0007218233241622785,0.0007218233241622785,0.0007218233241622785,1,0,0.0,28.0,,,,,,32.7795,22.9923
NaturalEarth,park_dominant_point_2007_adaptation,1,0,0,1,,,,,,,0,0,,,,,,,0,0,,,,,,,,,
NaturalEarth,liang_feature_iki_2017_adaptation,1,0,0,1,,,,,,,0,0,,,,,,,0,0,,,,,,,,,
NaturalEarth,dung_direct_knot_2017_adaptation,1,0,0,1,,,,,,,0,0,,,,,,,0,0,,,,,,,,,
NaturalEarth,kang_sparse_2015_adaptation,1,0,0,1,,,,,,,0,0,,,,,,,0,0,,,,,,,,,
NaturalEarth,luo_linf_de_2022_adaptation,1,0,0,1,,,,,,,0,0,,,,,,,0,0,,,,,,,,,
USGS,ours,1,1,0,0,2.1321049389359374e-05,2.1321049389359374e-05,2.1321049389359374e-05,0.0001925699271327886,0.0001925699271327886,0.0001925699271327886,1,0,1.0,2.0158433674167245e-05,2.0158433674167245e-05,0.0001923317838943981,0.0001923317838943981,0.0001923317838943981,1,0,1.0,29.0,,,,,,26.1686,27.3214
USGS,park_dominant_point_2007_adaptation,1,0,0,1,,,,,,,0,0,,,,,,,0,0,,,,,,,,,
USGS,liang_feature_iki_2017_adaptation,1,0,0,1,,,,,,,0,0,,,,,,,0,0,,,,,,,,,
USGS,dung_direct_knot_2017_adaptation,1,0,0,1,,,,,,,0,0,,,,,,,0,0,,,,,,,,,
USGS,kang_sparse_2015_adaptation,1,0,0,1,,,,,,,0,0,,,,,,,0,0,,,,,,,,,
USGS,luo_linf_de_2022_adaptation,1,0,0,1,,,,,,,0,0,,,,,,,0,0,,,,,,,,,
IndustrialOffset,ours,1,1,0,0,2.153423519906986e-06,2.153423519906986e-06,2.153423519906986e-06,5.0409816760284105e-05,5.0409816760284105e-05,5.0409816760284105e-05,1,0,1.0,2.2123336101510558e-06,2.2123336101510558e-06,8.71175684926674e-05,8.71175684926674e-05,8.71175684926674e-05,1,0,1.0,21.0,,,,,,24.4063,22.9589
IndustrialOffset,park_dominant_point_2007_adaptation,1,0,0,1,,,,,,,0,0,,,,,,,0,0,,,,,,,,,
IndustrialOffset,liang_feature_iki_2017_adaptation,1,0,0,1,,,,,,,0,0,,,,,,,0,0,,,,,,,,,
IndustrialOffset,dung_direct_knot_2017_adaptation,1,0,0,1,,,,,,,0,0,,,,,,,0,0,,,,,,,,,
IndustrialOffset,kang_sparse_2015_adaptation,1,0,0,1,,,,,,,0,0,,,,,,,0,0,,,,,,,,,
IndustrialOffset,luo_linf_de_2022_adaptation,1,0,0,1,,,,,,,0,0,,,,,,,0,0,,,,,,,,,
