dataset,method,n,failed,mse_mean,mse_p95,fit_pass_rate,reference_mse_mean,reference_pass_rate,final_k_mean,canonical_k_mean,canonical_count_mae,canonical_count_bias,canonical_count_exact_rate,canonical_count_within_one_rate,total_ms_mean,network_ms_mean
Synthetic,ours,10,0,1.9577388358624684e-05,4.073895125063291e-05,1.0,,,17.4,8.5,8.9,8.9,0.0,0.0,7.7066581,6.416361499999999
Synthetic,park_dominant_point_2007_adaptation,10,0,5.81891385883228e-05,9.321961977446869e-05,1.0,,,33.9,8.5,25.4,25.4,0.0,0.0,45.915917996899225,
Synthetic,liang_feature_iki_2017_adaptation,10,0,8.020641051990249e-05,9.425807678523951e-05,1.0,,,19.7,8.5,11.2,11.2,0.0,0.0,19.985116997850128,
Synthetic,dung_direct_knot_2017_adaptation,10,0,0.0026208790111791743,0.0030778405125993385,0.0,,,7.8,8.5,0.9,-0.7,0.4,0.8,119.32673160190461,
Synthetic,kang_sparse_2015_adaptation,10,0,0.00145453689816509,0.004582218586851907,0.3,,,6.9,8.5,4.6,-1.6,0.0,0.0,243.7905693994253,
Synthetic,luo_linf_de_2022_adaptation,10,0,0.0009387898085158463,0.0023780698592791158,0.3,,,11.0,8.5,2.7,2.5,0.3,0.5,627.9590474019642,
UJI,ours,10,0,1.755671453818978e-05,3.138956991821382e-05,1.0,3.091902754145306e-05,1.0,8.0,,,,,,7.450531,6.254765900000001
UJI,park_dominant_point_2007_adaptation,10,0,5.620033273535564e-05,9.250010144414774e-05,1.0,0.00010422914394542202,0.6,6.6,,,,,,9.573943699069787,
UJI,liang_feature_iki_2017_adaptation,10,0,3.2302088543186695e-05,7.740928793067873e-05,1.0,6.519865991215764e-05,0.7,5.8,,,,,,5.579410099016968,
UJI,dung_direct_knot_2017_adaptation,10,0,0.00044769266255621656,0.0014350089325077797,0.6,0.000553283820929147,0.5,2.2,,,,,,37.68324230040889,
UJI,kang_sparse_2015_adaptation,10,0,0.0003671877913514237,0.0014174973786746107,0.5,0.0005012185443959056,0.3,1.9,,,,,,138.23127419891534,
UJI,luo_linf_de_2022_adaptation,10,0,0.0007434269581899028,0.0031479216148386823,0.6,0.0008261546078662488,0.5,2.7,,,,,,584.5918762031943,
NaturalEarth,ours,10,0,6.252206968449287e-05,0.00020211136414415175,0.9,6.668880838246418e-05,0.9,23.9,,,,,,7.7311563,6.2411619
NaturalEarth,park_dominant_point_2007_adaptation,10,0,0.00010064354570613377,0.00023766420005205498,0.9,0.00010658560326658555,0.9,19.6,,,,,,27.816212699690368,
NaturalEarth,liang_feature_iki_2017_adaptation,10,0,0.00010309270838707329,0.00019827725486063546,0.9,0.00010929264521611167,0.9,18.5,,,,,,19.983781497285236,
NaturalEarth,dung_direct_knot_2017_adaptation,10,0,0.0009578540675715501,0.002523151898092224,0.0,0.0009694654743267481,0.0,10.0,,,,,,161.25699960102793,
NaturalEarth,kang_sparse_2015_adaptation,10,0,0.005815770786768452,0.02964110155614972,0.5,0.005951512808068243,0.5,8.3,,,,,,238.51997339806985,
NaturalEarth,luo_linf_de_2022_adaptation,10,0,0.0026678288644047437,0.008571142558926192,0.0,0.0027032024512506957,0.0,5.6,,,,,,534.7122906008735,
USGS,ours,10,0,3.2077885527793553e-05,7.311287046556794e-05,1.0,3.289093578707396e-05,1.0,30.2,,,,,,7.8116956,6.2484711
USGS,park_dominant_point_2007_adaptation,10,0,7.58059191725664e-05,9.67289062255267e-05,1.0,7.718645666633348e-05,1.0,26.5,,,,,,35.65654019912472,
USGS,liang_feature_iki_2017_adaptation,10,0,8.763715858140297e-05,9.861655332059843e-05,1.0,8.937303875499892e-05,0.8,20.3,,,,,,21.988397400127724,
USGS,dung_direct_knot_2017_adaptation,10,0,0.0005022945595874396,0.0007258158319172661,0.0,0.0005076625230285038,0.0,10.8,,,,,,185.1834813991445,
USGS,kang_sparse_2015_adaptation,10,0,0.005508167818822867,0.023070080920635287,0.5,0.0055390785879092155,0.5,6.4,,,,,,209.29174949851586,
USGS,luo_linf_de_2022_adaptation,10,0,0.0015942707648351115,0.0067188652332548756,0.2,0.00160459519108914,0.2,7.9,,,,,,556.6267300004256,
