dataset,sample_id,method,status,safeguard_enabled,safeguard_used,native_k,native_mse,final_k,final_mse,extra_refit_count,final_source,repair_status,capacity,complete_ms
Synthetic,seed20000_sample2679,dung_direct_knot_2017_adaptation,ok,True,True,5,0.0021940331625299177,8,4.0370522316726106e-05,9,residual_guided_augmentation,repaired_feasible,16,116.4700830122456
Synthetic,seed20000_sample2679,kang_sparse_2015_adaptation,ok,True,False,16,9.432955522650656e-06,16,9.432955522650656e-06,0,native,native_feasible,16,392.11658702697605
Synthetic,seed20000_sample2679,luo_linf_de_2022_adaptation,ok,True,True,5,0.0005074905711138648,10,3.271163838502727e-05,15,residual_guided_augmentation,repaired_feasible,16,2395.8402990247123
Synthetic,seed20000_sample2057,dung_direct_knot_2017_adaptation,ok,True,True,5,0.0015518769018079404,9,2.4798292254366187e-05,12,residual_guided_augmentation,repaired_feasible,16,99.44515000097454
Synthetic,seed20000_sample2057,kang_sparse_2015_adaptation,ok,True,False,16,6.093999315512423e-06,16,6.093999315512423e-06,0,native,native_feasible,16,392.172621039208
Synthetic,seed20000_sample2057,luo_linf_de_2022_adaptation,ok,True,True,5,0.0004418280444451872,10,4.3766652283756665e-05,15,residual_guided_augmentation,repaired_feasible,16,2373.4006310114637
Synthetic,seed20000_sample2344,dung_direct_knot_2017_adaptation,ok,True,True,6,0.0020223583625721916,11,3.133378208997923e-05,15,residual_guided_augmentation,repaired_feasible,16,132.96305999392644
Synthetic,seed20000_sample2344,kang_sparse_2015_adaptation,ok,True,False,16,2.0166562385076052e-05,16,2.0166562385076052e-05,0,native,native_feasible,16,391.321541974321
Synthetic,seed20000_sample2344,luo_linf_de_2022_adaptation,ok,True,True,5,0.0015209831812761105,13,3.7874774752248e-05,24,residual_guided_augmentation,repaired_feasible,16,2129.721192002762
Synthetic,seed20000_sample3595,dung_direct_knot_2017_adaptation,ok,True,True,6,0.0026969546938576364,12,4.668855246172833e-05,18,residual_guided_augmentation,repaired_feasible,16,138.09641904663295
Synthetic,seed20000_sample3595,kang_sparse_2015_adaptation,ok,True,False,16,2.4378047307975218e-05,16,2.4378047307975218e-05,0,native,native_feasible,16,392.45716005098075
Synthetic,seed20000_sample3595,luo_linf_de_2022_adaptation,ok,True,True,5,0.0012204595076037005,13,4.6305368095100724e-05,24,residual_guided_augmentation,repaired_feasible,16,2187.589053006377
Synthetic,seed20000_sample3602,dung_direct_knot_2017_adaptation,ok,True,True,7,0.002244377360149217,13,3.71801391733937e-05,18,residual_guided_augmentation,repaired_feasible,16,140.63601300586015
Synthetic,seed20000_sample3602,kang_sparse_2015_adaptation,ok,True,False,16,3.1239949727689176e-05,16,3.1239949727689176e-05,0,native,native_feasible,16,390.19382395781577
Synthetic,seed20000_sample3602,luo_linf_de_2022_adaptation,ok,True,True,5,0.002083751100504667,13,3.9478965368213195e-05,24,residual_guided_augmentation,repaired_feasible,16,1829.2818689951673
Synthetic,seed20000_sample617,dung_direct_knot_2017_adaptation,ok,True,True,6,0.0016148004532140839,10,4.145824252284534e-05,12,residual_guided_augmentation,repaired_feasible,16,160.6674729846418
Synthetic,seed20000_sample617,kang_sparse_2015_adaptation,ok,True,False,16,3.480711429335408e-05,16,3.480711429335408e-05,0,native,native_feasible,16,392.0224609901197
Synthetic,seed20000_sample617,luo_linf_de_2022_adaptation,ok,True,True,5,0.0018389375895438995,14,4.47857879735284e-05,27,residual_guided_augmentation,repaired_feasible,16,1249.0440830006264
Synthetic,seed20000_sample3494,dung_direct_knot_2017_adaptation,ok,True,True,7,0.0022717491457686745,16,4.2669624813690886e-05,27,residual_guided_augmentation,repaired_feasible,16,204.73119197413325
Synthetic,seed20000_sample3494,kang_sparse_2015_adaptation,ok,True,True,16,8.547696752744426e-05,16,8.547696752744426e-05,1,native_after_failed_safeguard,budget_exhausted_without_feasible_fit,16,5.621106014586985
Synthetic,seed20000_sample3494,luo_linf_de_2022_adaptation,ok,True,True,3,0.0028713404641210315,16,8.305314411782964e-05,40,residual_guided_augmentation,budget_exhausted_without_feasible_fit,16,598.7993209855631
Synthetic,seed20000_sample1758,dung_direct_knot_2017_adaptation,ok,True,True,8,0.001982398591386855,15,4.909383349263432e-05,21,residual_guided_augmentation,repaired_feasible,16,187.41320597473532
Synthetic,seed20000_sample1758,kang_sparse_2015_adaptation,ok,True,False,16,4.7964720623227306e-05,16,4.7964720623227306e-05,0,native,native_feasible,16,393.1802110164426
