dataset,method,n,failed,mse_mean,mse_p95,mse_max,max_squared_error_mean,max_squared_error_p95,max_squared_error_max,max_squared_error_valid_count,max_squared_error_missing_count,fit_pass_rate,reference_mse_mean,reference_mse_max,reference_max_squared_error_mean,reference_max_squared_error_p95,reference_max_squared_error_max,reference_max_squared_error_valid_count,reference_max_squared_error_missing_count,reference_pass_rate,final_k_mean,canonical_k_mean,canonical_count_mae,canonical_count_bias,canonical_count_exact_rate,canonical_count_within_one_rate,total_ms_mean,network_ms_mean
Synthetic,ours,42,0,0.0016469406064007503,0.0039255236101814125,0.004168898282418522,0.006064523876709436,0.013383802799349358,0.019426614461946476,42,0,0.16666666666666666,,,,,,0,0,,15.333333333333334,14.0,4.761904761904762,1.3333333333333333,0.047619047619047616,0.14285714285714285,14.491184261904761,13.248425166666667
Synthetic,park_dominant_point_2007_adaptation,42,0,0.0013510438454320802,0.0032148223959757166,0.003407364335866804,0.00987992667810687,0.02063311220285274,0.02351220567726163,42,0,0.023809523809523808,,,,,,0,0,,16.0,14.0,5.428571428571429,2.0,0.047619047619047616,0.14285714285714285,19.102669024418685,
Synthetic,liang_feature_iki_2017_adaptation,42,0,0.0011851492455186815,0.0028285670242751124,0.003205807839417552,0.005693977137008177,0.011547090686133467,0.012473204573433372,42,0,0.11904761904761904,,,,,,0,0,,15.738095238095237,14.0,5.166666666666667,1.7380952380952381,0.047619047619047616,0.14285714285714285,14.956265452340068,
Synthetic,dung_direct_knot_2017_adaptation,42,0,0.0014477078552678202,0.0037667055190293347,0.0040705824506214764,0.006345077517417542,0.015683675472679175,0.019981466176557862,42,0,0.21428571428571427,,,,,,0,0,,15.166666666666666,14.0,4.595238095238095,1.1666666666666667,0.047619047619047616,0.14285714285714285,344.0327876444263,
Synthetic,kang_sparse_2015_adaptation,42,0,0.0018143964677361593,0.0038878195703706767,0.0041356295648082905,0.0069514856330702025,0.015153788033640822,0.01710382454991362,42,0,0.16666666666666666,,,,,,0,0,,16.0,14.0,5.428571428571429,2.0,0.047619047619047616,0.14285714285714285,69.99623567043315,
Synthetic,luo_linf_de_2022_adaptation,42,0,0.001649539647572852,0.0037741173299296184,0.0040491525761036035,0.006622556678494137,0.01493553896719448,0.019269629271825735,42,0,0.21428571428571427,,,,,,0,0,,15.380952380952381,14.0,4.809523809523809,1.380952380952381,0.047619047619047616,0.14285714285714285,784.0520011419097,
UJI,ours,20,0,5.5034916693664514e-05,0.00011103312697516807,0.00044409470644931926,0.0006102561675451234,0.0018728453707002094,0.0027425957087773467,20,0,0.7,6.298682144281943e-05,0.00038929602096657827,0.0006982398366006627,0.0024621201053090327,0.0035474589671323394,20,0,0.65,14.3,,,,,,14.463886650000001,13.234788700000001
UJI,park_dominant_point_2007_adaptation,20,0,8.753470855319507e-05,0.0003954759191607186,0.00040883199703780487,0.00156786187187232,0.007087183097659041,0.007567152137805932,20,0,0.75,0.00016852666549207966,0.0006697445526870181,0.0018648788386685634,0.00791600752554873,0.008608631652288265,20,0,0.3,9.2,,,,,,12.216307592461817,
UJI,liang_feature_iki_2017_adaptation,20,0,3.956816152128466e-05,9.519194156854475e-05,0.00013915161785473825,0.00041447833379795697,0.0010545924452832686,0.0011479814885589177,20,0,0.85,8.651210183435039e-05,0.0003396861165993919,0.0005140669228734489,0.001243227101535127,0.0012849453727806575,20,0,0.3,8.35,,,,,,7.582826254656538,
UJI,dung_direct_knot_2017_adaptation,20,0,3.482976060519899e-05,4.980678555336417e-05,6.233235867762522e-05,0.00034802198321130323,0.000980161239805519,0.0009857798705518947,20,0,0.95,7.4049628759188e-05,0.0003091899044361327,0.0004767619180552878,0.0011202192379775957,0.0016203100890810694,20,0,0.35,7.2,,,,,,105.41316025191918,
