sample_index,source_internal_knot_count,canonical_internal_knot_count,mse_tolerance,method,mse,final_internal_knot_count,canonical_count_error,source_count_error,threshold_satisfied,elapsed_ms,timing_scope,parameterization,internal_knots
2497,4,4,1e-05,ours,2.6476955158013967e-05,32,28,28,False,26.812350000000002,synchronized batch-1 network forward only; input preloaded on device; final refit and verified repair excluded,network_predicted,"[0.0006673085154034197, 0.0016854626592248678, 0.0028389061335474253, 0.004143267869949341, 0.005548350512981415, 0.007054811343550682, 0.008623349480330944, 0.010123088024556637, 0.011444058269262314, 0.012661119922995567, 0.014028391800820827, 0.01571430265903473, 0.017587721347808838, 0.019258327782154083, 0.020530782639980316, 0.021605154499411583, 0.02324964478611946, 0.02486472763121128, 0.025127753615379333, 0.02728971093893051, 0.030490638688206673, 0.03315270319581032, 0.036740582436323166, 0.04289819300174713, 0.06673496216535568, 0.1935131847858429, 0.2274189591407776, 0.4086088240146637, 0.458355575799942, 0.6286680102348328, 0.8057405948638916, 0.8279647827148438]"
2497,4,4,1e-05,kang_sparse_2015_adaptation,9.162801228154986e-06,11,7,7,True,2955.1106999861076,complete sparse ADMM selection + relocation + endpoint-constrained verification/fallback + final refit,chord_length,"[0.1461509146341463, 0.2193216463414634, 0.3159298780487805, 0.36585365853658536, 0.41015625, 0.5365853658536586, 0.5622141768292683, 0.6829268292682926, 0.6926448170731707, 0.8037347560975611, 0.8746189024390244]"
2497,4,4,1e-05,uniform_gradient_pruning,8.436480245691891e-06,9,5,5,True,12864.566900010686,complete uniform-Kmax initialization + all deletion scoring + gradient relocation + exact refit validation,chord_length,"[0.20501220657240232, 0.3063350679386751, 0.41093908647992, 0.4267074501112485, 0.5529534966381654, 0.5648796166961747, 0.6586966395954669, 0.6973432982638744, 0.7903965932709948]"
2997,5,5,1e-05,ours,0.00016834277088698062,32,27,27,False,28.34655,synchronized batch-1 network forward only; input preloaded on device; final refit and verified repair excluded,network_predicted,"[0.0011057069059461355, 0.002498728223145008, 0.004149089567363262, 0.005870362278074026, 0.007510032504796982, 0.009092462249100208, 0.010712554678320885, 0.012592474929988384, 0.014719006605446339, 0.016865788027644157, 0.018803192302584648, 0.020560452714562416, 0.022314852103590965, 0.02411559596657753, 0.025957399979233742, 0.027826808393001556, 0.030245454981923103, 0.03263561427593231, 0.033009398728609085, 0.03692817687988281, 0.04336269944906235, 0.04919597879052162, 0.05765514820814133, 0.07949839532375336, 0.2208900898694992, 0.23904934525489807, 0.42378270626068115, 0.5727466940879822, 0.6257879137992859, 0.7629956603050232, 0.7898674011230469, 0.8520854711532593]"
2997,5,5,1e-05,kang_sparse_2015_adaptation,9.97902791149003e-06,15,10,10,True,2964.4116000272334,complete sparse ADMM selection + relocation + endpoint-constrained verification/fallback + final refit,chord_length,"[0.07912538109756098, 0.17073170731707318, 0.24409298780487804, 0.2682926829268293, 0.34165396341463417, 0.36585365853658536, 0.43902439024390244, 0.439453125, 0.4634146341463415, 0.6341463414634146, 0.6585365853658536, 0.7076028963414633, 0.7317073170731707, 0.8536585365853658, 0.8782393292682926]"
2997,5,5,1e-05,uniform_gradient_pruning,9.121448042503426e-06,12,7,7,True,9961.51659998577,complete uniform-Kmax initialization + all deletion scoring + gradient relocation + exact refit validation,chord_length,"[0.12817759200144233, 0.1825448290993937, 0.24437520852000494, 0.2808207591970733, 0.36749931923772855, 0.3881507509021184, 0.4656053425013881, 0.4980715816444098, 0.5979705295764892, 0.617199766151422, 0.7355344703312987, 0.8218268378847313]"
149,6,6,1e-05,ours,0.000675366046456273,32,26,26,False,27.25865,synchronized batch-1 network forward only; input preloaded on device; final refit and verified repair excluded,network_predicted,"[0.0012428531190380454, 0.003199485130608082, 0.006159049458801746, 0.009179586544632912, 0.011658212170004845, 0.013882102444767952, 0.015972817316651344, 0.018012411892414093, 0.020208390429615974, 0.022897742688655853, 0.025984374806284904, 0.029194997623562813, 0.03247528523206711, 0.03600827604532242, 0.039922792464494705, 0.043791431933641434, 0.04698847979307175, 0.04979727044701576, 0.05305919051170349, 0.05704769864678383, 0.06102278456091881, 0.06631018221378326, 0.07413165271282196, 0.11285734176635742, 0.14482912421226501, 0.19977709650993347, 0.3676298260688782, 0.5159096121788025, 0.64268559217453, 0.6987048983573914, 0.7705612182617188, 0.8306634426116943]"
149,6,6,1e-05,kang_sparse_2015_adaptation,9.332437335013689e-06,19,13,13,True,2683.926299912855,complete sparse ADMM selection + relocation + endpoint-constrained verification/fallback + final refit,chord_length,"[0.17073170731707318, 0.1951219512195122, 0.21951219512195122, 0.24390243902439024, 0.3170731707317073, 0.34146341463414637, 0.36585365853658536, 0.41463414634146345, 0.43902439024390244, 0.4878048780487805, 0.5121951219512195, 0.5365853658536586, 0.6341463414634146, 0.6585365853658536, 0.6829268292682926, 0.7560975609756098, 0.7804878048780488, 0.8176924542682926, 0.8536585365853658]"
149,6,6,1e-05,uniform_gradient_pruning,8.27222452694242e-06,17,11,11,True,5280.13650001958,complete uniform-Kmax initialization + all deletion scoring + gradient relocation + exact refit validation,chord_length,"[0.12287485892863723, 0.17553418870566673, 0.23945047084133486, 0.32093380538575794, 0.35570308805530887, 0.4082877898113171, 0.44153847818868863, 0.4999098067624806, 0.5305450006672889, 0.5642066961480382, 0.608495413728918, 0.6425017537319977, 0.6816881824015233, 0.7305004973995879, 0.7626276587339752, 0.8361891285446429, 0.9117928678718937]"
88,7,7,1e-05,ours,0.0012956497101097183,32,25,25,False,29.22085,synchronized batch-1 network forward only; input preloaded on device; final refit and verified repair excluded,network_predicted,"[0.0014016139321029186, 0.003922843374311924, 0.008805827237665653, 0.015439691953361034, 0.021443646401166916, 0.026283930987119675, 0.03097909316420555, 0.03583662584424019, 0.040381137281656265, 0.04428814351558685, 0.047473590821027756, 0.0506918728351593, 0.05479007959365845, 0.059012774378061295, 0.06283697485923767, 0.06629707664251328, 0.06966746598482132, 0.07369393855333328, 0.07843296974897385, 0.08327849209308624, 0.08860918134450912, 0.09507131576538086, 0.10277637839317322, 0.1231510192155838, 0.1999158412218094, 0.2053341269493103, 0.3558366894721985, 0.41627180576324463, 0.5529557466506958, 0.6110303997993469, 0.7063125967979431, 0.8013184666633606]"
88,7,7,1e-05,kang_sparse_2015_adaptation,9.324799046572443e-06,26,19,19,True,2538.7861999915913,complete sparse ADMM selection + relocation + endpoint-constrained verification/fallback + final refit,chord_length,"[0.0975609756097561, 0.14634146341463417, 0.1951219512195122, 0.21951219512195122, 0.2682926829268293, 0.29268292682926833, 0.3170731707317073, 0.36585365853658536, 0.3902439024390244, 0.41463414634146345, 0.43902439024390244, 0.4634146341463415, 0.4878048780487805, 0.5121951219512195, 0.5609756097560976, 0.5853658536585366, 0.6829268292682926, 0.7073170731707317, 0.7317073170731707, 0.7560975609756098, 0.8536585365853658, 0.9024390243902439, 0.9027248475609757, 0.9268292682926829, 0.9512195121951219, 0.975609756097561]"
88,7,7,1e-05,uniform_gradient_pruning,1.8897730922307148e-05,20,13,13,False,1577.7552999788895,complete uniform-Kmax initialization + all deletion scoring + gradient relocation + exact refit validation,chord_length,"[0.047026464803678336, 0.09335822193079611, 0.13873055780266907, 0.1852050215119153, 0.23272348734344483, 0.28162616644771843, 0.32621299011875154, 0.37937733484093045, 0.42172975122515344, 0.47490048818161146, 0.521557805835039, 0.5671961123922414, 0.6089271022546494, 0.6551168784716711, 0.6948602864853253, 0.7403921017456392, 0.7819728911140603, 0.8235906823290156, 0.8782572982720792, 0.9385466177405087]"
932,8,8,1e-05,ours,0.000775484740019375,32,24,24,False,27.15885,synchronized batch-1 network forward only; input preloaded on device; final refit and verified repair excluded,network_predicted,"[0.0038792742416262627, 0.004711600951850414, 0.006880104076117277, 0.012845564633607864, 0.019987668842077255, 0.024751363322138786, 0.02805103361606598, 0.030979258939623833, 0.033949244767427444, 0.03830598294734955, 0.04378834739327431, 0.048184700310230255, 0.051612488925457, 0.05516309291124344, 0.05891046300530434, 0.06272751837968826, 0.06636567413806915, 0.06979355961084366, 0.07319261133670807, 0.0777045488357544, 0.08434216678142548, 0.09198874235153198, 0.10077556222677231, 0.12317103892564774, 0.18615113198757172, 0.26528027653694153, 0.3122842311859131, 0.4760304391384125, 0.59055095911026, 0.679150402545929, 0.7685658931732178, 0.8354494571685791]"
932,8,8,1e-05,kang_sparse_2015_adaptation,9.955928229139301e-06,26,18,18,True,2622.2083999891765,complete sparse ADMM selection + relocation + endpoint-constrained verification/fallback + final refit,chord_length,"[0.0975609756097561, 0.14634146341463417, 0.16372903963414634, 0.17073170731707318, 0.21951219512195122, 0.24390243902439024, 0.2682926829268293, 0.36585365853658536, 0.3902439024390244, 0.41463414634146345, 0.43902439024390244, 0.4634146341463415, 0.4878048780487805, 0.5365853658536586, 0.5609756097560976, 0.5853658536585366, 0.6097560975609756, 0.6341463414634146, 0.6585365853658536, 0.7317073170731707, 0.7560975609756098, 0.7804878048780488, 0.8048780487804879, 0.8536585365853658, 0.8780487804878049, 0.9024390243902439]"
932,8,8,1e-05,uniform_gradient_pruning,2.9290545747709017e-05,20,12,12,False,1527.4241999723017,complete uniform-Kmax initialization + all deletion scoring + gradient relocation + exact refit validation,chord_length,"[0.05915137199409401, 0.11520116424373453, 0.16781084677677244, 0.22330379401189343, 0.26025212775322126, 0.2955930143702845, 0.35203751345111917, 0.4017642871756534, 0.45537291631698334, 0.49451718485491847, 0.5469769317398699, 0.5881639576011078, 0.63164107291123, 0.6795892439983262, 0.7309046415553038, 0.7703305531286504, 0.8061120752090378, 0.8501540943573064, 0.8963694883312475, 0.9478128730611585]"
2573,9,9,1e-05,ours,0.001231090184728899,32,23,23,False,26.53015,synchronized batch-1 network forward only; input preloaded on device; final refit and verified repair excluded,network_predicted,"[0.0037809601053595543, 0.014959505759179592, 0.016969306394457817, 0.025611411780118942, 0.04024131968617439, 0.050106387585401535, 0.05538778752088547, 0.060052067041397095, 0.06475945562124252, 0.06913008540868759, 0.07337094098329544, 0.07825605571269989, 0.08359283953905106, 0.08911384642124176, 0.09407293051481247, 0.09841625392436981, 0.102585569024086, 0.10694297403097153, 0.11214453727006912, 0.11790326982736588, 0.1242770329117775, 0.13134336471557617, 0.16127407550811768, 0.20506709814071655, 0.24654343724250793, 0.25741901993751526, 0.4019140303134918, 0.4804515540599823, 0.5696277618408203, 0.6614546179771423, 0.7522162199020386, 0.8256624937057495]"
2573,9,9,1e-05,kang_sparse_2015_adaptation,9.402336021602598e-06,38,29,29,True,2395.1320000342093,complete sparse ADMM selection + relocation + endpoint-constrained verification/fallback + final refit,chord_length,"[0.024390243902439025, 0.04878048780487805, 0.07317073170731708, 0.0975609756097561, 0.12176067073170732, 0.12195121951219512, 0.17073170731707318, 0.1951219512195122, 0.21951219512195122, 0.24390243902439024, 0.2682926829268293, 0.29268292682926833, 0.3170731707317073, 0.34146341463414637, 0.36585365853658536, 0.3902439024390244, 0.41463414634146345, 0.43902439024390244, 0.4634146341463415, 0.4878048780487805, 0.5121951219512195, 0.5609756097560976, 0.5853658536585366, 0.6097560975609756, 0.6341463414634146, 0.6585365853658536, 0.6829268292682926, 0.7073170731707317, 0.7317073170731707, 0.7560975609756098, 0.7804878048780488, 0.8048780487804879, 0.8292682926829268, 0.9024390243902439, 0.9027248475609757, 0.9268292682926829, 0.9512195121951219, 0.975609756097561]"
2573,9,9,1e-05,uniform_gradient_pruning,4.452533302072267e-05,20,11,11,False,1434.349499992095,complete uniform-Kmax initialization + all deletion scoring + gradient relocation + exact refit validation,chord_length,"[0.0505808084229027, 0.1011566231599306, 0.15154606252553088, 0.2012984316893157, 0.24815403903679129, 0.2922343671708095, 0.338215269130367, 0.382202992473835, 0.42651375326106566, 0.474001145337044, 0.5195805831715118, 0.5724601626947484, 0.6183110322711663, 0.6702565190583067, 0.7181043415792824, 0.7595085407539877, 0.8019824817513939, 0.8511762505952241, 0.9004707944248489, 0.9501765262923525]"
3560,10,10,1e-05,ours,0.0009124557213338541,32,22,22,False,28.6858,synchronized batch-1 network forward only; input preloaded on device; final refit and verified repair excluded,network_predicted,"[0.004578196443617344, 0.008848706260323524, 0.013615308329463005, 0.019872916862368584, 0.025072935968637466, 0.029674742370843887, 0.03655194118618965, 0.04802267998456955, 0.060791488736867905, 0.07027927041053772, 0.0774955227971077, 0.08553822338581085, 0.09452348947525024, 0.10264609754085541, 0.11043953150510788, 0.11806472390890121, 0.1267140507698059, 0.16317714750766754, 0.18132184445858002, 0.19857434928417206, 0.21701423823833466, 0.2560219466686249, 0.30691230297088623, 0.33930256962776184, 0.3815076947212219, 0.4452199935913086, 0.5040335655212402, 0.5882045030593872, 0.6337425112724304, 0.7468235492706299, 0.7879623770713806, 0.8392924070358276]"
