dataset,method,n,failed,mse_mean,mse_p95,fit_pass_rate,reference_mse_mean,reference_pass_rate,final_k_mean,total_ms_mean,network_ms_mean
Synthetic,ours,34,0,3.907337388801782e-05,9.48083673541704e-05,0.47058823529411764,,,10.058823529411764,52.074226470588236,48.30655294117647
Synthetic,kang_sparse_2015_adaptation,34,0,5.3058323865865305e-05,0.00026095479984865994,0.5882352941176471,,,6.735294117647059,2446.440805881353,
Synthetic,yeh_feature_cdf_2020,34,0,1.5803703168178582e-05,2.371126193615918e-05,1.0,,,8.882352941176471,21.546649999971336,
Synthetic,uniform_gradient_pruning,34,0,1.702838306965365e-05,2.442776158162982e-05,1.0,,,6.5588235294117645,22270.285370586756,
UJI,ours,20,0,6.703101662177266e-05,0.0002496544477732652,0.7,0.0001269085170606672,0.3,11.85,50.12729,46.8057
UJI,kang_sparse_2015_adaptation,20,0,0.006987595914713656,0.03539846177297006,0.35,0.007611332650023726,0.1,4.1,1993.8631249999162,
UJI,yeh_feature_cdf_2020,20,0,1.8682588925061633e-05,2.279352028670845e-05,1.0,5.4318169491957914e-05,0.1,11.7,28.278219999629073,
UJI,uniform_gradient_pruning,20,0,1.6597209557403023e-05,2.366131982332312e-05,1.0,4.3419966437686306e-05,0.3,7.2,21388.29866500164,
NaturalEarth,ours,20,0,0.0013059052147199738,0.0031944120012585703,0.0,0.001313293145064562,0.0,13.5,55.3146,47.4281475
NaturalEarth,kang_sparse_2015_adaptation,20,0,0.014343425204441877,0.036497045864395,0.0,0.014420845224173931,0.0,1.0,691.9238900009077,
NaturalEarth,yeh_feature_cdf_2020,20,0,0.00016098908139876284,0.0004612460919510642,0.5,0.00016508006852006618,0.4,23.65,57.224145001964644,
NaturalEarth,uniform_gradient_pruning,20,0,0.00012720264232424217,0.00039437704867086184,0.65,0.00013096448138648088,0.55,19.55,12157.523299999593,
USGS,ours,20,0,0.0008352981813435512,0.0025731093229332935,0.3,0.0008436508138363302,0.3,14.35,53.43772,48.7860825
USGS,kang_sparse_2015_adaptation,20,0,0.011066904512822915,0.033661181435174485,0.1,0.011118855084022918,0.1,2.35,968.9302350001526,
USGS,yeh_feature_cdf_2020,20,0,0.00014141075195484829,0.0004011350201182229,0.45,0.00014417737409037253,0.4,21.7,60.22558999975445,
USGS,uniform_gradient_pruning,20,0,0.00011601189575161501,0.0003241835447012768,0.5,0.00011836713313894155,0.5,19.9,10946.668430000136,
