dataset,method,n,failed,mse_mean,mse_p95,fit_pass_rate,reference_mse_mean,reference_pass_rate,final_k_mean,canonical_k_mean,canonical_count_mae,canonical_count_bias,canonical_count_exact_rate,canonical_count_within_one_rate,total_ms_mean,network_ms_mean,feasibility_safeguard_used_rate,native_fit_pass_rate_before_safeguard,native_k_mean_before_safeguard
Synthetic,ours,17,0,0.0016058403922110096,0.002741192757073879,0.0,,,14.705882352941176,12.0,2.9411764705882355,2.7058823529411766,0.058823529411764705,0.23529411764705882,8.721496117647058,7.351546441176471,,,
Synthetic,ours_verified,17,0,7.386338715493862e-05,0.0001463228270241022,0.8823529411764706,,,21.11764705882353,12.0,9.117647058823529,9.117647058823529,0.0,0.0,15.406204647058825,,,,
Synthetic,park_dominant_point_2007_adaptation,17,0,0.00037058970160912366,0.0007821105526234585,0.17647058823529413,,,23.352941176470587,12.0,11.352941176470589,11.352941176470589,0.0,0.0,30.950053588185256,,,,
Synthetic,liang_feature_iki_2017_adaptation,17,0,0.00018497967868934059,0.0005145954140075195,0.5882352941176471,,,20.470588235294116,12.0,8.470588235294118,8.470588235294118,0.0,0.0,22.802696235270133,,,,
Synthetic,dung_direct_knot_2017_adaptation,17,0,9.207805564537068e-05,0.00016345918485585634,0.8823529411764706,,,17.11764705882353,12.0,5.117647058823529,5.117647058823529,0.0,0.0,289.87096647065033,,1.0,0.0,10.470588235294118
Synthetic,kang_sparse_2015_adaptation,17,0,0.0002808333959330195,0.0010000013231682072,0.5294117647058824,,,21.529411764705884,12.0,9.529411764705882,9.529411764705882,0.0,0.0,290.71619670589024,,0.5882352941176471,0.4117647058823529,20.41176470588235
Synthetic,luo_linf_de_2022_adaptation,17,0,0.00022422002972985117,0.0006706695795917514,0.5294117647058824,,,19.294117647058822,12.0,7.294117647058823,7.294117647058823,0.0,0.0,1586.7306783529784,,0.8823529411764706,0.11764705882352941,4.352941176470588
UJI,ours,5,0,0.00013595489377479507,0.0002716776187627901,0.4,0.00023190762911868968,0.4,15.6,,,,,,8.6829458,7.3622534,,,
UJI,ours_verified,5,0,4.907585325919011e-05,8.097214608354688e-05,1.0,7.684179722853283e-05,0.6,17.4,,,,,,12.3495656,,,,
UJI,park_dominant_point_2007_adaptation,5,0,7.723846052003524e-05,9.58318143541245e-05,1.0,0.00015141899846965527,0.0,9.6,,,,,,13.169280600141064,,,,
