[1/68] K4_seed9000000000 old=1.385e-05/K12 new=8.832e-05/K36
[2/68] K5_seed9000100003 old=1.817e-05/K9 new=2.360e-04/K36
[3/68] K6_seed9000200006 old=1.712e-05/K12 new=6.449e-04/K37
[4/68] K7_seed9000300009 old=1.303e-05/K16 new=4.053e-04/K39
[5/68] K8_seed9000400012 old=1.204e-05/K16 new=4.350e-04/K38
[6/68] K9_seed9000500015 old=2.031e-05/K15 new=9.228e-04/K38
[7/68] K10_seed9000600018 old=1.425e-05/K19 new=1.120e-03/K38
[8/68] K11_seed9000700021 old=1.674e-05/K22 new=8.635e-04/K39
[9/68] K12_seed9000800024 old=2.483e-05/K22 new=1.088e-03/K39
[10/68] K13_seed9000900027 old=1.048e-05/K26 new=9.236e-04/K40
[11/68] K14_seed9001000030 old=1.296e-05/K29 new=1.453e-03/K39
[12/68] K15_seed9001100033 old=2.671e-05/K27 new=1.184e-03/K39
[13/68] K16_seed9001200036 old=1.919e-05/K31 new=9.543e-04/K40
[14/68] K17_seed9001300039 old=2.262e-05/K31 new=1.152e-03/K40
[15/68] K18_seed9001400042 old=1.267e-05/K34 new=1.174e-03/K39
[16/68] K19_seed9001500045 old=2.781e-05/K33 new=1.472e-03/K40
[17/68] K20_seed9001600048 old=4.421e-05/K36 new=1.504e-03/K39
[18/68] K21_seed9001700051 old=5.026e-05/K37 new=1.609e-03/K40
[19/68] K22_seed9001800054 old=1.904e-05/K39 new=1.579e-03/K39
[20/68] K23_seed9001900057 old=2.412e-05/K43 new=1.176e-03/K40
[21/68] K24_seed9002000060 old=2.473e-05/K42 new=1.413e-03/K40
[22/68] K25_seed9002100063 old=1.768e-05/K43 new=1.120e-03/K40
[23/68] K26_seed9002200066 old=2.176e-05/K45 new=1.608e-03/K39
[24/68] K27_seed9002300069 old=2.849e-05/K48 new=1.262e-03/K40
[25/68] K28_seed9002400072 old=4.881e-05/K48 new=1.288e-03/K40
[26/68] K29_seed9002500075 old=3.611e-05/K49 new=1.715e-03/K40
[27/68] K30_seed9002600078 old=2.030e-05/K53 new=1.655e-03/K40
[28/68] K31_seed9002700081 old=6.995e-05/K51 new=1.708e-03/K40
[29/68] K32_seed9002800084 old=5.203e-05/K52 new=1.649e-03/K39
[30/68] K33_seed9002900087 old=6.345e-05/K52 new=1.432e-03/K40
[31/68] K34_seed9003000090 old=1.674e-05/K56 new=1.639e-03/K40
[32/68] K35_seed9003100093 old=3.660e-05/K55 new=1.457e-03/K40
[33/68] K36_seed9003200096 old=2.452e-05/K56 new=1.594e-03/K40
[34/68] K37_seed9003300099 old=3.384e-05/K56 new=1.619e-03/K40
[35/68] K38_seed9003400102 old=4.185e-05/K56 new=1.674e-03/K40
[36/68] K39_seed9003500105 old=4.101e-05/K56 new=1.955e-03/K40
[37/68] K40_seed9003600108 old=2.664e-05/K56 new=1.989e-03/K40
[38/68] K41_seed9003700111 old=5.939e-05/K56 new=2.004e-03/K39
[39/68] K42_seed9003800114 old=4.996e-05/K56 new=1.946e-03/K39
[40/68] K43_seed9003900117 old=5.713e-05/K56 new=1.851e-03/K40
[41/68] K44_seed9004000120 old=6.761e-05/K56 new=1.778e-03/K40
[42/68] K45_seed9004100123 old=6.219e-05/K56 new=1.712e-03/K40
[43/68] K46_seed9004200126 old=6.323e-05/K56 new=1.595e-03/K40
[44/68] K47_seed9004300129 old=8.167e-05/K56 new=1.822e-03/K40
[45/68] K48_seed9004400132 old=1.336e-04/K56 new=1.753e-03/K40
[46/68] K49_seed9004500135 old=1.207e-04/K56 new=1.812e-03/K40
[47/68] K50_seed9004600138 old=1.564e-04/K56 new=2.346e-03/K40
[48/68] K51_seed9004700141 old=2.055e-04/K56 new=2.337e-03/K40
[49/68] K52_seed9004800144 old=2.470e-04/K56 new=2.088e-03/K40
[50/68] K53_seed9004900147 old=1.364e-04/K56 new=2.010e-03/K40
[51/68] K54_seed9005000150 old=1.491e-04/K56 new=2.424e-03/K40
[52/68] K55_seed9005100153 old=3.326e-04/K56 new=1.915e-03/K40
[53/68] K56_seed9005200156 old=9.764e-04/K56 new=2.630e-03/K40
[54/68] uji2_09816_stroke_00 old=2.414e-05/K9 new=5.166e-05/K36
[55/68] uji2_06892_stroke_00 old=1.669e-05/K18 new=4.281e-04/K37
[56/68] uji2_08657_stroke_00 old=2.684e-05/K14 new=2.377e-04/K38
[57/68] uji2_10411_stroke_01 old=6.639e-06/K5 new=4.408e-06/K37
[58/68] uji2_03101_stroke_00 old=2.245e-05/K12 new=6.878e-06/K36
[59/68] natural_earth_10m_coastline_c5b1e333ebb6_w000_c5b1e333 old=3.923e-05/K54 new=5.270e-04/K39
