sample_id,source_dataset,group_id,split,reference_point_count,model_point_count,retained_internal_knots,normalized_input_refit_mse,normalized_reference_mse,normalized_reference_rms,normalized_point_distance_p95,normalized_point_distance_max,normalized_symmetric_chamfer_mse,normalized_hausdorff,original_unit_reference_mse,original_unit_reference_rms,network_batch_time_ms,network_amortized_time_ms
uji2_03311_stroke_00,uji_pen_characters_v2,tst_UPV_W18,test,44,192,18,3.054183517200218e-05,5.9118140644497546e-05,0.0076888322029094605,0.01269411421002244,0.02940289912335814,0.00010023610326983511,0.029723880832768182,0.00025868171172996666,0.016083585164072302,20.703399990452453,1.2939624994032783
uji2_11557_stroke_00,uji_pen_characters_v2,tst_UPV_W60,test,119,192,20,0.00013127120915055514,0.00028910644654856616,0.017003130492605358,0.037136218678514035,0.05693749922387895,0.00014130333234511455,0.04023009573237341,0.011739869988059965,0.10835068060727614,20.703399990452453,1.2939624994032783
uji2_02583_stroke_00,uji_pen_characters_v2,tst_UJI_W14,test,35,192,21,3.1513157422787874e-05,8.987297136562998e-05,0.009480135619580027,0.018429215257254633,0.027720978584308845,9.188784919183263e-05,0.02134699028091384,0.0001866281282462547,0.013661190586704171,20.703399990452453,1.2939624994032783
uji2_03931_stroke_00,uji_pen_characters_v2,tst_UPV_W21,test,59,192,23,1.3510779884136577e-05,4.264271019520091e-05,0.0065301386045933905,0.009884794121569031,0.03163385016388655,4.837660940201389e-05,0.02837173865191405,0.0006484066929042553,0.02546383107280315,20.703399990452453,1.2939624994032783
uji2_05712_stroke_00,uji_pen_characters_v2,tst_UPV_W30,test,19,192,7,7.070648986358765e-05,0.00017872169492388413,0.013368683365383598,0.02216755092976306,0.042598981338049575,2.660498931352431e-05,0.03713927814238416,0.000864459106962462,0.02940168544424727,20.703399990452453,1.2939624994032783
uji2_02621_stroke_00,uji_pen_characters_v2,tst_UJI_W14,test,41,192,13,0.00012613563714914736,0.0002515737176385429,0.0158610755511265,0.024400196098487946,0.06648789826413341,6.09147560725002e-05,0.060777035732361005,0.003363273473596661,0.05799373650314886,20.703399990452453,1.2939624994032783
uji2_04585_stroke_00,uji_pen_characters_v2,tst_UPV_W24,test,22,192,17,5.377086084289435e-06,1.0073635032590349e-05,0.0031738990268422762,0.005788384943602249,0.00604775990825645,2.4356081369949002e-05,0.00805711163263319,6.662481780625934e-05,0.008162402698118939,20.703399990452453,1.2939624994032783
uji2_11586_stroke_00,uji_pen_characters_v2,tst_UPV_W60,test,43,192,19,2.9229254853420296e-05,5.9322126802459e-05,0.007702085873479924,0.016558541027335522,0.024147195364180828,3.358709065054751e-05,0.02192739045847967,0.0006786734143396786,0.026051361084205922,20.703399990452453,1.2939624994032783
uji2_08620_stroke_01,uji_pen_characters_v2,tst_UPV_W45,test,12,192,4,8.947333772369632e-06,1.9135472466600788e-05,0.004374411099405357,0.006984664221026457,0.0086124958127347,1.2038423903262507e-05,0.0077024058833659965,4.0307458426783905e-05,0.006348815513683155,20.703399990452453,1.2939624994032783
uji2_06957_stroke_00,uji_pen_characters_v2,tst_UPV_W36,test,12,192,8,4.894729442637258e-05,0.00017854593823356677,0.0133621083004729,0.02606971757675825,0.041761732939773095,2.283903926792522e-05,0.039074383472397896,0.0004166504071606697,0.020412016244376,20.703399990452453,1.2939624994032783
uji2_05690_stroke_00,uji_pen_characters_v2,tst_UPV_W30,test,86,192,21,5.72118081156932e-05,0.00010938536884368752,0.010458746045472542,0.018314947215176108,0.042681893573997265,4.440958264328601e-05,0.03228371848298849,0.0021466591977957502,0.04633205367556839,20.703399990452453,1.2939624994032783
uji2_02805_stroke_00,uji_pen_characters_v2,tst_UJI_W15,test,14,192,5,1.8370884178023652e-05,4.884041715082019e-05,0.006988591929052675,0.016397314908289978,0.018421556608553588,2.188331740707282e-05,0.016955717491088394,0.00045137980077720167,0.021245700759852607,20.703399990452453,1.2939624994032783
uji2_02920_stroke_00,uji_pen_characters_v2,tst_UJI_W16,test,80,192,28,8.503166234161293e-06,1.4491738454317446e-05,0.0038068016042758844,0.009628782266502626,0.01217210126087232,5.8752832086489354e-05,0.013832620355555698,0.0004566462728719098,0.02136928339631233,20.703399990452453,1.2939624994032783
