sample_id,source_dataset,group_id,split,reference_point_count,model_point_count,deployment_mode,retained_internal_knots,final_internal_knots,normalized_input_refit_mse,normalized_reference_mse,normalized_reference_rms,normalized_point_distance_p95,normalized_point_distance_max,normalized_symmetric_chamfer_mse,normalized_hausdorff,original_unit_reference_mse,original_unit_reference_rms,network_batch_time_ms,network_amortized_time_ms,learned_retained_internal_knots,learned_internal_knots,learned_normalized_reference_mse,learned_normalized_reference_rms,certified_target_mse,certified_status,certified_threshold_satisfied,reference_certificate_valid,reference_certificate_scope,continuous_curve_guaranteed,globally_minimal_knot_count_guaranteed,certified_failure_reason,certified_full_column_rank,certified_expected_solver_rank,certified_solver_rank,certified_rank_safe_max_knots,certified_effective_max_knots,certified_supplied_initial_count,certified_sanitized_initial_count,certified_added_knot_count,certified_position_refinement_used,certified_interpolation_fallback_attempted,certified_interpolation_fallback_used,certified_tolerance_polyline_fallback_attempted,certified_tolerance_polyline_fallback_used,certified_tolerance_polyline_vertex_count,certified_tolerance_polyline_measured_mse,certified_tolerance_polyline_insertion_count,certified_tolerance_polyline_compaction_removed_count,certified_tolerance_polyline_exceeded_adaptive_max_knots,certified_polyline_exact_fallback_attempted,certified_polyline_exact_fallback_used,certified_polyline_exceeded_adaptive_max_knots,certified_final_control_point_count,certified_maximum_internal_knot_multiplicity,certified_refit_count,certified_insertion_candidate_evaluations,certified_position_refit_count,certified_endpoint_max_distance,certified_postprocess_time_ms
uji2_03311_stroke_00,uji_pen_characters_v2,tst_UPV_W18,test,44,192,certified,21,"[0.01913629607829919, 0.10648388494919672, 0.15035968541064662, 0.19166075728268414, 0.23235344482775203, 0.28202132100782423, 0.33059831478999907, 0.3997589062186595, 0.43557615878592704, 0.4705452356381121, 0.49193481063050093, 0.54876763137668, 0.5848386178641959, 0.6354139486550963, 0.6822293440072713, 0.7117111201488303, 0.7835531440115092, 0.84983325117094, 0.9071597685006101, 0.9756752273529975, 0.9886713296383036]",3.0541835172002165e-05,9.066294933440374e-06,0.003011028882863858,0.0061740144050852,0.007251399554277269,,,3.96711511367428e-05,0.006298503880823033,32.20389998750761,2.0127437492192257,18,"[0.11024326086044312, 0.15236806869506836, 0.19303086400032043, 0.23171116411685944, 0.27910202741622925, 0.3265461325645447, 0.3923143148422241, 0.42655301094055176, 0.4613744616508484, 0.4839742183685303, 0.5408034324645996, 0.5782891511917114, 0.6302495002746582, 0.6789379119873047, 0.7086125612258911, 0.7809767723083496, 0.850707471370697, 0.9087173342704773]",5.911814064449745e-05,0.0076888322029094545,1e-05,adaptive_insertion_pass,True,True,measured mean squared Euclidean error on the supplied normalized ordered reference points; not a continuous-curve or global-minimality guarantee,False,False,,True,25,25,40,28,18,18,3,False,False,False,False,False,,,0,0,False,False,False,False,25,1,13,12,0,0.0,46.25670000677928
uji2_11557_stroke_00,uji_pen_characters_v2,tst_UPV_W60,test,119,192,certified,108,"[0.0066088521035594355, 0.0066088521035594355, 0.0066088521035594355, 0.03716164039868094, 0.03716164039868094, 0.03716164039868094, 0.11050040386539985, 0.11050040386539985, 0.11050040386539985, 0.12633571119677126, 0.12633571119677126, 0.12633571119677126, 0.13352654772196185, 0.13352654772196185, 0.13352654772196185, 0.1436500417809696, 0.1436500417809696, 0.1436500417809696, 0.1670068209920632, 0.1670068209920632, 0.1670068209920632, 0.2000012189709946, 0.2000012189709946, 0.2000012189709946, 0.2859636361133233, 0.2859636361133233, 0.2859636361133233, 0.3835158425861828, 0.3835158425861828, 0.3835158425861828, 0.4011762270153384, 0.4011762270153384, 0.4011762270153384, 0.40546205685436043, 0.40546205685436043, 0.40546205685436043, 0.4138993375617749, 0.4138993375617749, 0.4138993375617749, 0.42468356880279395, 0.42468356880279395, 0.42468356880279395, 0.43935804257914346, 0.43935804257914346, 0.43935804257914346, 0.45760383335946236, 0.45760383335946236, 0.45760383335946236, 0.4790230386671399, 0.4790230386671399, 0.4790230386671399, 0.5169016585058336, 0.5169016585058336, 0.5169016585058336, 0.5303363620228414, 0.5303363620228414, 0.5303363620228414, 0.5592227814591532, 0.5592227814591532, 0.5592227814591532, 0.5909511865572968, 0.5909511865572968, 0.5909511865572968, 0.6235651522866194, 0.6235651522866194, 0.6235651522866194, 0.6840885093101385, 0.6840885093101385, 0.6840885093101385, 0.7166565566523369, 0.7166565566523369, 0.7166565566523369, 0.7322073096706777, 0.7322073096706777, 0.7322073096706777, 0.749857339142802, 0.749857339142802, 0.749857339142802, 0.7607985596961513, 0.7607985596961513, 0.7607985596961513, 0.7659754021021173, 0.7659754021021173, 0.7659754021021173, 0.7790613775794778, 0.7790613775794778, 0.7790613775794778, 0.8251864223716594, 0.8251864223716594, 0.8251864223716594, 0.8618791565328413, 0.8618791565328413, 0.8618791565328413, 0.8832470220652305, 0.8832470220652305, 0.8832470220652305, 0.9021254194111145, 0.9021254194111145, 0.9021254194111145, 0.921872476355394, 0.921872476355394, 0.921872476355394, 0.9895457774681845, 0.9895457774681845, 0.9895457774681845, 0.9965121283655034, 0.9965121283655034, 0.9965121283655034]",0.00013127120915055514,9.763478333317152e-06,0.003124656514453573,0.006308641609855514,0.008204862063072612,,,0.00039646976963942857,0.019911548649952582,32.20389998750761,2.0127437492192257,20,"[0.06759826093912125, 0.1075214073061943, 0.17305181920528412, 0.2110409438610077, 0.2722059488296509, 0.3073171079158783, 0.34067800641059875, 0.3731768727302551, 0.4050992727279663, 0.4335281550884247, 0.48295751214027405, 0.5752396583557129, 0.6221655011177063, 0.6831343770027161, 0.7422598600387573, 0.7724859714508057, 0.8024300336837769, 0.8187545537948608, 0.8497310280799866, 0.9001404643058777]",0.00028910644654856616,0.017003130492605358,1e-05,tolerance_polyline_fallback_pass,True,True,measured mean squared Euclidean error on the supplied normalized ordered reference points; not a continuous-curve or global-minimality guarantee,False,False,,,112,,115,28,20,20,88,False,False,False,True,True,38,9.763478333317096e-06,36,0,True,False,False,False,112,3,33,32,0,0.0,196.15410000551492
uji2_02583_stroke_00,uji_pen_characters_v2,tst_UJI_W14,test,35,192,certified,25,"[0.0759930090680533, 0.07801392680649778, 0.11120490083010262, 0.14685078712647415, 0.18572663896453084, 0.2209061689408905, 0.25231234128547053, 0.2656007939230813, 0.2918927254982589, 0.3380482155470494, 0.3495160586663294, 0.4038907217490056, 0.43627111892864023, 0.47354490773001984, 0.5222744450726352, 0.5319152823465777, 0.6020919768094855, 0.6368193741783812, 0.6936567117069392, 0.8085967724902199, 0.8229690740257501, 0.8885838295827037, 0.9070133405395925, 0.931748033083155, 0.9527218687126054]",3.15131574227879e-05,6.7332354592937e-06,0.0025948478682369224,0.006508309396288618,0.009898903504204267,,,1.3982080615728464e-05,0.00373926204159704,32.20389998750761,2.0127437492192257,21,"[0.07432195544242859, 0.10938933491706848, 0.14616508781909943, 0.1845826804637909, 0.2198333740234375, 0.2514796853065491, 0.2657533586025238, 0.2913171350955963, 0.3372783064842224, 0.34884488582611084, 0.4008815586566925, 0.4327143430709839, 0.4701985716819763, 0.5173368453979492, 0.5276933908462524, 0.5985565781593323, 0.6339058876037598, 0.6934961676597595, 0.8123622536659241, 0.8267730474472046, 0.893850564956665]",8.987297136563018e-05,0.009480135619580037,1e-05,adaptive_insertion_pass,True,True,measured mean squared Euclidean error on the supplied normalized ordered reference points; not a continuous-curve or global-minimality guarantee,False,False,,True,29,29,31,28,21,21,4,False,False,False,False,False,,,0,0,False,False,False,False,29,1,17,16,0,0.0,355.95029999967664
uji2_03931_stroke_00,uji_pen_characters_v2,tst_UPV_W21,test,59,192,certified,75,"[0.049081090341925995, 0.049081090341925995, 0.049081090341925995, 0.08262403136465604, 0.08262403136465604, 0.08262403136465604, 0.11347044196811153, 0.11347044196811153, 0.11347044196811153, 0.12535148349985664, 0.12535148349985664, 0.12535148349985664, 0.13810594478863322, 0.13810594478863322, 0.13810594478863322, 0.1479421648740168, 0.1479421648740168, 0.1479421648740168, 0.16092786701123546, 0.16092786701123546, 0.16092786701123546, 0.18945655042802806, 0.18945655042802806, 0.18945655042802806, 0.23795705830989836, 0.23795705830989836, 0.23795705830989836, 0.2807885926163186, 0.2807885926163186, 0.2807885926163186, 0.3502073322490421, 0.3502073322490421, 0.3502073322490421, 0.4071572778697072, 0.4071572778697072, 0.4071572778697072, 0.6352338280854801, 0.6352338280854801, 0.6352338280854801, 0.6611316257904669, 0.6611316257904669, 0.6611316257904669, 0.6693723048783986, 0.6693723048783986, 0.6693723048783986, 0.677067118076198, 0.677067118076198, 0.677067118076198, 0.6994608103682264, 0.6994608103682264, 0.6994608103682264, 0.7148505115093493, 0.7148505115093493, 0.7148505115093493, 0.7514672166118608, 0.7514672166118608, 0.7514672166118608, 0.7879245822107259, 0.7879245822107259, 0.7879245822107259, 0.8049031015526142, 0.8049031015526142, 0.8049031015526142, 0.8207037722766178, 0.8207037722766178, 0.8207037722766178, 0.8365044430006214, 0.8365044430006214, 0.8365044430006214, 0.8690416213219151, 0.8690416213219151, 0.8690416213219151, 0.9628862426432153, 0.9628862426432153, 0.9628862426432153]",1.3510779884136545e-05,9.323845481193702e-06,0.003053497254165083,0.006592403672433019,0.007665273450441842,,,0.00014177438033222104,0.011906904733482208,32.20389998750761,2.0127437492192257,23,"[0.06548397988080978, 0.11217676103115082, 0.15405133366584778, 0.18786823749542236, 0.2224869281053543, 0.25605472922325134, 0.2746736407279968, 0.31246882677078247, 0.3532211482524872, 0.3861461579799652, 0.4187866747379303, 0.45119908452033997, 0.48297399282455444, 0.5139981508255005, 0.5705219507217407, 0.6561105847358704, 0.6661164164543152, 0.7205268740653992, 0.7817206978797913, 0.7991928458213806, 0.8209922313690186, 0.8380144834518433, 0.862825870513916]",4.2642710195200706e-05,0.006530138604593375,1e-05,tolerance_polyline_fallback_pass,True,True,measured mean squared Euclidean error on the supplied normalized ordered reference points; not a continuous-curve or global-minimality guarantee,False,False,,,79,,55,28,23,23,52,False,False,False,True,True,27,9.323845481193664e-06,25,0,True,False,False,False,79,3,21,20,0,0.0,108.77680004341528
uji2_05712_stroke_00,uji_pen_characters_v2,tst_UPV_W30,test,19,192,certified,15,"[0.08383908761577007, 0.13853680614631983, 0.20200112323998332, 0.2825708030242647, 0.3668098581962067, 0.4577230356315701, 0.5440210861404541, 0.6263604150172098, 0.6975319682059878, 0.7553562634043659, 0.796553466122122, 0.8334848636568304, 0.865857701531524, 0.9008816770450673, 0.9341350093085968]",7.070648986358768e-05,1.1975807760480112e-32,1.0943403383079741e-16,2.3325161678599346e-16,3.331391796911832e-16,,,5.792579399041527e-32,2.406777804252301e-16,32.20389998750761,2.0127437492192257,7,"[0.19013501703739166, 0.3348020613193512, 0.41453874111175537, 0.5856847167015076, 0.6592631936073303, 0.7677186727523804, 0.852158784866333]",0.00017872169492388445,0.01336868336538361,1e-05,interpolation_fallback_pass,True,True,measured mean squared Euclidean error on the supplied normalized ordered reference points; not a continuous-curve or global-minimality guarantee,False,False,,True,19,19,15,15,7,7,8,False,True,True,False,False,,,0,0,False,False,False,False,19,1,2,0,0,0.0,8.805899997241795
uji2_02621_stroke_00,uji_pen_characters_v2,tst_UJI_W14,test,41,192,certified,21,"[0.08405630131697707, 0.12144976642039328, 0.14420675884113313, 0.19578605603656704, 0.2001071937919879, 0.23448442554624666, 0.2405979138464717, 0.27527625582495446, 0.28486140638935054, 0.3066374761263101, 0.31149257439841394, 0.32738100262228914, 0.4339138077300557, 0.5420554623152676, 0.6073588876861743, 0.6306487394403067, 0.7520788830981148, 0.7552843353720986, 0.7939060044037161, 0.8210762394506386, 0.9038174571133005]",0.00012613563714914742,8.149860015006565e-06,0.0028547959673165023,0.006366178422195838,0.008998507051135644,,,0.00010895497454698434,0.010438149958061742,32.20389998750761,2.0127437492192257,13,"[0.14425446093082428, 0.19544348120689392, 0.23402808606624603, 0.2844124138355255, 0.32665807008743286, 0.43212416768074036, 0.5396689772605896, 0.6042153835296631, 0.6273173689842224, 0.7470545768737793, 0.7932445406913757, 0.8206403851509094, 0.9035566449165344]",0.0002515737176385461,0.015861075551126605,1e-05,adaptive_insertion_pass,True,True,measured mean squared Euclidean error on the supplied normalized ordered reference points; not a continuous-curve or global-minimality guarantee,False,False,,True,25,25,37,28,13,13,8,False,False,False,False,False,,,0,0,False,False,False,False,25,1,33,32,0,0.0,118.1061000097543
uji2_04585_stroke_00,uji_pen_characters_v2,tst_UPV_W24,test,22,192,certified,18,"[0.034730931322181025, 0.06114235442835999, 0.08774850529580726, 0.12344440739662806, 0.16110091943952773, 0.21135886627429926, 0.2650472641731078, 0.32678508751486895, 0.39004126830121694, 0.4567540336273474, 0.5220592582410152, 0.5858063556318073, 0.6453436447947835, 0.702491906458326, 0.7559785649365222, 0.8074399373680348, 0.8569923337461093, 0.9066634689648388]",5.377086084289435e-06,2.2002244981855117e-32,1.4833153738114872e-16,2.8002371433781047e-16,4.441434166503682e-16,,,1.4551803380828246e-31,3.81468260551625e-16,32.20389998750761,2.0127437492192257,17,"[0.13490527868270874, 0.20551779866218567, 0.2314380705356598, 0.2440577894449234, 0.2758243680000305, 0.32139652967453003, 0.3736673593521118, 0.42200005054473877, 0.45310598611831665, 0.4862704873085022, 0.5366498827934265, 0.5786682963371277, 0.6527526378631592, 0.748423159122467, 0.8043814897537231, 0.8295764923095703, 0.9066332578659058]",1.0073635032590277e-05,0.003173899026842265,1e-05,interpolation_fallback_pass,True,True,measured mean squared Euclidean error on the supplied normalized ordered reference points; not a continuous-curve or global-minimality guarantee,False,False,,True,22,22,18,18,17,17,1,False,True,True,False,False,,,0,0,False,False,False,False,22,1,2,0,0,0.0,7.842199993319809
uji2_11586_stroke_00,uji_pen_characters_v2,tst_UPV_W60,test,43,192,certified,30,"[0.02459105310089017, 0.02459105310089017, 0.02459105310089017, 0.03549800038289646, 0.03549800038289646, 0.03549800038289646, 0.23677363020143613, 0.23677363020143613, 0.23677363020143613, 0.30992537589683194, 0.30992537589683194, 0.30992537589683194, 0.4157566028854742, 0.4157566028854742, 0.4157566028854742, 0.46259916088390385, 0.46259916088390385, 0.46259916088390385, 0.4822217395220979, 0.4822217395220979, 0.4822217395220979, 0.6051809387945056, 0.6051809387945056, 0.6051809387945056, 0.8351871683089983, 0.8351871683089983, 0.8351871683089983, 0.9764014523169363, 0.9764014523169363, 0.9764014523169363]",2.9229254853420296e-05,9.51160697902506e-06,0.003084089327342037,0.0063713410927180554,0.007279220817267429,,,0.0001088173188026103,0.010431553997492909,32.20389998750761,2.0127437492192257,19,"[0.13908135890960693, 0.1971144676208496, 0.2329034060239792, 0.25790274143218994, 0.28677839040756226, 0.32818061113357544, 0.37185660004615784, 0.4364769756793976, 0.456985741853714, 0.49113211035728455, 0.5416467189788818, 0.5674101114273071, 0.6024250388145447, 0.6212310194969177, 0.6529262661933899, 0.7009497880935669, 0.7645915746688843, 0.8297256827354431, 0.8929165005683899]",5.9322126802459e-05,0.007702085873479924,1e-05,tolerance_polyline_fallback_pass,True,True,measured mean squared Euclidean error on the supplied normalized ordered reference points; not a continuous-curve or global-minimality guarantee,False,False,,,34,,39,28,19,19,11,False,False,False,True,True,12,9.511606979025138e-06,10,0,True,False,False,False,34,3,37,36,0,0.0,128.93859995529056
uji2_08620_stroke_01,uji_pen_characters_v2,tst_UPV_W45,test,12,192,certified,8,"[0.11922769938799956, 0.19952042234447362, 0.29920609105796986, 0.40944965942587147, 0.5328292816215928, 0.6547387168841908, 0.7699347495732097, 0.862760691047086]",8.94733377236965e-06,2.1035910259189147e-32,1.4503761670404388e-16,2.6317162027212723e-16,4.449557262054371e-16,,,4.4310590173394594e-32,2.1050080801126297e-16,32.20389998750761,2.0127437492192257,4,"[0.23877984285354614, 0.4556446075439453, 0.6267498135566711, 0.7873606085777283]",1.91354724666008e-05,0.004374411099405359,1e-05,interpolation_fallback_pass,True,True,measured mean squared Euclidean error on the supplied normalized ordered reference points; not a continuous-curve or global-minimality guarantee,False,False,,True,12,12,8,8,4,4,4,False,True,True,False,False,,,0,0,False,False,False,False,12,1,2,0,0,0.0,8.675999997649342
uji2_06957_stroke_00,uji_pen_characters_v2,tst_UPV_W36,test,12,192,certified,8,"[0.08707540533658358, 0.14297051065848282, 0.21426019825487938, 0.2965047986493416, 0.392995498959126, 0.49957098695237917, 0.6223707952851482, 0.7477096562599185]",4.89472944263726e-05,2.1529351441148317e-32,1.467288364335665e-16,2.7407205053421297e-16,3.3766115072321297e-16,,,5.024036465128161e-32,2.2414362505162086e-16,32.20389998750761,2.0127437492192257,8,"[0.17610779404640198, 0.30919378995895386, 0.40551161766052246, 0.4538151025772095, 0.49096694588661194, 0.5411932468414307, 0.6758387684822083, 0.8131755590438843]",0.0001785459382335679,0.013362108300472943,1e-05,interpolation_fallback_pass,True,True,measured mean squared Euclidean error on the supplied normalized ordered reference points; not a continuous-curve or global-minimality guarantee,False,False,,True,12,12,8,8,8,8,0,False,True,True,False,False,,,0,0,False,False,False,False,12,1,2,0,0,0.0,8.112999959848821
